crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,24068.819999999996
BA_IRR,365546.604
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,4436877.833142857
CS_BT_NISM,3090.1839360000004
CS_CGT_NIM,1051887.0111634287
CS_CGT_NISM,4485.2930249142855
CS_EGT_NIM,2755278.235474285
CS_EGT_NISM,104827.58958445714
CS_MG_NISM,1890746.3824182858
CS_NGT_NIM,4039403.5511314287
CS_NGT_NISM,404162.8904777143
CS_SBT_NIM,191144.43984
IG_PLA,0.0
IG_TUT,0.0
JA,146931.6
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,2011680.0
VE_BTGT,0.0
