crop,subsidy_per_tonne
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,248.77333333333328
BA_IRR,251.6117647058823
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,20.964268725868724
CS_BT_NISM,21.305735907335908
CS_CGT_NIM,22.5947537414966
CS_CGT_NISM,22.99584217687075
CS_EGT_NIM,23.790833082706765
CS_EGT_NISM,24.234141353383457
CS_MG_NISM,25.56854135338346
CS_NGT_NIM,25.247746031746033
CS_NGT_NISM,25.71568253968254
CS_SBT_NIM,22.059815384615383
IG_PLA,0.0
IG_TUT,0.0
JA,
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,
PN_PIQ,500.0
VE_BTGT,0.0
