crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,28.689999999999998,72.15,71.54898849662833,False
AN,132.67000000000002,380.58,247.90999999999997,186.86213914223256,False
BA,1920.8,1275.76,645.04,33.581840899625156,False
BC,147.21,181.61,34.400000000000006,23.367977718904967,False
CS,12812.93,9922.18,2890.75,22.56119404382916,False
IG,145.42,111.44,33.97999999999999,23.366799614908537,False
JA,621.47,417.24,204.23000000000002,32.86240687402449,False
MA,1086.97,1027.28,59.690000000000055,5.491411906492364,True
ME,189.36,5.16,184.20000000000002,97.27503168567807,False
PN,6109.43,6376.16,266.72999999999956,4.365873739448681,True
VE,310.89,7.99,302.9,97.42995914953842,False
TOTAL,23577.99,19734.09,4941.979999999999,20.960141216448047,False
