farm,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
E1,8.34,8.34,0.0,0.0,True
E10,9.7,9.700000000000001,7.5600000000000005,77.93814432989691,False
E100,14.169999999999998,10.04,24.209999999999997,170.85391672547635,False
E1000,7.7700000000000005,7.7700000000000005,0.0,0.0,True
E1001,1.46,1.46,0.0,0.0,True
E1002,12.41,6.5,7.530000000000001,60.67687348912168,False
E1003,4.92,1.83,3.0900000000000003,62.8048780487805,False
E1004,2.98,2.52,2.98,100.0,False
E1005,6.4,6.4,2.5199999999999996,39.374999999999986,False
E1006,5.03,5.03,0.0,0.0,True
E1007,5.83,1.17,4.66,79.93138936535163,False
E1008,6.199999999999999,6.199999999999999,0.0,0.0,True
E1009,1.9300000000000002,1.9300000000000002,1.02,52.84974093264248,False
E101,11.11,8.379999999999999,5.43,48.874887488748875,False
E1010,5.67,3.76,6.41,113.05114638447972,False
E1011,2.7800000000000002,2.7800000000000002,4.32,155.3956834532374,False
E1012,910.99,902.11,8.879999999999995,0.9747637185918611,True
E1013,5.43,5.43,0.5199999999999998,9.576427255985264,True
E1014,0.28,0.28,0.0,0.0,True
E1015,11.54,11.54,1.8599999999999999,16.11785095320624,True
E1016,5.9,3.06,2.84,48.13559322033898,False
E1017,8.159999999999998,6.1899999999999995,3.3099999999999996,40.56372549019608,False
E1018,6.73,5.42,3.5900000000000007,53.34323922734027,False
E1019,10.53,10.53,0.0,0.0,True
E102,2.13,2.13,0.0,0.0,True
E1020,13.29,12.51,13.559999999999999,102.0316027088036,False
E1021,3.13,3.13,0.0,0.0,True
E1022,1.61,1.61,0.0,0.0,True
E1023,6.3500000000000005,6.3500000000000005,0.0,0.0,True
E1024,6.86,4.54,10.879999999999999,158.600583090379,False
E1025,2.63,2.63,0.0,0.0,True
E1026,7.03,7.029999999999999,1.9199999999999995,27.311522048364143,False
E1027,17.04,13.780000000000001,8.700000000000001,51.05633802816902,False
E1028,2.72,2.7199999999999998,2.6599999999999997,97.7941176470588,False
E1029,7.08,7.08,0.0,0.0,True
E103,4.3100000000000005,2.09,2.22,51.50812064965197,False
E1030,0.85,0.85,0.0,0.0,True
E1031,8.92,8.850000000000001,1.9700000000000015,22.08520179372199,False
E1032,2.02,2.02,0.0,0.0,True
E1033,2.73,2.73,0.0,0.0,True
E1034,7.86,7.86,0.0,0.0,True
E1035,7.72,4.01,5.549999999999999,71.89119170984455,False
E1036,206.32000000000002,146.97000000000003,85.57,41.47440868553703,False
E1037,6.4,6.4,0.0,0.0,True
E1038,6.68,6.68,0.0,0.0,True
E1039,7.65,7.65,0.0,0.0,True
E104,12.66,11.73,1.43,11.295418641390205,True
E1040,6.65,6.65,1.58,23.7593984962406,False
E1041,11.64,0.0,11.64,100.0,False
E1042,11.29,11.29,0.5000000000000001,4.428697962798939,True
E1043,7.79,4.75,3.0400000000000005,39.024390243902445,False
E1044,2.14,2.14,0.0,0.0,True
E1045,6.58,6.58,0.7,10.638297872340425,True
E1046,0.98,0.98,0.0,0.0,True
E1047,9.68,7.06,2.619999999999999,27.066115702479333,False
E1048,7.56,5.91,1.6499999999999997,21.825396825396822,False
E1049,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E105,14.18,9.26,9.760000000000002,68.82933709449931,False
E1050,7.779999999999999,6.72,8.92,114.65295629820052,False
E1051,1.3399999999999999,1.3399999999999999,0.0,0.0,True
E1052,2.2600000000000002,2.2600000000000002,1.3200000000000003,58.407079646017706,False
E1053,15.950000000000001,15.950000000000001,1.7800000000000007,11.159874608150472,True
E1054,68.12,63.379999999999995,112.92,165.76629477392834,False
E1055,21.98,21.98,0.9600000000000004,4.367606915377618,True
E1056,2.73,2.73,0.0,0.0,True
E1057,8.06,7.27,15.33,190.1985111662531,False
E1058,7.6499999999999995,6.82,4.2700000000000005,55.8169934640523,False
E1059,3.2899999999999996,1.9,1.3899999999999997,42.24924012158054,False
E106,7.8100000000000005,6.81,2.9599999999999995,37.9001280409731,False
E1060,13.61,13.61,0.6799999999999997,4.996326230712709,True
E1061,3.3699999999999997,3.37,0.1399999999999994,4.154302670623128,True
E1062,3.85,3.85,0.0,0.0,True
E1063,1.56,1.56,0.0,0.0,True
E1064,3.93,3.93,0.0,0.0,True
E1065,8.71,5.76,4.15,47.646383467278994,False
E1066,2.58,0.9199999999999999,1.6600000000000001,64.34108527131782,False
E1067,7.37,4.8,2.5700000000000003,34.871099050203526,False
E1068,9.46,7.66,7.8999999999999995,83.50951374207187,False
E1069,2.66,2.66,0.0,0.0,True
E107,5.06,5.06,0.5800000000000001,11.462450592885379,True
E1070,7.85,7.85,0.0,0.0,True
E1071,3.32,3.32,0.0,0.0,True
E1072,3.45,3.45,0.54,15.652173913043477,True
E1073,7.53,7.53,0.0,0.0,True
E1074,1.9900000000000002,1.9900000000000002,0.7600000000000001,38.19095477386935,False
E1075,4.2700000000000005,4.2700000000000005,0.1400000000000003,3.2786885245901702,True
E1076,1.78,1.7799999999999998,1.5999999999999999,89.8876404494382,False
E1077,3.97,3.97,1.2800000000000002,32.24181360201512,False
E1078,3.48,3.4800000000000004,0.6000000000000003,17.241379310344836,True
E1079,10.19,9.15,2.14,21.00098135426889,False
E108,6.65,6.6499999999999995,4.059999999999999,61.05263157894735,False
E1080,3.0,1.43,1.5699999999999998,52.33333333333332,False
E1081,3.08,3.08,2.16,70.12987012987013,False
E1082,7.6899999999999995,7.69,6.34,82.44473342002601,False
E1083,8.579999999999998,5.41,3.449999999999999,40.20979020979021,False
E1084,3.2800000000000002,1.0,2.2800000000000002,69.51219512195122,False
E1085,5.48,3.33,2.15,39.23357664233576,False
E1086,1.53,1.53,0.0,0.0,True
E1087,7.1899999999999995,6.989999999999999,0.19999999999999996,2.7816411682892905,True
E1088,3.0,3.0,0.3799999999999999,12.666666666666663,True
E1089,5.55,3.36,2.19,39.45945945945946,False
E109,9.02,9.02,6.34,70.28824833702883,False
E1090,1.45,1.45,0.0,0.0,True
E1091,4.029999999999999,2.71,1.3199999999999998,32.754342431761785,False
E1092,4.9399999999999995,4.9399999999999995,1.12,22.67206477732794,False
E1093,8.01,6.27,8.02,100.12484394506866,False
E1094,1.59,1.59,0.0,0.0,True
E1095,1.85,1.85,0.0,0.0,True
E1096,6.29,6.29,0.0,0.0,True
E1097,2.4699999999999998,2.4699999999999998,0.0,0.0,True
E1098,4.53,2.34,2.1900000000000004,48.34437086092716,False
E1099,1.77,1.77,0.0,0.0,True
E11,11.48,11.48,0.0,0.0,True
E110,8.92,7.69,1.23,13.789237668161435,True
E1100,13.0,13.0,0.0,0.0,True
E1101,2.42,0.73,1.69,69.83471074380165,False
