crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,0.32,6.4,4480.0,0.0,4480.0,1919.5807466666663,157.52533333333332,2441.6426666666666,0.09802447624974071,820.9537254901958,1.92,46.08,0.0,3840.0,-0.41953580090999987
AG,5,1,3.63,72.6,50820.0,0.0,50820.0,21775.244094999995,1786.9279999999999,27697.384,1.111965152457996,9312.69382352941,21.78,522.72,0.0,0.0,-4.586090454000001
AG,6,1,24.74,494.8,346360.0,0.0,346360.0,148407.58647666665,12178.677333333335,188769.49866666668,7.578517320058078,63469.98490196076,148.44,3562.5600000000004,0.0,0.0,-28.369965115141206
AN_NU,1,2,2.04,40.8,29919.999999999996,0.0,29919.999999999996,14217.9568,893.52,13849.56,0.5560174237710018,4618.25,14.96,262.276,0.0,0.0,-3.1015208985047993
AN_NU,4,1,16.36,327.2,239946.66666666666,0.0,239946.66666666666,114022.43786666666,7165.68,111068.04000000001,4.459041692594898,37036.55392156863,119.97333333333334,2103.350666666667,0.0,0.0,-24.872981323303193
AN_NU,5,1,0.6,12.0,8800.0,0.0,8800.0,4181.7519999999995,262.8,4073.4,0.16353453640323584,1358.3088235294117,4.4,77.14000000000001,0.0,0.0,-0.9122120289719998
AN_NU,6,1,1.67,33.400000000000006,24493.333333333332,0.0,24493.333333333332,11639.209733333333,731.46,11337.630000000001,0.4551711263223398,3780.626225490196,12.246666666666668,214.7063333333334,0.0,0.0,-2.5389901473053995
AN_PA,1,2,19.09,668.15,489976.6666666666,0.0,489976.6666666666,312375.39699999994,8323.24,129010.22,5.1793652769135035,85384.2360294118,305.44,4097.986666666667,0.0,0.0,-29.023546055125795
AN_PA,4,1,275.86,9655.1,7080406.666666666,0.0,7080406.666666666,4513979.937999999,120274.95999999999,1864261.88,74.84440572495333,1233844.7014705886,4413.76,59217.94666666667,0.0,0.0,-419.4046838536931
AN_PA,5,1,57.54,2013.9,1476859.9999999998,0.0,1476859.9999999998,941544.2819999999,25087.44,388855.32,15.611350342252646,257360.34264705892,920.64,12351.920000000002,0.0,0.0,-87.48113357841478
AN_PA,6,1,7.42,259.7,190446.66666666663,0.0,190446.66666666663,121415.68599999997,3235.12,50144.36,2.0131425015556936,33187.58676470589,118.72,1592.8266666666668,0.0,0.0,-11.281022091620397
BA_INT,1,2,1.0,45.0,24300.0,18658.0,42958.0,10339.585,1558.15625,24151.421875,0.9696056316116988,29224.163602941175,7.5,388.5000000000001,0.0,0.0,0.14763822969499962
BA_INT,2,2,3.74,168.3,90882.0,69780.92,160662.92,38670.0479,5827.504375,90326.3178125,3.6263250622277536,109298.371875,28.05,1452.9900000000005,0.0,50714.4,0.5521669790592989
BA_INT,3,2,47.29,2128.05,1149147.0,882336.82,2031483.82,488958.97464999993,73685.2090625,1142120.74046875,45.852650318917235,1382010.6967830881,354.675,18372.165000000005,0.0,615488.4,6.981811882276532
BA_INT,4,1,29.73,1337.85,722439.0,554702.34,1277141.34,307395.86205,46323.9853125,718021.77234375,28.826375427815805,868834.3839154411,222.975,11550.105000000003,0.0,88953.59999999999,8.258975769840363
BA_INT,5,1,798.29,35923.05,19398447.0,14894494.82,34292941.82,8253987.309649999,1243860.5528125,19279838.56859375,774.026479659303,23329357.56259191,5987.175,310135.6650000001,0.0,7854901.2,235.86759485093273
BA_INT,6,1,87.08,3918.6,2116044.0,1624738.64,3740782.64,900371.0617999999,135684.24625,2103105.816875,84.43325840074674,2544840.1665441175,653.1,33830.58000000001,0.0,0.0,26.741180364864977
BA_INT,7,3,10.92,491.4,265356.0,203745.36,469101.36,112908.26819999999,17015.06625,263733.526875,10.588093497199752,319127.8665441176,81.9,4242.420000000001,0.0,0.0,1.8239403534218965
BA_IRR,1,2,3.2600000000000002,110.84,59853.6,46481.08,106334.68000000001,30168.66977272727,3506.4263636363635,54349.608636363635,2.1819703569610227,61608.2361631016,19.560000000000002,1076.1912,0.0,44205.600000000006,-0.7525185785014401
BA_IRR,2,2,28.36,964.24,520689.6,404356.88,925046.48,262448.9186363636,30503.75818181818,472808.2518181818,18.981803473440063,535953.8581550802,170.16,9362.2032,0.0,384561.6,-6.489498845849808
BA_IRR,3,2,80.21,2727.14,1472655.6,1143634.18,2616289.78,742278.8351136362,86273.1468181818,1337233.7756818181,53.685841206087005,1515827.1848596255,481.26,26478.9252,0.0,1087647.6,-18.354115036164075
BA_PER,1,2,11.54,207.72,112168.8,83088.0,195256.8,54307.682366666675,6522.311833333332,101095.83341666666,4.058688135241651,118961.53957107844,28.85,1793.316,0.0,56274.0,-8.70724646921201
BA_PER,2,2,21.080000000000002,379.44,204897.6,151776.0,356673.60000000003,99203.28806666668,11914.240333333331,184670.72516666664,7.413964115328769,217305.82791666666,52.7,3275.832,0.0,196891.2,-16.727438918029403
BA_PER,3,2,18.67,336.06,181472.4,134424.0,315896.4,87861.73568333335,10552.128416666665,163557.9904583333,6.566352468367557,192462.040189951,46.675000000000004,2901.318,0.0,197976.0,-14.815051451594352
BA_PER,4,1,37.01,666.18,359737.2,266472.0,626209.2,174170.4787166667,20917.74358333333,324225.0255416666,13.016641931134618,381522.23392769607,92.525,5751.354,0.0,69156.00000000001,-28.447282718375103
BA_PER,5,1,22.87,411.65999999999997,222296.4,164664.0,386960.4,107627.09668333335,12925.933416666665,200351.96795833332,8.043517994192076,235758.2677634804,57.175000000000004,3553.998,0.0,87733.2,-15.327126913593819
BA_PER,6,1,40.54,729.72,394048.8,291888.0,685936.8,190782.79403333334,22912.870166666664,355149.4875833333,14.258164384982367,417911.68234068627,101.35,6299.916,0.0,0.0,-27.837615212507224
BA_PER,7,3,24.580000000000002,442.44,238917.6,176976.0,415893.6,115674.42223333335,13892.411166666665,215332.3730833333,8.6449353868492,253386.0175612745,61.45,3819.732,0.0,0.0,-18.441876070631352
BA_SINT,5,1,7.98,215.46,116348.4,91434.84,207783.24000000002,45445.769918181795,7648.1045454545465,118545.62045454547,4.7592436499406015,138881.898328877,47.88,2167.3680000000004,0.0,34442.399999999994,-3.1527197123014794
BA_SINT,6,1,1.61,43.470000000000006,23473.8,18447.38,41921.18,9168.88340454545,1543.0386363636364,23917.098863636365,0.9601982802511739,28020.03211898396,9.66,437.276,0.0,0.0,-0.5758663051515004
BC_BT,4,1,3.45,89.7,71760.0,0.0,71760.0,39283.554375,2100.61875,32559.590624999997,1.307167859365277,4476.596966911764,8.625,268.41,0.0,39188.399999999994,-1.432716556486079
BC_BT,5,1,140.18,3644.68,2915744.0,0.0,2915744.0,1596164.82675,85352.0975,1322957.51125,53.112692906036095,181892.5689338235,350.45,10906.004,0.0,327474.0,-53.72309537298902
BC_BT,6,1,34.160000000000004,888.16,710528.0,0.0,710528.0,388964.12100000004,20799.17,322387.135,12.942856253889234,44324.79779411764,85.4,2657.6480000000006,0.0,0.0,-10.523771476477227
