crop,gross_margin
AG,172102.4113183333
AN_NU,144061.3564
AN_PA,5889315.302999999
BA_INT,10112631.109249998
BA_IRR,1034896.4235227271
BA_PER,829627.4977833334
BA_SINT,54614.653322727245
BC_BT,2024412.5021249999
BC_GTMG,43332.31325000001
CS_BT_NIM,7236042.393062571
CS_BT_NISM,2770.3244957142865
CS_CGT_NIM,1501523.5424151435
CS_CGT_NISM,2344.9364834285716
CS_EGT_NIM,4054778.199331715
CS_EGT_NISM,158442.47853971424
CS_MG_NISM,2470353.583850287
CS_NGT_NIM,6983203.123549144
CS_NGT_NISM,576912.1864277143
CS_SBT_NIM,739136.3548746664
IG_PLA,1020297.75715
IG_TUT,198529.24874999997
JA,83448.0
MA_MOBIO,9724.439999999999
MA_PLBIO,431639.58
MA_ROTA,13075673.232761998
MA_TO_CO_JA,9269944.378247
ME,48199.58064000001
NC,0.0
PN_PIQ,9765984.24
PN_TOUR,421180.16000000003
VE_BTGT,34896.33565333333
