crop,labor_cost
AG,218908.52533333332
AN_NU,140328.63
AN_PA,2432271.7800000003
BA_INT,23621298.16484375
BA_IRR,1864391.6361363635
BA_PER,1544383.4032083333
BA_SINT,142462.71931818183
BC_BT,1677904.236875
BC_GTMG,36762.00875000001
CS_BT_NIM,516289.6992857143
CS_BT_NISM,325.1678571428572
CS_CGT_NIM,115280.87357142859
CS_CGT_NISM,291.66571428571433
CS_EGT_NIM,318741.3578571429
CS_EGT_NISM,19886.477857142858
CS_MG_NISM,301054.1971428572
CS_NGT_NIM,567522.3585714286
CS_NGT_NISM,74735.39785714286
CS_SBT_NIM,57318.79333333333
IG_PLA,932544.48
IG_TUT,336548.55499999993
JA,0.0
MA_MOBIO,53776.31999999999
MA_PLBIO,3303844.065
MA_ROTA,11995473.870000001
MA_TO_CO_JA,7782652.92
ME,50227.44
NC,0.0
PN_PIQ,11905722.36
PN_TOUR,212690.37999999998
VE_BTGT,44864.91533333333
