crop,production_tonnes
AG,573.8
AN_NU,413.4
AN_PA,12596.85
BA_INT,44012.25
BA_IRR,3802.22
BA_PER,3173.22
BA_SINT,258.93
BC_BT,4622.54
BC_GTMG,99.32000000000001
CS_BT_NIM,193865.94
CS_BT_NISM,97.67999999999999
CS_CGT_NIM,36853.11
CS_CGT_NISM,74.592
CS_EGT_NIM,92191.23000000001
CS_EGT_NISM,4601.496
CS_MG_NISM,69660.384
CS_NGT_NIM,155508.12000000002
CS_NGT_NISM,16382.736000000003
CS_SBT_NIM,20408.7
IG_PLA,1611.54
IG_TUT,328.65
JA,0.0
MA_MOBIO,50.04
MA_PLBIO,3002.13
MA_ROTA,25281.72
MA_TO_CO_JA,16024.68
ME,103.2
NC,0.0
PN_PIQ,4023.4392000000003
PN_TOUR,201.6288
VE_BTGT,115.855
