crop,revenue
AG,401659.99999999994
AN_NU,303159.99999999994
AN_PA,9237690.0
BA_INT,42015071.9
BA_IRR,3647670.94
BA_PER,2982826.8
BA_SINT,249704.42
BC_BT,3698032.0
BC_GTMG,79456.0
CS_BT_NIM,12577161.392485714
CS_BT_NISM,6406.533257142857
CS_CGT_NIM,2585702.778771429
CS_CGT_NISM,5295.883154285714
CS_EGT_NIM,6888919.189757143
CS_EGT_NISM,348093.02373714285
CS_MG_NISM,4853781.920182858
CS_NGT_NIM,12190199.24737143
CS_NGT_NISM,1300205.0074971428
CS_SBT_NIM,1357748.947
IG_PLA,2417310.0
IG_TUT,657299.9999999999
JA,83448.0
MA_MOBIO,82566.0
MA_PLBIO,4728354.75
MA_ROTA,26545806.0
MA_TO_CO_JA,17627148.0
ME,123840.0
NC,0.0
PN_PIQ,23470062.0
PN_TOUR,1008144.0000000001
VE_BTGT,81098.5
