farm,revenue
E1,35303.48211428571
E10,37345.0
E100,38654.0
E1000,37302.1494
E1001,7009.1554857142855
E1002,45941.11682857143
E1003,7045.5
E1004,37388.3346
E1005,31310.831085714286
E1006,285201.0
E1007,5616.925971428571
E1008,27048.12585714286
E1009,7433.970057142857
E101,32263.0
E1010,14476.0
E1011,62912.700000000004
E1012,3778135.926348571
E1013,26068.297457142857
E1014,1078.0
E1015,52719.56734285714
E1016,12767.500371428572
E1017,47585.78868571429
E1018,47817.95714285714
E1019,40540.5
E102,8200.5
E1020,48163.5
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,17479.0
E1025,12626.081457142856
E1026,47434.66931428571
E1027,53053.0
E1028,107712.0
E1029,33989.60331428571
E103,8652.236514285714
E1030,4080.6727142857144
E1031,50467.518800000005
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,15438.5
E1036,979123.9406285714
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,48577.14034285714
E1040,39719.30443809524
E1042,56997.00879047619
E1043,20511.402571428574
E1044,84744.0
E1045,45248.81188571428
E1046,4704.7756
E1047,33893.587485714284
E1048,28372.677342857143
E1049,109431.0
E105,94950.7467047619
E1050,25872.0
E1051,6433.060514285715
E1052,8536.0
E1053,69796.9472857143
E1054,1039103.0654190476
E1055,105065.01571428572
E1056,13106.160600000001
E1057,412209.0
E1058,30145.978342857146
E1059,7315.0
E106,26904.126257142856
E1060,63418.17265714286
E1061,15817.36637142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,22176.0
E1066,3542.0
E1067,20318.550857142858
E1068,29491.0
E1069,11914.392914285714
E107,24836.2
E1070,30222.5
E1071,11725.872662857144
E1072,12286.914994285715
E1073,31814.541857142856
E1074,7629.0
E1075,17354.4
E1076,15044.6
E1077,15284.5
E1078,12732.034354285715
E1079,38312.45202857143
E108,28149.659
E1080,5505.5
E1081,11615.5
E1082,29547.336428571427
E1083,22100.16434285714
E1084,3850.0
E1085,12820.5
E1086,4861.280365714287
E1087,29152.233857142855
E1088,10096.984045714287
E1089,12936.0
E109,54607.96991428571
E1090,5582.5
E1091,10433.5
E1092,17774.518742857144
E1093,24139.5
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,10343.341542857144
E1099,7492.465628571428
E11,47589.58579999999
E110,32552.011685714286
E1100,54485.50394285714
E1101,2810.5
E1102,7849.0
E1103,21265.39262857143
E1104,9394.0
E1105,10255.2
E1106,9086.0
E1107,4889.5
E1108,68174.02
E1109,23070.128114285715
E111,6853.0
E1110,14363.0
E1111,4994.977085714286
E1112,213382.5
E1113,17794.250414285714
E1114,5346.368257142857
E1115,8085.0
E1116,13881.5
E1117,3850.0
E1118,14938.0
E1119,24033.857394285715
E112,38769.5
E1120,20751.5
E1121,13040.161005714286
E1122,167892.2
E1123,17171.0
E1124,10010.0
E1125,13167.0
E1126,3216.5302571428574
E1128,25863.822028571427
E1129,111906.66666666666
E113,13671.420342857142
E1130,4861.280365714287
E1131,44557.8
E1132,44647.36028571428
E1133,62429.100000000006
E1134,312009.5
E1135,27385.495514285714
E1136,21367.5
E1137,79485.0
E1138,17961.098542857144
E1139,17748.5
E114,47392.782017142854
E1140,13970.303057142857
E1141,25045.164057142858
E1142,61277.71906857143
E1143,88704.0
E1144,113940.0
E1145,13598.875794285717
E1146,17707.67725714286
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19467.372885714285
E115,24285.113742857142
E1150,39606.52928571429
E1151,9361.543285714286
E1152,8441.377085714286
E1153,38016.0
E1154,18722.2
E1155,9422.5
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,44820.19452857143
E1160,58905.0
E1161,56570.70111428571
E1163,10266.0
E1164,6352.5
E1165,9285.233514285714
E1166,27873.249714285717
E1167,12705.0
E1168,14367.784428571427
E117,32956.0
E1170,5042.461071428572
E1171,4219.422154285714
E1172,9317.0
E1173,8619.451285714287
E1174,12149.0
E1175,5736.5
E1176,9194.5
E1177,11670.431114285713
E1178,3598.9856285714286
E1179,248912.99999999997
E118,13406.849085714288
E1180,6518.868399999999
E1181,9612.0
E1182,2632.5
E1183,19806.07182857143
E1184,64659.304142857145
E1185,27736.652885714284
E1186,15659.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,32596.631914285714
E119,37088.011685714286
E1190,348138.0
E1191,28143.5
E1192,12260.069428571429
E1193,17515.4461
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,85140.0
E12,16043.189114285715
E120,19942.5
E1200,4002.5
E1201,30864.986
E1202,6337.044685714286
E1203,20811.6
E1204,20443.5
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1208,0.0
E1209,8881.464142857143
E121,24224.07181428571
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,8401.385
E1214,7318.560514285715
E1215,3823.490685714286
E1217,85017.32907619048
E1218,7681.266285714286
E1219,17282.849142857143
E122,30909.5
E1220,0.0
E1222,8545.408742857144
E1223,12578.073542857142
E1224,6769.115914285714
E1225,8234.457628571428
E1226,6048.9972
E1227,55423.61354285714
E1228,123404.44551428569
E1229,9073.4958
E123,681796.5
E1230,6000.989285714286
E1231,7507.5
E1232,109829.68663809524
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9300.608
E1237,34101.95937142857
E1238,12224.266285714286
E1239,9409.5512
E124,6891.5
E1240,6961.147571428572
E1241,2640.435285714286
E1242,17706.817485714284
E1243,24086.340314285713
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,220112.6666666667
E1248,5376.8864
E1249,880.0
E125,35954.275428571425
E1250,8881.464142857143
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8039.615914285715
E1254,28516.701085714285
E1255,48184.61402857143
E1256,54724.3212
E1257,13606.288542857143
E1258,45509.41337142857
E1259,6817.123828571428
E126,15400.0
E1260,20078.554171428572
E1261,51176.43662857143
E1262,5424.894314285714
E1263,77779.79741904762
E1264,12106.469885714287
E1265,30292.993914285715
E1266,16439.5
E1267,27076.46365714286
E1268,5164.298342857142
E1269,13634.247657142856
E127,6984.238377142858
E1270,9608.981342857141
E1271,47097.495839999996
E1272,9270.338828571428
E1273,84110.3344857143
E1274,27741.031428571427
E1275,0.0
E1276,3744.0
E1277,34940.24581142857
E1278,29428.85145714286
E1279,34710.21973333333
E128,1771.0
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13547.413771428572
E1283,286.0
E1284,46145.86942857143
E1285,8593.416657142858
E1286,6519.246337142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,4848.799342857143
E129,20554.076142857146
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4379.395908571429
E1293,1493.3344914285717
