crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,18248456.9
BA_IRR,1594472.14
BA_PER,1269288.0
BA_SINT,109882.22
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,8467203.464485714
CS_BT_NISM,4335.717257142857
CS_CGT_NIM,1734764.4688714286
CS_CGT_NISM,3573.5538742857143
CS_EGT_NIM,4569387.842957143
CS_EGT_NISM,232319.38437714285
CS_MG_NISM,3710655.018742858
CS_NGT_NIM,8179644.832571429
CS_NGT_NISM,877694.2460571429
CS_SBT_NIM,937941.9879999999
IG_PLA,0.0
IG_TUT,0.0
JA,83448.0
MA_MOBIO,0.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3352866.0
PN_TOUR,0.0
VE_BTGT,0.0
