crop,subsidy_per_euro_sold
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,0.7678189300411522
BA_IRR,0.7765795206971677
BA_PER,0.7407407407407408
BA_SINT,0.7858710562414265
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,2.060167917243389
CS_BT_NISM,2.093724047497633
CS_CGT_NIM,2.03864892282884
CS_CGT_NISM,2.0748377884429363
CS_EGT_NIM,1.9699616688780772
CS_EGT_NISM,2.0066690972263728
CS_MG_NISM,3.2460569461435433
CS_NGT_NIM,2.0395296975366772
CS_NGT_NISM,2.077329919516814
CS_SBT_NIM,2.23422210587986
IG_PLA,0.0
IG_TUT,0.0
JA,
MA_MOBIO,0.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,
PN_PIQ,0.16666666666666666
PN_TOUR,0.0
VE_BTGT,0.0
