crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,39.0,61.84,61.324871082903606,False
AN,132.67000000000002,528.52,395.84999999999997,298.37190020351244,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,247.31,100.1,67.99809795530194,False
CS,12812.93,12893.25,80.31999999999971,0.6268667666177815,True
IG,145.42,27.13,118.28999999999999,81.34369412735525,False
JA,621.47,119.21,502.26000000000005,80.8180604051684,False
MA,1086.97,3533.67,2446.7,225.09360883925035,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,6147.63,38.19999999999982,0.6252629132341285,True
VE,310.89,11.03,299.86,96.45212132908746,False
TOTAL,23577.99,23546.749999999996,6153.579999999999,26.098832003915508,False
