region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,30.63,29.7,3193.5483870967746,False
1,BA,8.63,0.0,8.63,100.0,False
1,BC,6.83,0.35,6.48,94.87554904831624,False
1,CS,775.8,848.6899999999999,72.88999999999999,9.39546274813096,True
1,IG,20.33,1.06,19.27,94.78603049680277,False
1,JA,23.62,5.88,17.740000000000002,75.10584250635056,False
1,MA,40.6,78.35,37.74999999999999,92.98029556650243,False
1,PN,604.53,532.09,72.43999999999994,11.982862719798844,True
1,VE,17.67,0.03,17.64,99.83022071307299,False
1,TOTAL,1500.3600000000001,1497.08,283.9599999999999,18.926124396811424,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,0.0,1.32,100.0,False
2,BC,18.47,2.94,15.53,84.08229561451002,False
2,CS,2151.11,2303.43,152.3199999999997,7.080995393076119,True
2,IG,36.1,11.92,24.18,66.98060941828254,False
2,JA,52.29,13.379999999999999,38.91,74.41193344807802,False
2,MA,367.53,512.27,144.74,39.38181917122412,False
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,1556.35,168.84000000000015,9.786748126293343,True
2,VE,38.54,0.07,38.47,99.81837052413077,False
2,TOTAL,4403.72,4400.36,597.4799999999999,13.567620103003822,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,0.0,159.43,100.0,False
3,BC,4.07,6.930000000000001,2.8600000000000003,70.27027027027027,False
3,CS,4019.76,3827.02,192.74000000000024,4.79481362071368,True
3,IG,38.81,12.3,26.51,68.3071373357382,False
3,JA,219.81,48.04,171.77,78.14476138483235,False
3,MA,176.24,531.54,355.29999999999995,201.60009078529274,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,1706.9,408.09000000000015,31.420300120879894,False
3,VE,51.76,4.57,47.19,91.1707882534776,False
3,TOTAL,6148.639999999999,6137.299999999999,1543.8400000000004,25.10864191105676,False
4,AG,14.95,0.07,14.879999999999999,99.53177257525084,False
4,AN,121.55,421.45,299.9,246.7297408473879,False
4,BA,102.1,0.0,102.1,100.0,False
4,BC,27.34,3.0,24.34,89.02706656912949,False
4,CS,3256.9,3092.65,164.25,5.0431391814301945,True
4,IG,32.25,0.0,32.25,100.0,False
4,JA,69.72,32.36,37.36,53.585771658060814,False
4,MA,165.87,249.0,83.13,50.11756194610237,False
4,PN,634.92,675.57,40.65000000000009,6.402381402381417,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4474.1,852.4700000000001,19.031704251419338,True
5,AG,37.66,1.42,36.239999999999995,96.22942113648433,False
5,AN,7.75,59.73,51.98,670.7096774193549,False
5,BA,1427.01,0.0,1427.01,100.0,False
5,BC,81.31,195.91,114.6,140.94207354568934,False
5,CS,318.72,395.39,76.66999999999996,24.05559738955822,False
5,IG,5.26,0.0,5.26,100.0,False
5,JA,190.46,0.28,190.18,99.85298750393783,False
5,MA,75.74,1568.59,1492.85,1971.0192764721417,False
5,PN,208.62,171.74,36.879999999999995,17.67807496884287,True
5,VE,48.49,5.54,42.95,88.57496391008455,False
5,TOTAL,2401.0199999999995,2398.5999999999995,3474.62,144.7143297431925,False
6,AG,44.27,37.51,6.760000000000005,15.26993449288458,True
6,AN,0.04,16.71,16.67,41675.00000000001,False
6,BA,222.31,0.0,222.31,100.0,False
6,BC,8.28,38.18,29.9,361.11111111111114,False
6,CS,104.55,142.55,38.000000000000014,36.34624581539934,False
6,IG,4.65,0.0,4.65,100.0,False
6,JA,51.83,12.11,39.72,76.63515338606985,False
6,MA,202.25,477.66,275.41,136.17305315203959,False
6,PN,280.28,287.69,7.410000000000025,2.643784786641939,True
6,VE,94.77,0.82,93.95,99.13474728289543,False
6,TOTAL,1013.2299999999999,1013.2300000000001,734.7800000000002,72.51857919722079,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,2283.52,97.42999999999984,4.4568155931365965,True
7,IG,8.02,1.85,6.17,76.93266832917706,False
7,JA,13.74,7.16,6.58,47.88937409024745,False
7,MA,58.74,116.26,57.52,97.9230507320395,False
7,PN,1357.08,1217.29,139.78999999999996,10.30079287882807,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.81,3626.08,315.6299999999998,8.69070793901663,True
