crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,0.07,1.4000000000000001,980.0000000000001,0.0,980.0000000000001,167.86701808333325,34.458666666666666,534.1093333333333,0.021442854179630783,179.58362745098034,0.42000000000000004,10.080000000000002,0.0,840.0000000000001,-0.05481000000000001
AG,5,1,1.42,28.4,19880.0,0.0,19880.0,3405.3023668333312,699.0186666666666,10834.789333333332,0.4349836133582244,3642.9821568627435,8.52,204.48,0.0,8400.0,-1.6906771757700003
AG,6,1,37.51,750.2,525140.0,0.0,525140.0,89952.74069008329,18464.922666666665,286206.30133333337,11.490306575399295,96231.16950980389,225.06,5401.44,0.0,0.0,-44.43582062771101
AN_NU,1,2,2.13,42.6,31239.999999999996,0.0,31239.999999999996,7467.56842,932.9399999999999,14460.569999999998,0.5805476042314872,4821.996323529411,15.620000000000001,273.84700000000004,0.0,0.0,-3.2383527028505994
AN_NU,4,1,19.31,386.2,283213.3333333333,0.0,283213.3333333333,67698.94187333333,8457.78,131095.59,5.263086496577474,43714.9056372549,141.60666666666668,2482.6223333333337,0.0,0.0,-29.358023799082194
AN_NU,5,1,1.07,21.4,15693.333333333332,0.0,15693.333333333332,3751.313713333333,468.65999999999997,7264.23,0.2916365899191039,2422.3174019607845,7.846666666666668,137.56633333333338,0.0,0.0,-1.6267781183333998
AN_NU,6,1,9.15,183.0,134200.0,0.0,134200.0,32078.9911,4007.7000000000003,62119.35,2.4939016801493468,20714.209558823528,67.10000000000001,1176.3850000000002,0.0,0.0,-13.911233441822997
AN_PA,1,2,28.5,997.5,731499.9999999999,0.0,731499.9999999999,347038.37249999994,12426.0,192603.0,7.732420659614188,127472.53676470593,456.0,6118.000000000001,0.0,0.0,-43.33007137616999
AN_PA,4,1,402.14,14074.9,10321593.333333332,0.0,10321593.333333332,4896772.3199,175333.04,2717662.12,109.1058120721842,1798659.8573529418,6434.24,86326.05333333334,0.0,0.0,-611.3949088846666
AN_PA,5,1,58.660000000000004,2053.1,1505606.6666666665,0.0,1505606.6666666665,714290.2080999999,25575.760000000002,396424.28,15.915220908525203,262369.78970588243,938.5600000000001,12592.346666666668,0.0,0.0,-89.18392936582919
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,92056.49459999998,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BC_BT,4,1,3.0,78.0,62400.0,0.0,62400.0,21451.438125000004,1826.625,28312.6875,1.136667703795893,3892.693014705882,7.5,233.40000000000003,0.0,23323.2,-1.2006137434486792
BC_BT,5,1,195.91,5093.66,4074928.0,0.0,4074928.0,1400850.41435625,119284.70125,1848912.869375,74.2281899502178,254205.82950367642,489.775,15241.798000000003,0.0,423614.4,-70.67046864911903
