crop,gross_margin
AG,93525.91007499995
AN_NU,110996.81510666666
AN_PA,6050157.395099999
BC_BT,1695307.15501875
BC_GTMG,72440.6822125
CS_BT_NIM,6141126.634360886
CS_BT_NISM,1642.6260738428591
CS_CGT_NIM,1469978.858912458
CS_CGT_NISM,254.25262038571444
CS_EGT_NIM,3765173.0958648864
CS_EGT_NISM,81430.39351015713
CS_MG_NISM,2089451.0435913166
CS_NGT_NIM,5414278.164240844
CS_NGT_NISM,309443.13082147145
CS_SBT_NIM,658122.6381773998
IG_PLA,118678.14346749995
JA,23842.0
MA_MOBIO,-3569098.3020000006
MA_PLBIO,-496395.11249999993
MA_ROTA,22777815.934325896
MA_TO_CO_JA,19136227.442670804
NC,0.0
PN_PIQ,3599084.3040000005
PN_TOUR,28948.496000000006
VE_BTGT,19472.10757466666
