crop,labor_cost
AG,297575.2
AN_NU,214939.74
AN_PA,3357779.88
BC_BT,2237551.6931249998
BC_GTMG,98352.80875000001
CS_BT_NIM,656094.1414285715
CS_BT_NISM,471.00071428571437
CS_CGT_NIM,167179.6342857143
CS_CGT_NISM,72.91642857142858
CS_EGT_NIM,431787.4414285715
CS_EGT_NISM,22152.79928571429
CS_MG_NISM,450016.54857142863
CS_NGT_NIM,662217.1507142858
CS_NGT_NISM,91979.14785714286
CS_SBT_NIM,81870.68999999999
IG_PLA,282586.08
JA,0.0
MA_MOBIO,8325270.72
MA_PLBIO,1091971.125
MA_ROTA,38954416.17
MA_TO_CO_JA,27033061.44
NC,0.0
PN_PIQ,11905507.53
PN_TOUR,39205.39
VE_BTGT,61934.920666666665
