crop,production_tonnes
AG,780.0
AN_NU,633.2
AN_PA,17390.100000000002
BC_BT,6164.34
BC_GTMG,265.71999999999997
CS_BT_NIM,246362.28
CS_BT_NISM,141.48800000000003
CS_CGT_NIM,53444.16
CS_CGT_NISM,18.648
CS_EGT_NIM,124888.14
CS_EGT_NISM,5125.896
CS_MG_NISM,104128.512
CS_NGT_NIM,181455.66
CS_NGT_NISM,20162.736
CS_SBT_NIM,29150.550000000003
IG_PLA,488.34
JA,0.0
MA_MOBIO,7746.84
MA_PLBIO,992.25
MA_ROTA,82100.52
MA_TO_CO_JA,55661.76
NC,0.0
PN_PIQ,4023.3666000000003
PN_TOUR,37.166399999999996
VE_BTGT,159.935
