crop,revenue
AG,546000.0
AN_NU,464346.6666666666
AN_PA,12752740.0
BC_BT,4931472.0
BC_GTMG,212575.99999999997
CS_BT_NIM,15982890.83982857
CS_BT_NISM,9279.766354285715
CS_CGT_NIM,3749770.725485715
CS_CGT_NISM,1323.9707885714286
CS_EGT_NIM,9332170.795628572
CS_EGT_NISM,387762.72716571426
CS_MG_NISM,7255445.05929143
CS_NGT_NIM,14224213.179114286
CS_NGT_NISM,1600202.207497143
CS_SBT_NIM,1939326.2955
IG_PLA,732510.0
JA,23842.0
MA_MOBIO,12782286.0
MA_PLBIO,1562793.75
MA_ROTA,86205546.0
MA_TO_CO_JA,61227936.0
NC,0.0
PN_PIQ,23469638.5
PN_TOUR,185832.0
VE_BTGT,111954.5
