farm,revenue
E1,35303.48211428571
E10,44186.79354285714
E100,54554.5
E1000,37302.1494
E1001,7009.1554857142855
E1002,79925.86560952381
E1003,19989.760457142856
E1004,11473.0
E1005,26637.293371428572
E1006,285201.0
E1007,22445.5
E1008,27048.12585714286
E1009,7770.2035857142855
E101,73007.16754285715
E1010,58842.482285714286
E1011,10703.0
E1012,3861014.989917143
E1013,26068.297457142857
E1014,1078.0
E1015,52719.56734285714
E1016,24642.84765714286
E1017,33032.345428571425
E1018,72396.95714285715
E1019,74066.08097142857
E102,8200.5
E1020,100902.33885714287
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,26411.0
E1025,12626.081457142856
E1026,29813.28722857143
E1027,99997.00765714287
E1028,107712.0
E1029,33989.60331428571
E103,16954.955565714285
E1030,4080.6727142857144
E1031,39685.44782857143
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,30853.915542857143
E1036,1266028.603257143
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,51958.464
E1040,37841.12845714286
E1041,233630.9920857143
E1042,56997.00879047619
E1043,33338.75848571429
E1044,84744.0
E1045,45248.81188571428
E1046,4704.7756
E1047,53831.29697142857
E1048,29106.0
E1049,109431.0
E105,166144.83607619046
E1050,65486.263
E1051,6433.060514285715
E1052,9328.522342857143
E1053,69796.9472857143
E1054,1144420.666147619
E1055,105065.01571428572
E1056,13106.160600000001
E1057,443360.0
E1058,32001.434485714286
E1059,20457.62448571429
E106,31137.157685714286
E1060,63418.17265714286
E1061,15817.36637142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,37190.77968571428
E1066,18966.209485714287
E1067,52027.64539428571
E1068,56350.29357142858
E1069,11914.392914285714
E107,23358.5
E1070,30222.5
E1071,11725.872662857144
E1072,12286.914994285715
E1073,31814.541857142856
E1074,11786.110114285715
E1075,18249.0
E1076,13685.597300000001
E1077,15284.5
E1078,12732.034354285715
E1079,42789.74411428572
E108,28149.659
E1080,10709.134285714286
E1081,17082.246985714286
E1082,29530.322097142856
E1083,35377.15234285714
E1084,11322.976411428574
E1085,20176.411177142858
E1086,4861.280365714287
E1087,29922.233857142855
E1088,10096.984045714287
E1089,22319.78648571429
E109,35818.639571428575
E1090,5582.5
E1091,22352.718262857146
E1092,17774.518742857144
E1093,34350.436057142855
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,19094.171142857143
E1099,7492.465628571428
E11,47589.58579999999
E110,37287.511685714286
E1100,54485.50394285714
E1101,14377.97602857143
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,12770.81517142857
E1106,9086.0
E1107,11249.995840000001
E1108,72399.37988571428
E1109,38268.828388571426
E111,17107.936914285714
E1110,14825.112942857142
E1111,4994.977085714286
E1112,392415.79898571427
E1113,11658.5
E1114,6827.1377142857145
E1115,8085.0
E1116,14177.712571428572
E1117,3850.0
E1118,21940.68425142857
E1119,24033.857394285715
E112,56208.80757142857
E1120,29810.54893714286
E1121,13040.161005714286
E1122,143621.5
E1123,17171.0
E1124,10010.0
E1125,29383.495154285716
E1126,3216.5302571428574
E1127,44012.14071428571
E1128,25863.822028571427
E1129,443223.6666666666
E113,26488.0
E1130,4861.280365714287
E1131,60262.9986
E1132,130396.98129523809
E1133,150395.0
E1134,788241.98725
E1135,27385.495514285714
E1136,50056.90174285714
E1137,121329.59428571428
E1138,17930.23564
E1139,21451.570057142857
E114,60653.02261142856
E1140,13970.303057142857
E1141,22272.58565714286
E1142,61277.71906857143
E1143,88704.0
E1144,228751.94002857144
E1145,13598.875794285717
