crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.8,100.04,99.2066640222134,False
AN,132.67000000000002,149.36,16.689999999999998,12.580085927489256,True
BA,1920.8,2373.19,452.3900000000001,23.552165764264895,False
BC,147.21,247.65,100.44,68.22906052577949,False
CS,12812.93,9925.07,2887.8600000000006,22.538638703247425,False
IG,145.42,742.41,596.99,410.5281254297896,False
JA,621.47,1784.1,1162.6299999999999,187.07741322992257,False
MA,1086.97,889.99,196.98000000000002,18.12193528800243,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,7174.97,1065.54,17.440906925850694,False
VE,310.89,0.9099999999999999,309.97999999999996,99.70729196822026,False
TOTAL,23577.99,23288.45,7078.9,30.02333956372023,False
