region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,0.79,0.1399999999999999,15.053763440860205,True
1,BA,8.63,28.04,19.409999999999997,224.9130938586326,False
1,BC,6.83,0.14,6.69,97.9502196193265,False
1,CS,775.8,577.09,198.70999999999992,25.613560195926777,False
1,IG,20.33,43.27,22.940000000000005,112.83817019183476,False
1,JA,23.62,96.33,72.71,307.83234546994066,False
1,MA,40.6,22.36,18.240000000000002,44.92610837438424,False
1,PN,604.53,704.61,100.08000000000004,16.555009676939118,True
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1472.63,458.00999999999993,30.52667359833639,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,112.14,110.82000000000001,8395.454545454546,False
2,BC,18.47,2.6799999999999997,15.79,85.4899837574445,False
2,CS,2151.11,1568.22,582.8900000000001,27.097173087382796,False
2,IG,36.1,144.18,108.08000000000001,299.39058171745154,False
2,JA,52.29,359.55,307.26,587.6075731497418,False
2,MA,367.53,271.59,95.94,26.10399151089707,False
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,1893.06,167.8699999999999,9.730522435210029,True
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4351.42,1440.36,32.70780158593189,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,130.53,28.900000000000006,18.1270777143574,True
3,BC,4.07,4.49,0.41999999999999993,10.319410319410316,True
3,CS,4019.76,2754.52,1265.2400000000002,31.475510975779653,False
3,IG,38.81,440.29,401.48,1034.475650605514,False
3,JA,219.81,789.03,569.22,258.96001091852054,False
3,MA,176.24,91.21,85.03000000000002,48.24670903313664,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,1805.32,506.51,38.99800586690894,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6015.389999999999,3088.51,50.23078274219991,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,142.36,20.810000000000016,17.120526532291255,True
4,BA,102.1,261.71,159.60999999999999,156.32713026444662,False
4,BC,27.34,7.07,20.27,74.14045354791514,False
4,CS,3256.9,2697.75,559.1500000000001,17.168166047468453,True
4,IG,32.25,41.67,9.420000000000002,29.2093023255814,False
4,JA,69.72,92.16,22.439999999999998,32.18588640275387,False
4,MA,165.87,121.33,44.540000000000006,26.852354253330926,False
4,PN,634.92,1089.2,454.2800000000001,71.54917154917156,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4453.25,1359.0800000000002,30.341957621991384,False
5,AG,37.66,0.05,37.61,99.86723313860861,False
5,AN,7.75,3.56,4.1899999999999995,54.06451612903225,False
5,BA,1427.01,1469.1,42.08999999999992,2.949523829545688,True
5,BC,81.31,226.47,145.16,178.52662649120649,False
5,CS,318.72,278.44,40.28000000000003,12.638052208835349,True
5,IG,5.26,20.43,15.17,288.40304182509504,False
5,JA,190.46,232.53,42.06999999999999,22.08862753334033,False
5,MA,75.74,127.96,52.22,68.94639556377079,False
5,PN,208.62,20.37,188.25,90.23583549036526,False
5,VE,48.49,0.9099999999999999,47.580000000000005,98.12332439678286,False
5,TOTAL,2401.0199999999995,2379.8199999999997,614.62,25.598287394524,False
6,AG,44.27,0.75,43.52,98.30585046306753,False
6,AN,0.04,2.6500000000000004,2.6100000000000003,6525.000000000001,False
6,BA,222.31,309.37,87.06,39.16153119517791,False
6,BC,8.28,6.800000000000001,1.4799999999999986,17.874396135265684,True
6,CS,104.55,89.54,15.009999999999991,14.356767097082727,True
6,IG,4.65,28.73,24.08,517.8494623655913,False
6,JA,51.83,194.09,142.26,274.47424271657343,False
6,MA,202.25,238.87,36.620000000000005,18.106304079110014,True
6,PN,280.28,122.32,157.95999999999998,56.35792778649921,False
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,993.1199999999999,605.37,59.746553102454534,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,62.3,62.3,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,1959.51,226.58000000000015,10.364623597381632,True
7,IG,8.02,23.84,15.82,197.2568578553616,False
7,JA,13.74,20.41,6.67,48.54439592430859,False
7,MA,58.74,16.67,42.07,71.6207013959823,False
7,PN,1357.08,1540.09,183.01,13.485571963333038,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3622.8199999999997,544.5900000000001,14.995002491870448,True
