crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,5,1,0.05,1.0,700.0,0.0,700.0,299.9344916666666,24.613333333333333,381.50666666666666,0.015316324414021988,128.2740196078431,0.30000000000000004,7.2,0.0,600.0,-0.05578852855500001
AG,6,1,0.75,15.0,10500.0,0.0,10500.0,4499.017374999999,369.2,5722.599999999999,0.2297448662103298,1924.1102941176464,4.5,108.0,0.0,0.0,-0.9475393500000002
AN_NU,4,1,1.27,25.4,18626.666666666668,0.0,18626.666666666668,8851.375066666666,556.26,8622.03,0.34614810205351587,2875.0870098039213,9.313333333333334,163.27966666666669,0.0,0.0,-1.9308487946573998
AN_NU,5,1,0.28,5.6000000000000005,4106.666666666667,0.0,4106.666666666667,1951.4842666666666,122.64000000000001,1900.9200000000003,0.07631611698817674,633.8774509803922,2.0533333333333337,35.99866666666668,0.0,0.0,-0.4256989468536
AN_PA,1,2,0.79,27.650000000000002,20276.666666666664,0.0,20276.666666666664,12927.006999999998,344.44,5338.82,0.21433727442439326,3533.4492647058833,12.64,169.5866666666667,0.0,0.0,-1.2010791714797997
AN_PA,4,1,141.09,4938.15,3621309.9999999995,0.0,3621309.9999999995,2308697.9969999995,61515.24,953486.22,38.27955196017424,631056.1477941178,2257.44,30287.320000000003,0.0,0.0,-214.50665861276576
AN_PA,5,1,3.2800000000000002,114.8,84186.66666666666,0.0,84186.66666666666,53671.62399999999,1430.08,22166.24,0.8899066583696329,14670.523529411768,52.480000000000004,704.1066666666668,0.0,0.0,-4.986759091713599
AN_PA,6,1,2.6500000000000004,92.75,68016.66666666666,0.0,68016.66666666666,43362.744999999995,1155.4,17908.7,0.7189794648413192,11852.709558823533,42.400000000000006,568.8666666666668,0.0,0.0,-4.028936461292999
BA_INT,1,2,3.2,144.0,77760.0,59705.600000000006,137465.6,33086.672,4986.1,77284.55,3.1027380211574362,93517.32352941175,24.0,1243.2000000000003,0.0,43392.0,0.45768950728960067
BA_INT,2,2,0.45,20.25,10935.0,8396.1,19331.1,4652.813249999999,701.1703125,10868.139843750001,0.43632253422526446,13150.873621323528,3.375,174.82500000000005,0.0,6102.0,0.06643720336274989
BA_INT,3,2,11.59,521.5500000000001,281637.0,216246.22000000003,497883.22000000003,119835.79015,18059.0309375,279914.97953125,11.23772927037959,338708.0561580882,86.92500000000001,4502.715000000001,0.0,134922.0,1.7111270821650464
BA_INT,4,1,33.7,1516.5,818910.0,628774.6,1447684.6,348444.0145,52509.865625,813902.9171874999,32.67570978531425,984854.3134191176,252.75,13092.450000000004,0.0,136549.2,6.3696633685222475
BA_INT,5,1,386.9,17410.5,9401670.0,7218780.2,16620450.2,4000385.4365,602850.653125,9344185.1234375,375.1404188705663,11306828.89797794,2901.75,150310.65000000005,0.0,3532515.6,111.61709857133967
BA_INT,6,1,43.74,1968.3,1062882.0,816100.92,1878982.92,452253.44789999997,68153.754375,1056383.1928125,42.410550326695706,1278264.915992647,328.05,16992.990000000005,0.0,0.0,13.843637458032289
BA_INT,7,3,0.17,7.65,4131.0,3171.86,7302.860000000001,1757.72945,264.8865625,4105.7417187500005,0.16483295737398881,4968.1078125,1.2750000000000001,66.04500000000003,0.0,0.0,0.025098499048149925
BA_IRR,1,2,7.96,270.64,146145.6,113493.68000000001,259639.28,73663.37772727272,8561.703636363636,132706.40636363637,5.327755840923233,150429.9263368984,47.760000000000005,2627.7552,0.0,107937.6,-1.7768956697445986
BA_IRR,2,2,50.07,1702.38,919285.2,713898.06,1633183.26,463357.45261363627,53854.836818181815,834749.9706818181,33.51265514510381,946234.4738302139,300.42,16529.1084,0.0,678949.2,-11.457306319171366
BA_IRR,3,2,53.56,1821.04,983361.6,763658.48,1747020.08,495654.58681818173,57608.649090909086,892934.0609090908,35.84856819596085,1012189.303342246,321.36,17681.2272,0.0,726273.6,-12.128869726444314
BA_PER,1,2,16.88,303.84000000000003,164073.6,121536.0,285609.6,79437.92706666667,9540.435333333333,147876.74766666663,5.936798589504251,174009.60034313725,42.2,2623.152,0.0,112548.0,-13.306381227046367
BA_PER,2,2,61.62,1109.16,598946.4,443664.0,1042610.4,289986.08210000006,34827.110499999995,539820.21275,21.672128500311135,635217.510257353,154.05,9575.748,0.0,772106.4,-48.89708810171413
BA_PER,3,2,65.38,1176.84,635493.6,470736.0,1106229.6,307680.78623333335,36952.231166666665,572759.5830833332,22.994543352001656,673977.9425612745,163.45,10160.052,0.0,758546.3999999999,-51.88045334254091
BA_PER,4,1,228.01,4104.18,2216257.2,1641672.0,3857929.2,1073023.8003833333,128869.35191666665,1997474.9547083331,80.19250274839244,2350469.7259620097,570.025,35432.754,0.0,720036.0,-172.0422514131758
BA_PER,5,1,1082.2,19479.6,10518984.0,7791840.0,18310824.0,5092874.684333334,611650.4216666666,9480581.535833333,380.6163171541174,11155994.638112744,2705.5,168173.88,0.0,9097268.4,-710.2847326193169
BA_PER,6,1,265.63,4781.34,2581923.6,1912536.0,4494459.6,1250064.9624833334,150131.86241666664,2327043.8674583333,93.42368538684919,2738280.2215134804,664.075,41278.902,0.0,0.0,-168.98353897385965
BA_PER,7,3,62.13,1118.34,603903.6,447336.0,1051239.6,292386.16165,35115.35825,544288.0528749999,21.85149859987554,640474.909319853,155.325,9655.002,0.0,0.0,-48.67478416899826
BC_BT,4,1,7.07,183.82,147056.0,0.0,147056.0,80502.820125,4304.74625,66723.566875,2.678746888612321,9173.779871323528,17.675,550.046,0.0,95869.2,-3.3126969022338772
BC_BT,5,1,226.47,5888.22,4710576.0,0.0,4710576.0,2578709.147625,137891.92125,2137324.779375,85.80704495955196,293859.395680147,566.175,17619.366,0.0,2601486.0,-81.83185241126004
BC_BT,6,1,6.800000000000001,176.8,141440.0,0.0,141440.0,77428.455,4140.35,64175.425,2.576446795270691,8823.4375,17.0,529.0400000000001,0.0,0.0,-2.357722700456421
BC_GTMG,1,2,0.14,3.6400000000000006,2912.0000000000005,0.0,2912.0000000000005,1588.0952500000003,86.92250000000001,1347.2987500000002,0.05408991910392036,168.9972426470588,0.35000000000000003,10.892000000000003,0.0,1898.4000000000003,-0.07220976405607996
BC_GTMG,2,2,2.6799999999999997,69.68,55744.0,0.0,55744.0,30400.680500000002,1663.9450000000002,25791.1475,1.0354355942750466,3235.0900735294113,6.7,208.50400000000002,0.0,36340.799999999996,-1.3699457044174008
BC_GTMG,3,2,4.49,116.74,93392.0,0.0,93392.0,50932.483375,2787.72875,43209.795625,1.7347409769757312,5419.982996323528,11.225,349.322,0.0,60884.399999999994,-2.295170228669451
CS_BT_NIM,4,1,2695.36,199456.64,4228480.767999999,8711380.416914286,12939861.184914285,7444715.160475428,34269.577142857146,531178.4457142857,21.3251880167126,5766169.774823528,6699.894857142857,194065.92,0.0,0.0,544.3975946068289
CS_BT_NIM,5,1,50.5,3737.0,79224.39999999998,163215.56714285715,242439.96714285712,139483.45141428572,642.0714285714287,9952.107142857143,0.39954662636678817,108034.39007352939,125.52857142857142,3636.0,0.0,0.0,17.465547245202703
CS_BT_NIM,6,1,89.54,6625.96,140470.35199999998,289392.5125142857,429862.8645142857,247313.82652742858,1138.437142857143,17645.775714285715,0.7084238598986577,191552.4611323529,222.57085714285714,6446.88,0.0,0.0,45.058751988233496
CS_BT_NISM,4,1,2.39,141.488,2999.5456,6280.220754285715,9279.766354285715,4012.773057428573,30.387142857142862,471.0007142857143,0.01890923637656681,4292.154254411764,5.940857142857142,172.08,0.0,0.0,0.46528768226500106
CS_BT_NISM,5,1,0.3,17.76,376.51199999999994,788.3122285714286,1164.8242285714286,503.69536285714304,3.8142857142857145,59.121428571428574,0.002373544315050227,538.764132352941,0.7457142857142857,21.6,0.0,0.0,0.06663057481260007
CS_CGT_NIM,1,2,576.58,36324.54,838733.6286,1709883.4084857143,2548617.0370857143,1479987.767040572,7330.802857142858,113627.4442857143,4.561793937238866,1187543.669970588,1433.2131428571429,41513.76,0.0,0.0,-3.1297060963733276
CS_CGT_NISM,1,2,0.51,25.704,593.5053599999999,1231.4273485714289,1824.9327085714287,808.052436857143,6.484285714285715,100.50642857142859,0.004035025335585385,901.3064249999999,1.2677142857142858,36.72,0.0,0.0,-0.004295344888800456
CS_EGT_NIM,2,2,1568.22,89388.54,2249015.6664,4430474.655514286,6679490.321914286,3931509.5726794284,19938.797142857144,309051.35571428575,12.407465552493557,3161817.4895294113,3898.1468571428572,112911.84,0.0,0.0,-159.74101746327506
CS_MG_NISM,7,3,1959.51,89353.656,1466293.49496,4759672.184400001,6225965.67936,3168732.5227740016,24913.770000000004,386163.43500000006,15.503279402613567,3432396.151089705,4870.782,141084.72,0.0,0.0,-170.50449094617915
CS_NGT_NIM,3,2,2743.72,148160.88,3821069.0951999994,7793183.896,11614252.9912,6653270.067208,34884.44,540708.8200000001,21.707803360298694,5472230.510970587,6820.104,197547.84,0.0,0.0,-393.2336007621072
CS_NGT_NISM,3,2,10.8,466.56000000000006,12032.5824,24995.643428571428,37028.22582857143,16429.743462857143,137.31428571428575,2128.3714285714286,0.08544759534180817,18833.654647058822,26.845714285714287,777.6,0.0,0.0,-1.5551036480700078
CS_SBT_NIM,5,1,227.64,22194.9,456549.09299999994,1020032.0759999999,1476581.1689999998,803826.6760159999,4021.6399999999994,62335.41999999999,2.502576228998133,549130.0299264706,652.568,16390.08,0.0,0.0,159.69429430056056
IG_PLA,1,2,43.27,778.86,1168290.0,0.0,1168290.0,493111.62684999994,29077.44,450700.32,18.094237710018668,110370.31617647057,43.27,4984.704,0.0,590550.0,-92.2285520665914
IG_PLA,2,2,144.18,2595.2400000000002,3892860.0,0.0,3892860.0,1643097.6279,96888.96,1501778.8800000001,60.29182327317984,367765.01470588235,144.18,16609.536,0.0,2156850.0,-307.4340605362183
IG_PLA,3,2,440.29,7925.22,11887830.0,0.0,11887830.0,5017613.084949999,295874.88,4586060.64,184.11629122588676,1123063.2426470588,440.29,50721.407999999996,0.0,6434400.0,-937.2922950031638
IG_PLA,7,3,23.84,429.12,643680.0,0.0,643680.0,271684.3352,16020.48,248317.43999999997,9.969184816428127,60809.5294117647,23.84,2746.368,0.0,0.0,-50.833874345841615
IG_TUT,4,1,41.67,625.05,1250100.0,0.0,1250100.0,377577.07875,41294.97,640072.035,25.6969321717486,81835.59044117645,41.67,3600.2879999999996,0.0,222150.0,-85.34086823595095
IG_TUT,5,1,20.43,306.45,612900.0,0.0,612900.0,185118.78375,20246.13,313815.015,12.598711885500933,40122.416911764696,20.43,1765.1519999999998,0.0,238650.0,-37.997732719077845
IG_TUT,6,1,28.73,430.95000000000005,861900.0,0.0,861900.0,260326.12125,28471.43,441307.165,17.717131300560048,56422.76249999999,28.73,2482.272,0.0,0.0,-55.68687500195706
JA,1,2,96.33,0.0,0.0,19266.0,19266.0,11174.279999999999,577.98,8958.69,0.3596639701306783,11616.26470588235,0.0,0.0,0.0,0.0,50.10582644644463
JA,2,2,359.55,0.0,0.0,71910.0,71910.0,41707.8,2157.3,33438.15,1.3424393279402613,43357.49999999999,0.0,0.0,0.0,0.0,187.17099873407096
JA,3,2,789.03,0.0,0.0,157806.0,157806.0,91527.48,4734.18,73379.79,2.945973864343497,95147.73529411764,0.0,0.0,0.0,0.0,410.75438329542646
JA,4,1,92.16,0.0,0.0,18432.0,18432.0,10690.56,552.96,8570.88,0.3440945861854387,11113.411764705881,0.0,0.0,0.0,0.0,48.46216616317295
JA,5,1,232.53,0.0,0.0,46506.0,46506.0,26973.48,1395.18,21625.29,0.8681891723708774,28040.38235294117,0.0,0.0,0.0,0.0,126.45275689031973
JA,6,1,194.09,0.0,0.0,38818.0,38818.0,22514.44,1164.54,18050.37,0.7246670815183571,23404.97058823529,0.0,0.0,0.0,0.0,107.9300071221781
JA,7,3,20.41,0.0,0.0,4082.0,4082.0,2367.56,122.46000000000001,1898.13,0.07620410703173616,2461.2058823529405,0.0,0.0,0.0,0.0,10.624836835384198
MA_PLBIO,6,1,2.5700000000000003,69.39,109289.25,0.0,109289.25,9976.74,4926.6900000000005,76363.695,3.06576851275669,1781.9926470588234,0.0,0.0,2.5700000000000003,0.0,-1.9979097246000013
MA_ROTA,1,2,7.55,407.70000000000005,428085.0,0.0,428085.0,210861.91829499998,12480.150000000001,193442.325,7.766116988176727,35490.38492647058,113.25,2092.8600000000006,0.0,135900.0,-7.786021501366353
MA_ROTA,2,2,97.97,5290.38,5554899.0,0.0,5554899.0,2736177.7662729993,161944.41,2510138.355,100.77436838830118,460528.87566176464,1469.55,27157.284000000003,0.0,1763460.0,-100.54556369433203
MA_ROTA,3,2,30.55,1649.7,1732185.0,0.0,1732185.0,853222.7289949999,50499.15,782736.825,31.424486621032983,143606.78933823528,458.25,8468.460000000001,0.0,549900.0,-31.353138418514277
MA_ROTA,4,1,4.720000000000001,254.88,267624.0,0.0,267624.0,131823.60984799996,7802.16,120933.48000000001,4.855108898568762,22187.366470588233,70.8,1308.3840000000002,0.16,84960.0,-4.889515193561279
MA_ROTA,5,1,11.34,612.36,642978.0,0.0,642978.0,316711.8084059999,18745.02,290547.81,11.664604853764779,53306.08808823529,170.1,3143.4480000000003,11.129999999999999,204120.0,-9.372359586262261
MA_TO_CO_JA,1,2,14.81,533.16,586476.0,0.0,586476.0,308421.980639,16705.68,258938.03999999998,10.39556938394524,22590.150367647057,148.1,1119.6360000000002,0.0,232920.0,-14.808404143360915
MA_TO_CO_JA,2,2,173.62,6250.32,6875352.0,0.0,6875352.0,3615680.234878,195843.36,3035572.08,121.8689234598631,264827.9477941176,1736.2,13125.672,0.0,3092940.0,-178.18434999091482
MA_TO_CO_JA,3,2,60.66,2183.76,2402136.0,0.0,2402136.0,1263259.780254,68424.48,1060579.44,42.57901680149347,92526.5713235294,606.6,4585.896000000001,0.0,1061460.0,-62.254709540657146
MA_TO_CO_JA,4,1,116.61,4197.96,4617756.0,0.0,4617756.0,2428432.624059,131536.08,2038809.24,81.851947728687,177868.83419117646,1166.1,8815.716,0.0,722160.0,-106.81164425888701
