crop,gross_margin
AG,4798.951866666665
AN_NU,10802.859333333332
AN_PA,2418659.3729999997
BA_INT,4960415.90375
BA_IRR,1032675.4171590907
BA_PER,8385454.404250001
BC_BT,2736640.42275
BC_GTMG,82921.25912500001
CS_BT_NIM,7831512.438417143
CS_BT_NISM,4516.468420285716
CS_CGT_NIM,1479987.7670405721
CS_CGT_NISM,808.052436857143
CS_EGT_NIM,3931509.572679429
CS_MG_NISM,3168732.522774001
CS_NGT_NIM,6653270.0672079995
CS_NGT_NISM,16429.743462857143
CS_SBT_NIM,803826.6760159998
IG_PLA,7425506.6749
IG_TUT,823021.98375
JA,206955.59999999998
MA_PLBIO,9976.740000000002
MA_ROTA,4248797.831816999
MA_TO_CO_JA,15312599.469550999
NC,0.0
PN_PIQ,11494301.94
VE_BTGT,3974.4262133333323
