crop,labor_cost
AG,6104.106666666667
AN_NU,10522.949999999999
AN_PA,998899.9800000001
BA_INT,11586644.64453125
BA_IRR,1860390.4379545453
BA_PER,15609844.954374999
BC_BT,2268223.7712499998
BC_GTMG,70348.24187499999
CS_BT_NIM,558776.3285714287
CS_BT_NISM,530.1221428571429
CS_CGT_NIM,113627.4442857143
CS_CGT_NISM,100.50642857142859
CS_EGT_NIM,309051.35571428575
CS_MG_NISM,386163.43500000006
CS_NGT_NIM,540708.8200000001
CS_NGT_NISM,2128.371428571429
CS_SBT_NIM,62335.41999999999
IG_PLA,6786857.28
IG_TUT,1395194.215
JA,165921.30000000002
MA_PLBIO,76363.695
MA_ROTA,3897798.7950000004
MA_TO_CO_JA,12855810.36
NC,0.0
PN_PIQ,14012716.41
VE_BTGT,5109.771333333333
