crop,production_tonnes
AG,16.0
AN_NU,31.0
AN_PA,5173.35
BA_INT,21588.75
BA_IRR,3794.06
BA_PER,32073.3
BC_BT,6248.84
BC_GTMG,190.06
CS_BT_NIM,209819.6
CS_BT_NISM,159.248
CS_CGT_NIM,36324.54
CS_CGT_NISM,25.704
CS_EGT_NIM,89388.54000000001
CS_MG_NISM,89353.656
CS_NGT_NIM,148160.87999999998
CS_NGT_NISM,466.56000000000006
CS_SBT_NIM,22194.899999999998
IG_PLA,11728.44
IG_TUT,1362.45
JA,0.0
MA_PLBIO,69.39000000000001
MA_ROTA,8215.02
MA_TO_CO_JA,26470.44
NC,0.0
PN_PIQ,4735.4802
VE_BTGT,13.194999999999999
