crop,revenue
AG,11200.0
AN_NU,22733.333333333332
AN_PA,3793789.9999999995
BA_INT,20609100.5
BA_IRR,3639842.62
BA_PER,30148902.0
BC_BT,4999072.0
BC_GTMG,152048.0
CS_BT_NIM,13612164.016571429
CS_BT_NISM,10444.590582857143
CS_CGT_NIM,2548617.0370857147
CS_CGT_NISM,1824.9327085714285
CS_EGT_NIM,6679490.321914286
CS_MG_NISM,6225965.67936
CS_NGT_NIM,11614252.9912
CS_NGT_NISM,37028.225828571434
CS_SBT_NIM,1476581.1689999998
IG_PLA,17592660.0
IG_TUT,2724900.0
JA,356820.0
MA_PLBIO,109289.25000000001
MA_ROTA,8625771.0
MA_TO_CO_JA,29117484.0
NC,0.0
PN_PIQ,27623634.5
VE_BTGT,9236.5
