farm,revenue
E1,35303.48211428571
E10,31166.5
E100,204336.69999999998
E1000,37302.1494
E1001,7009.1554857142855
E1002,72291.35123809525
E1003,8503.0
E1004,27999.48
E1005,26743.706542857144
E1006,271008.0
E1007,22616.642457142858
E1008,27048.12585714286
E1009,4401.0
E101,28538.5
E1010,38559.1
E1011,47037.600000000006
E1012,3544023.1606142856
E1013,25821.091685714287
E1014,1078.0
E1015,48695.97011428571
E1016,24843.39555714286
E1017,33318.6606
E1018,67108.53488571428
E1019,40540.5
E102,8200.5
E1020,51427.9
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,34775.8
E1025,12626.081457142856
E1026,29813.28722857143
E1027,44580.0
E1028,107712.0
E1029,33989.60331428571
E103,7724.0
E1030,4080.6727142857144
E1031,39515.519057142854
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,15888.5
E1036,1198323.4049142858
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,52356.816685714286
E1040,37251.63777142858
E1041,216040.09577142858
E1042,53212.11214285714
E1043,33526.93485714286
E1044,84744.0
E1045,40266.31188571428
E1046,4704.7756
E1047,53831.29697142857
E1048,30028.267685714287
E1049,89937.0
E105,76844.15211428571
E1050,37533.6
E1051,6433.060514285715
E1052,6292.0
E1053,67331.70337142858
E1054,1007784.2132142857
E1055,105080.73448000001
E1056,13106.160600000001
E1057,148393.62
E1058,32360.68028571429
E1059,15672.6
E106,17014.0
E1060,63741.44174285715
E1061,15883.92177142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,21214.5
E1066,10787.013685714286
E1067,42503.55085714286
E1068,25622.0
E1069,11914.392914285714
E107,19481.0
E1070,1570.0
E1071,11725.872662857144
E1072,12105.288
E1073,31814.541857142856
E1074,6274.5
E1075,16439.5
E1076,9074.9
E1077,12948.5
E1078,12530.226582857144
E1079,36718.26128571429
E108,27372.105199999998
E1080,10493.872662857144
E1081,7916.0
E1082,19089.336428571427
E1083,35706.55937142857
E1084,11296.06870857143
E1085,19651.710971428573
E1086,4861.280365714287
E1087,29922.233857142855
E1088,9969.172457142859
E1089,13812.0
E109,36236.143828571425
E1090,5582.5
E1091,14970.619017142857
E1092,17397.810902857145
E1093,21640.5
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,19236.729000000003
E1099,7492.465628571428
E11,43553.91151428571
E110,36192.511685714286
E1100,54485.50394285714
E1101,5703.5
E1102,5163.0
E1103,19257.404085714286
E1104,9394.0
E1105,8057.98
E1106,9086.0
E1107,11007.826514285716
E1108,48997.04
E1109,26838.128114285715
E111,7317.0
E1110,9161.0
E1111,4922.2011142857145
E1112,217178.5
E1113,12146.9
E1114,2160.0
E1115,8085.0
E1116,10619.5
E1117,3850.0
E1118,21483.253302857145
E1119,23502.430262857146
E112,31141.0
E1120,23659.43408
E1121,12952.710971428573
E1122,96105.6
E1123,17171.0
E1124,8732.5
E1125,21628.538171428572
E1126,3216.5302571428574
E1127,32860.700000000004
E1128,25863.822028571427
E1129,383767.1573523809
E113,33807.2
E1130,4861.280365714287
E1131,57288.0
E1132,121841.97244761905
E1133,73866.42
E1134,350150.72
E1135,27385.495514285714
E1136,28567.0
E1137,92721.3
E1138,17349.098542857144
E1139,21757.9952
E114,40966.01408571428
E1140,13970.303057142857
E1141,18780.58565714286
E1142,47620.997285714286
E1143,88704.0
E1144,213166.49094285714
E1145,13598.875794285717
E1146,31975.060221428572
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,35193.443100000004
E1150,39606.52928571429
E1151,79647.40314285715
E1152,8441.377085714286
E1153,38016.0
E1154,15977.5
E1155,9422.5
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,52944.10771428572
E1160,166375.1
E1161,48146.92274285715
E1162,26407.5
E1163,7988.0
E1164,5698.5
E1165,9285.233514285714
E1166,31077.209400000007
E1167,12705.0
E1168,11049.5
E1169,292527.0
E117,31224.0
E1170,1998.0
E1171,3694.9820285714286
E1172,9467.0
E1173,8619.451285714287
E1174,7729.0
E1175,4932.5
E1176,4620.0
E1177,11670.431114285713
E1178,2037.5
E1179,173844.0
E118,12872.934114285716
E1180,6518.868399999999
E1181,7133.5
E1182,1782.5
E1183,19806.07182857143
E1184,61361.304142857145
E1185,23826.652885714284
E1186,14399.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,42717.67285714286
E119,37088.011685714286
E1190,316674.0
E1191,24596.0
E1192,9205.5
E1193,10031.0
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49278.88262857143
E1198,22739.872885714285
E1199,126830.82540000002
