region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,8.17,7.24,778.494623655914,False
1,BA,8.63,0.0,8.63,100.0,False
1,BC,6.83,0.14,6.69,97.9502196193265,False
1,CS,775.8,704.07,71.7299999999999,9.245939675174002,True
1,IG,20.33,39.79,19.46,95.7206099360551,False
1,JA,23.62,72.31,48.69,206.13886536833192,False
1,MA,40.6,43.81,3.210000000000001,7.906403940886702,True
1,PN,604.53,621.84,17.31000000000006,2.863381469902248,True
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1490.13,202.04999999999995,13.466767975685832,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,0.0,1.32,100.0,False
2,BC,18.47,2.96,15.509999999999998,83.97401191120736,False
2,CS,2151.11,1834.1100000000001,317.0,14.736577859802612,True
2,IG,36.1,99.01,62.910000000000004,174.26592797783934,False
2,JA,52.29,350.86,298.57,570.9887167718493,False
2,MA,367.53,434.68,67.15000000000003,18.27061736456889,True
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,1604.29,120.90000000000009,7.007923764918652,True
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4325.91,935.0700000000002,21.23363883262333,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,0.0,159.43,100.0,False
3,BC,4.07,3.46,0.6100000000000003,14.987714987714993,True
3,CS,4019.76,2912.73,1107.0300000000002,27.53970386291719,False
3,IG,38.81,348.83,310.02,798.8147384694665,False
3,JA,219.81,1103.69,883.8800000000001,402.11091397115695,False
3,MA,176.24,244.96,68.72,38.99228325011348,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,1471.12,172.30999999999995,13.2667595722238,True
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6084.79,2933.7100000000005,47.7131528272919,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,248.32,126.77,104.29452900041136,False
4,BA,102.1,0.0,102.1,100.0,False
4,BC,27.34,2.26,25.08,91.73372348207754,False
4,CS,3256.9,3045.08,211.82000000000016,6.503730541312295,True
4,IG,32.25,0.0,32.25,100.0,False
4,JA,69.72,45.63,24.089999999999996,34.55249569707401,False
4,MA,165.87,225.3,59.43000000000001,35.82926388135287,False
4,PN,634.92,895.81,260.89,41.090216090216096,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4462.4,910.9900000000001,20.33818463523702,False
5,AG,37.66,0.05,37.61,99.86723313860861,False
5,AN,7.75,58.89,51.14,659.8709677419355,False
5,BA,1427.01,0.0,1427.01,100.0,False
5,BC,81.31,224.66,143.35,176.30057803468208,False
5,CS,318.72,1367.91,1049.19,329.1886295180723,False
5,IG,5.26,0.0,5.26,100.0,False
5,JA,190.46,496.91,306.45000000000005,160.899926493752,False
5,MA,75.74,213.69,137.95,182.1362556113018,False
5,PN,208.62,31.02,177.6,85.13085993672706,False
5,VE,48.49,0.0,48.49,100.0,False
5,TOTAL,2401.0199999999995,2393.13,3384.0499999999997,140.9421829055985,False
6,AG,44.27,0.0,44.27,100.0,False
6,AN,0.04,7.56,7.52,18800.0,False
6,BA,222.31,0.0,222.31,100.0,False
6,BC,8.28,13.93,5.65,68.23671497584542,False
6,CS,104.55,154.16,49.61,47.450980392156865,False
6,IG,4.65,0.0,4.65,100.0,False
6,JA,51.83,432.12,380.29,733.725641520355,False
6,MA,202.25,262.65,60.39999999999998,29.864029666254627,False
6,PN,280.28,134.34,145.93999999999997,52.06935921221635,False
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1004.76,1015.41,100.21515351894438,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,1532.97,653.1200000000001,29.876171612330694,False
7,IG,8.02,18.23,10.21,127.30673316708231,False
7,JA,13.74,628.54,614.8,4474.5269286754,False
7,MA,58.74,72.86,14.119999999999997,24.038134150493697,False
7,PN,1357.08,1337.58,19.5,1.4369086568220002,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.81,3590.1800000000003,1319.89,36.34248487668683,False
