crop,gross_margin
AG,119.9050129166666
AN_NU,4487.552853333334
AN_PA,3916784.6630999995
BC_BT,1722192.9574687502
BC_GTMG,46498.12870000001
CS_BT_NIM,6619656.4616134865
CS_CGT_NIM,1220020.7647992435
CS_EGT_NIM,3151838.699261872
CS_MG_NISM,1402687.853092673
CS_NGT_NIM,4693145.662228329
CS_SBT_NIM,2153921.943551299
IG_PLA,2212846.5040349993
JA,244770.692
MA_MOBIO,-3269558.7540000007
MA_PLBIO,-174785.10899999997
MA_ROTA,1700867.8376616496
MA_TO_CO_JA,12094675.9594911
NC,0.0
PN_PIQ,3599078.4000000004
