farm,revenue
E1,35303.48211428571
E10,24655.0
E100,161315.0
E1000,37302.1494
E1001,7009.1554857142855
E1002,73979.76930476191
E1003,20165.75147142857
E1004,36012.0
E1005,26751.89217142857
E1006,271008.0
E1007,22616.642457142858
E1008,27048.12585714286
E1009,7770.2035857142855
E101,58370.51485714286
E1010,53364.6564
E1011,556.0
E1012,3552425.1606142856
E1013,26068.297457142857
E1014,1078.0
E1015,48849.18268571428
E1016,24855.674
E1017,34049.69225714286
E1018,67108.53488571428
E1019,40540.5
E102,8200.5
E1020,91689.6316857143
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,33132.0
E1025,12626.081457142856
E1026,29813.28722857143
E1027,36126.5
E1028,107712.0
E1029,33989.60331428571
E103,13549.236514285714
E1030,4080.6727142857144
E1031,39894.62194285714
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,15785.0
E1036,1198323.4049142858
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,52322.343857142856
E1040,37841.12845714286
E1041,216040.09577142858
E1042,53212.11214285714
E1043,33566.85105714286
E1044,84744.0
E1045,36809.088885714285
E1046,4704.7756
E1047,53831.29697142857
E1048,30028.267685714287
E1049,89937.0
E105,74957.97157142857
E1050,54772.32911428572
E1051,6433.060514285715
E1052,9328.522342857143
E1053,67331.70337142858
E1054,1019221.5974047618
E1055,103313.01571428572
E1056,13106.160600000001
E1057,107828.13630714285
E1058,32360.68028571429
E1059,14497.0
E106,16527.0
E1060,63741.44174285715
E1061,15883.92177142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,19827.5
E1066,17863.867771428573
E1067,42365.05085714286
E1068,30527.48002857143
E1069,11914.392914285714
E107,18873.0
E1070,1570.0
E1071,11725.872662857144
E1072,12105.288
E1073,31814.541857142856
E1074,7878.187942857143
E1075,16439.5
E1076,9850.75
E1077,15893.006514285715
E1078,12530.226582857144
E1079,43223.12
E108,28149.659
E1080,10493.872662857144
E1081,9417.934128571429
E1082,19089.336428571427
E1083,35572.49837142857
E1084,11296.06870857143
E1085,14709.38064
E1086,4861.280365714287
E1087,29922.233857142855
E1088,9969.172457142859
E1089,22616.30682857143
E109,36213.16194285714
E1090,5582.5
E1091,11536.426788571429
E1092,17397.810902857145
E1093,21723.0
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,19236.729000000003
E1099,7492.465628571428
E11,43553.91151428571
E110,37452.2152
E1100,54485.50394285714
E1101,9722.188614285715
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,12001.31517142857
E1106,9086.0
E1107,11007.826514285716
E1108,25460.546085714286
E1109,26838.128114285715
E111,17107.936914285714
E1110,9161.0
E1111,4994.977085714286
E1112,167231.49999999997
E1113,11850.86227142857
E1114,5163.868257142857
E1115,8085.0
E1116,12243.212571428572
E1117,3850.0
E1118,17791.392091428574
E1119,23502.430262857146
E112,39961.28368571428
E1120,16215.5
E1121,10689.957325714287
E1122,122683.0
E1123,17171.0
E1124,8206.0
E1125,26465.364342857145
E1126,3216.5302571428574
E1127,35535.5
E1128,25863.822028571427
E1129,375067.3552095238
E113,39452.0
E1130,4861.280365714287
E1131,47952.4986
E1132,119338.06741904761
E1133,15074.485085714286
E1134,101967.10561428571
E1135,27385.495514285714
E1136,50192.375199999995
E1137,90780.5
E1138,17349.098542857144
E1139,21757.9952
E114,39492.01408571428
E1140,13970.303057142857
E1141,7873.297942857143
E1142,47620.997285714286
E1143,88704.0
E1144,206344.27537142858
E1145,13598.875794285717
E1146,29979.18685
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,37900.446085714284
E1150,39606.52928571429
E1151,77211.45854285714
E1152,8441.377085714286
E1153,38016.0
E1154,22626.662
E1155,2887.5
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,52700.55082857143
E1160,229044.5
E1161,47416.08097142857
E1162,30042.5
E1163,10707.718557142856
E1164,12557.89342857143
E1165,9285.233514285714
E1166,31077.209400000007
E1167,12705.0
E1168,11049.5
E1169,281610.0
E117,28713.5
E1170,5042.461071428572
E1171,3694.9820285714286
E1172,7520.561
E1173,8619.451285714287
E1174,13018.3443
E1175,10493.715557142856
E1176,4620.0
E1177,11670.431114285713
E1178,2037.5
E1179,173844.0
E118,12872.934114285716
E1180,6518.868399999999
E1181,11324.413685714284
E1182,2797.320357142857
E1183,19806.07182857143
E1184,61361.304142857145
E1185,23826.652885714284
E1186,14481.556857142856
E1187,20319.12572857143
E1188,4855.580828571428
E1189,48142.81731428571
E119,37088.011685714286
E1190,316503.0
E1191,25253.0
E1192,12539.482828571428
E1193,18299.990999999998
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,159193.8282
E12,16043.189114285715
E120,13914.0
E1200,32945.0
E1201,30260.986
E1202,6337.044685714286
E1203,16142.5
E1204,58359.1578
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1208,0.0
E1209,8881.464142857143
E121,24293.649657142858
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,22060.92317142857
E1214,7318.560514285715
E1215,3823.490685714286
E1216,167996.5390857143
E1217,237846.6008857143
E1218,7681.266285714286
E1219,17282.849142857143
E122,27111.284428571427
E1220,571435.3333333334
E1221,42150.948742857145
E1222,8545.408742857144
E1223,113322.0
E1224,6769.115914285714
E1225,8234.457628571428
E1226,6048.9972
E1227,55423.61354285714
E1228,108589.6740952381
E1229,9073.4958
E123,447742.0
E1230,6000.989285714286
E1231,15868.043285714286
E1232,87620.28954285715
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9300.608
E1237,36310.3752
E1238,12224.266285714286
E1239,9409.5512
E124,11321.0
E1240,10701.147571428572
E1241,2640.435285714286
E1242,17706.817485714284
E1243,61079.15962857143
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,182834.66666666666
E1248,5376.8864
E1249,7921.305857142857
E125,25687.5
E1250,12243.141057142857
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8039.615914285715
E1254,28516.701085714285
E1255,43876.352857142854
E1256,43936.566542857145
E1257,7019.5
E1258,40637.52417142857
E1259,6817.123828571428
E126,15400.0
E1260,19409.754171428573
E1261,67995.17545714286
E1262,5424.894314285714
E1263,62524.56977142857
E1264,12106.469885714287
E1265,30292.993914285715
E1266,17671.5
E1267,34280.64708571429
E1268,5164.298342857142
E1269,13634.247657142856
E127,6789.157531428572
E1270,9608.981342857141
E1271,56019.13794285714
E1272,9270.338828571428
E1273,84110.3344857143
E1274,11488.531428571428
E1275,0.0
E1276,1303.0
E1277,29662.985057142858
E1278,29428.85145714286
E1279,45422.3864
E128,4519.985028571428
E1280,12338.033971428571
E1281,7534.795942857143
