region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,9.09,8.16,877.4193548387098,False
1,BA,8.63,43.660000000000004,35.03,405.90961761297797,False
1,BC,6.83,0.0,6.83,100.0,False
1,CS,775.8,238.49,537.31,69.2588295952565,False
1,IG,20.33,2.15,18.18,89.42449581898673,False
1,JA,23.62,141.68,118.06,499.8306519898391,False
1,MA,40.6,36.11,4.490000000000002,11.059113300492616,True
1,PN,604.53,1021.59,417.06000000000006,68.98913205299986,False
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1492.77,1164.21,77.59537710949371,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,125.26,123.94000000000001,9389.39393939394,False
2,BC,18.47,3.25,15.219999999999999,82.4038982133189,False
2,CS,2151.11,1181.33,969.7800000000002,45.08277122043968,False
2,IG,36.1,4.930000000000001,31.17,86.34349030470914,False
2,JA,52.29,254.27,201.98000000000002,386.2688850640658,False
2,MA,367.53,379.82,12.29000000000002,3.3439447119963055,True
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,2444.3,719.1100000000001,41.68294506692017,False
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4393.16,2125.2000000000003,48.259199040810955,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,191.39,31.95999999999998,20.04641535470111,False
3,BC,4.07,9.16,5.09,125.06142506142506,False
3,CS,4019.76,1526.74,2493.0200000000004,62.01912551993155,False
3,IG,38.81,20.42,18.39,47.38469466632311,False
3,JA,219.81,823.08,603.27,274.4506619353078,False
3,MA,176.24,261.97,85.73000000000002,48.64389468906038,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,3288.3,1989.4900000000002,153.17790900901596,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6121.06,5458.660000000002,88.77833146842231,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,190.54,68.99,56.75853558206499,False
4,BA,102.1,252.54,150.44,147.34573947110675,False
4,BC,27.34,13.58,13.76,50.32918800292612,False
4,CS,3256.9,1906.44,1350.46,41.46458288556603,False
4,IG,32.25,33.42,1.1700000000000017,3.627906976744191,True
4,JA,69.72,215.97,146.25,209.76764199655767,False
4,MA,165.87,252.33,86.46000000000001,52.12515825646591,False
4,PN,634.92,1595.37,960.4499999999999,151.27102627102627,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4460.1900000000005,2846.54,63.550045655372266,False
5,AG,37.66,0.0,37.66,100.0,False
5,AN,7.75,26.47,18.72,241.5483870967742,False
5,BA,1427.01,553.9,873.11,61.18457474019103,False
5,BC,81.31,198.68,117.37,144.34878858688967,False
5,CS,318.72,156.3,162.42000000000002,50.960090361445786,False
5,IG,5.26,2.58,2.6799999999999997,50.950570342205324,False
5,JA,190.46,205.6,15.139999999999986,7.949175679932787,True
5,MA,75.74,677.5,601.76,794.5075257459731,False
5,PN,208.62,574.13,365.51,175.20371968171796,False
5,VE,48.49,4.6000000000000005,43.89,90.51350793978139,False
5,TOTAL,2401.0199999999995,2399.7599999999998,2238.2599999999998,93.22121431724851,False
6,AG,44.27,0.46,43.81,98.96092161734808,False
6,AN,0.04,3.14,3.1,7750.0,False
6,BA,222.31,123.88,98.43,44.27601097566461,False
6,BC,8.28,22.79,14.51,175.24154589371983,False
6,CS,104.55,97.28,7.269999999999996,6.95361071257771,True
6,IG,4.65,12.34,7.6899999999999995,165.3763440860215,False
6,JA,51.83,23.17,28.659999999999997,55.29616052479258,False
6,MA,202.25,466.76,264.51,130.78368355995056,False
6,PN,280.28,258.38,21.899999999999977,7.813614956472092,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1008.1999999999999,584.65,57.701607729735606,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,124.07,124.07,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,0.0,2186.09,100.0,False
7,IG,8.02,24.37,16.35,203.86533665835415,False
7,JA,13.74,970.22,956.48,6961.280931586608,False
7,MA,58.74,38.44,20.300000000000004,34.559073884916586,False
7,PN,1357.08,2460.87,1103.79,81.33566186223362,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3617.97,4415.22,121.57078701804333,False
