crop,gross_margin
AG,2759.3973233333327
AN_NU,182881.95413333332
AN_PA,3321749.8999999994
BA_INT,9725206.859299999
BA_IRR,16842.631590909088
BA_PER,2219744.161066667
BA_SINT,3530.8743545454527
BC_BT,2676405.6393750003
BC_GTMG,140773.300375
CS_BT_NIM,4276194.612742286
CS_CGT_NIM,470713.97506600013
CS_EGT_NIM,2294091.1852505715
CS_NGT_NIM,2834903.1337502864
CS_SBT_NIM,365731.2080533332
IG_PLA,591118.55985
IG_TUT,438014.7825
JA,526798.0
MA_MOBIO,10074.24
MA_PLBIO,3298923.5999999996
MA_ROTA,12857549.844432998
MA_TO_CO_JA,16657702.489772
NC,0.0
PN_PIQ,15544606.5
PN_TOUR,2917293.7600000002
VE_BTGT,20090.506133333332
