crop,gross_margin
AG,367.2165203333325
AN_NU,94266.71901333338
AN_PA,1700196.599633333
BA_INT,-15845667.587085001
BA_IRR,-20772.238375000004
BA_PER,-2476850.367608333
BC_BT,996681.6920125001
BC_GTMG,88844.47845
CS_BT_NIM,50262.27972414282
CS_BT_NISM,-328.4127229428572
CS_CGT_NIM,5807.458791085749
CS_EGT_NIM,60626.67420985704
CS_EGT_NISM,-4527.740068285713
CS_MG_NISM,-77624.89849388564
CS_NGT_NIM,-47141.511630086046
CS_NGT_NISM,-9340.108637742858
CS_SBT_NIM,-29448.010327066695
IG_PLA,72851.08309999992
IG_TUT,-172491.98850000012
JA,306852.0
MA_MOBIO,-79433.04599999999
MA_PLBIO,-14411394.648000002
MA_ROTA,3495027.341667396
MA_TO_CO_JA,5751570.148100098
NC,0.0
PN_PIQ,457478.36399999907
PN_TOUR,301084.89599999966
VE_BTGT,2838.9606640000006
