crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,1,2,1.42,28.4,19880.0,0.0,19880.0,8518.13956333333,699.0186666666666,10834.789333333332,0.43498361335822444,3642.982156862744,8.52,204.48000000000002,0.0,16080.0,-2.0675661099263998
AG,2,2,1.4100000000000001,28.2,19740.0,0.0,19740.0,8458.152664999998,694.096,10758.488,0.43192034847542005,3617.3273529411754,8.46,203.04000000000002,0.0,12840.0,-2.0472263868159004
AG,3,2,0.62,12.399999999999999,8680.0,0.0,8680.0,3719.1876966666655,305.20533333333333,4730.682666666667,0.18992242273387264,1590.5978431372541,3.7199999999999998,89.27999999999999,0.0,7440.0,-0.900006785667
AG,4,1,14.95,299.0,209300.0,0.0,209300.0,89680.41300833331,7359.386666666666,114070.49333333333,4.579580999792574,38353.931862745085,89.7,2152.8,0.0,47280.0,-19.478736841859995
AG,5,1,37.66,753.1999999999999,527240.0,0.0,527240.0,225910.6591233333,18538.762666666666,287350.8213333333,11.53625554864136,96615.99156862742,225.96,5423.04,0.0,98880.0,-46.35962197923781
AG,6,1,44.27,885.4,619780.0,0.0,619780.0,265561.99892166664,21792.645333333334,337786.00266666664,13.561073636175067,113573.81696078427,265.62,6374.88,0.0,0.0,-54.594563775180305
AG,7,3,0.51,10.2,7140.0,0.0,7140.0,3059.3318149999996,251.05599999999998,3891.3679999999995,0.15622650902302426,1308.3949999999995,3.0599999999999996,73.44,0.0,0.0,-0.7403281624035001
AN_NU,1,2,0.9299999999999999,18.6,13640.0,0.0,13640.0,6481.7155999999995,407.34,6313.7699999999995,0.25347853142501553,2105.3786764705883,6.82,119.56700000000004,0.0,0.0,-1.4120845414397998
AN_NU,2,2,1.73,34.6,25373.333333333332,0.0,25373.333333333332,12057.384933333333,757.74,11744.97,0.47152457996266334,3916.4571078431372,12.686666666666667,222.42033333333336,0.0,0.0,-2.6169184377127506
AN_NU,4,1,121.55,2431.0,1782733.3333333333,0.0,1782733.3333333333,847153.2593333332,53238.9,825202.95,33.12937149968886,275170.7291666667,891.3666666666668,15627.278333333337,0.0,0.0,-181.13180315438416
AN_NU,5,1,7.75,155.0,113666.66666666666,0.0,113666.66666666666,54014.29666666666,3394.5,52614.75,2.112321095208463,17544.82230392157,56.83333333333334,996.3916666666669,0.0,0.0,-11.1062169292077
AN_NU,6,1,0.04,0.8,586.6666666666666,0.0,586.6666666666666,278.78346666666664,17.52,271.56,0.01090230242688239,90.55392156862744,0.2933333333333334,5.142666666666668,0.0,0.0,-0.04632631300200001
AN_NU,7,3,0.6699999999999999,13.4,9826.666666666666,0.0,9826.666666666666,4669.623066666666,293.46000000000004,4548.63,0.18261356565028003,1516.7781862745098,4.913333333333334,86.13966666666668,0.0,0.0,-1.0134886435072503
BA_INT,1,2,8.63,388.35,209709.0,161018.54,370727.54,89230.61854999998,13446.8884375,208426.77078125,8.36769660080896,252204.53189338234,64.725,3352.755000000001,0.0,116209.2,1.2346080054916622
BA_INT,2,2,1.32,59.4,32076.0,24628.560000000005,56704.56,13648.252199999999,2056.76625,31879.876875,1.2798794337274426,38575.895955882355,9.900000000000002,512.8200000000002,0.0,17899.2,0.19488246319739944
BA_INT,3,2,159.43,7174.35,3874149.0,2974644.94,6848793.94,1648440.0365499998,248416.8509375,3850461.18953125,154.58422584785313,4659208.4032169115,1195.725,61938.555000000015,0.0,2161870.8,23.537962960273788
BA_INT,4,1,102.1,4594.5,2481030.0,1904981.8,4386011.8,1055671.6284999999,159087.753125,2465860.1734375,98.99673498755445,2983787.103860294,765.75,39665.85000000001,0.0,424021.2,16.533760692622543
BA_INT,5,1,1427.01,64215.45,34676343.0,26625152.58,61301495.58,14754691.190849999,2223504.5503125,34464320.52984375,1383.6369323662104,41703173.70303308,10702.575,554393.3850000001,0.0,12962953.2,409.1123143784846
BA_INT,6,1,222.31,10003.95,5402133.0,4147859.98,9549992.98,2298593.1413499997,346393.7159375,5369102.59703125,215.55302796359678,6496823.810569853,1667.325,86367.43500000003,0.0,0.0,68.36748996568988
BC_BT,1,2,6.83,177.58,142064.0,0.0,142064.0,77770.051125,4158.61625,64458.551875000005,2.5878134723086497,8862.364430147058,17.075,531.374,0.0,77563.2,-3.4369856409259087
BC_BT,2,2,18.47,480.22,384176.0,0.0,384176.0,210309.347625,11245.92125,174311.779375,6.998084163036714,23966.013327205877,46.175,1436.9660000000003,0.0,248419.2,-9.441379537533354
BC_BT,3,2,4.07,105.82000000000001,84656.0,0.0,84656.0,46343.207625,2478.12125,38410.879375,1.5420791848164281,5281.086856617646,10.175,316.6460000000001,0.0,54918.0,-2.080477245141351
BC_BT,4,1,27.34,710.84,568672.0,0.0,568672.0,311307.93525000004,16646.6425,258022.95875000002,10.358831673926572,35475.40900735294,68.35,2127.052,0.0,175195.2,-10.301954710259313
BC_BT,5,1,81.31,2114.06,1691248.0,0.0,1691248.0,925839.3641250001,49507.62625,767368.206875,30.807483665214686,105504.95634191175,203.275,6325.918000000001,0.0,863500.8,-33.477592025972314
BC_BT,6,1,8.28,215.28,172224.0,0.0,172224.0,94280.53050000001,5041.485,78143.0175,3.1372028624766646,10743.832720588234,20.7,644.1840000000001,0.0,0.0,-2.982348353204551
BC_BT,7,3,0.91,23.66,18928.0,0.0,18928.0,10361.749125,554.07625,8588.181875,0.3447892034847542,1180.7835477941173,2.275,70.798,0.0,0.0,-0.4651681309775502
CS_NGT_NISM,1,2,775.8,33514.560000000005,864340.5024,1436416.3090285717,2300756.8114285716,821099.1614914291,9863.742857142857,152888.0142857143,6.137985598719887,1352884.1921470584,1928.4171428571428,55857.6,0.0,0.0,-111.76094344144828
CS_NGT_NISM,2,2,2151.11,92927.952,2396611.88208,3982842.8544914294,6379454.736571429,2276713.8660425725,27349.827142857146,423922.3207142858,17.01918303849231,3751228.0414661756,5347.044857142857,154879.92,0.0,0.0,-308.84395005440877
CS_NGT_NISM,3,2,4019.76,173653.632,4478527.16928,7442702.78729143,11921229.95657143,4254474.820052574,51108.37714285715,792179.8457142857,31.803594986221,7009886.259635293,9991.974857142857,289422.72,0.0,0.0,-578.8095778116568
CS_NGT_NISM,4,1,3256.9,140698.08000000002,3628603.4831999997,6030245.26537143,9658848.74857143,3447071.2284885733,41409.15714285715,641841.9357142858,25.767988265623615,5679567.57592647,8095.722857142858,234496.8,0.0,0.0,-369.5964645015985
CS_NGT_NISM,5,1,318.72,13768.704000000002,355094.87616,590119.3684114286,945214.2445714286,337330.14275657164,4052.297142857143,62810.60571428572,2.521653480309361,555802.0749176469,792.2468571428572,22947.84,0.0,0.0,30.784634334738683
CS_NGT_NISM,6,1,104.55,4516.56,116482.08239999998,193577.37188571432,310059.4542857143,110654.70138428579,1329.2785714285715,20603.817857142858,0.8271801937950041,182320.24012499995,259.88142857142856,7527.6,0.0,0.0,18.894013546696765
CS_NGT_NISM,7,3,2186.09,94439.088,2435584.0795199997,4047609.343908572,6483193.423428572,2313736.35723743,27794.57285714286,430815.87928571436,17.295938305627168,3812228.156239705,5433.995142857143,157398.48,0.0,0.0,-283.260385953536
IG_PLA,1,2,20.33,365.94,548910.0,0.0,548910.0,231683.83114999998,13661.76,211757.28,8.501406347230864,51856.448529411755,20.33,2342.0159999999996,0.0,259950.0,-43.00728762007032
IG_PLA,2,2,36.1,649.8,974700.0,0.0,974700.0,411401.1955,24259.2,376017.60000000003,15.095955196017425,92081.54411764705,36.1,4158.719999999999,0.0,515400.0,-76.97579127033902
IG_PLA,3,2,38.81,698.58,1047870.0,0.0,1047870.0,442284.77554999996,26080.32,404244.96,16.229197261978843,98994.03676470587,38.81,4470.911999999999,0.0,566400.0,-81.16298159119891
IG_PLA,4,1,32.25,580.5,870750.0,0.0,870750.0,367525.99874999997,21672.0,335916.0,13.485998755444928,82261.21323529411,32.25,3715.2,0.15,199200.0,-63.44358171575849
IG_PLA,5,1,5.26,94.68,142020.0,0.0,142020.0,59943.775299999994,3534.72,54788.16,2.199576851275669,13416.867647058823,5.26,605.952,3.11,70650.0,-10.669902588313679
IG_PLA,6,1,4.65,83.7,125550.0,0.0,125550.0,52992.120749999995,3124.8,48434.4,1.9444928438083386,11860.919117647058,4.65,535.68,4.42,0.0,-8.054175898817281
IG_PLA,7,3,8.02,144.35999999999999,216540.0,0.0,216540.0,91397.16309999999,5389.4400000000005,83536.32,3.353727442439328,20456.897058823528,8.02,923.9039999999999,0.0,0.0,-17.054189294310305
JA,1,2,23.62,0.0,0.0,4724.0,4724.0,4724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.278386868800679
JA,2,2,52.29,0.0,0.0,10458.0,10458.0,10458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.220613332789792
JA,3,2,219.81,0.0,0.0,43962.0,43962.0,43962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.42652546721217
JA,4,1,69.72,0.0,0.0,13944.0,13944.0,13944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.580655497669916
JA,5,1,190.46,0.0,0.0,38092.0,38092.0,38092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.39696768386845
JA,6,1,51.83,0.0,0.0,10366.0,10366.0,10366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.85208470710799
JA,7,3,13.74,0.0,0.0,2748.0,2748.0,2748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152633910738798
MA_ROTA,1,2,40.6,2192.4,2302020.0,0.0,2302020.0,1133906.4745399999,67111.8,1040232.8999999999,41.762165525824514,190848.95735294116,609.0,11254.320000000002,0.0,651780.0,-41.41105816117068
MA_ROTA,2,2,367.53,19846.62,20838951.0,0.0,20838951.0,10264646.467676997,607527.09,9416669.895,378.0504604853765,1727653.1353676468,5512.95,101879.31600000002,0.0,6556140.0,-377.19846253156356
MA_ROTA,3,2,176.24,9516.96,9992808.0,0.0,9992808.0,4922159.5338159995,291324.72,4515533.16,181.28482887367767,828453.7005882352,2643.6,48853.72800000001,0.0,3068820.0,-180.78482105195104
MA_ROTA,4,1,165.87,8956.98,9404829.0,0.0,9404829.0,4632538.594382999,274183.11,4249838.205,170.61799004355942,779707.3043382352,2488.05,45979.16400000001,12.56,1058940.0,-154.17663315321485
MA_ROTA,5,1,75.74,4089.96,4294458.0,0.0,4294458.0,2115322.0783659997,125198.22,1940572.4100000001,77.90803982576229,356032.0204411764,1136.1,20995.128000000004,71.07,600480.0,-59.82430029948374
MA_ROTA,6,1,202.25,10921.5,11467575.0,0.0,11467575.0,5648585.824524999,334319.25,5181948.375,208.03935905413815,950719.2518382352,3033.75,56063.70000000001,123.16,0.0,-151.66954919640776
MA_ROTA,7,3,58.74,3171.96,3330558.0,0.0,3330558.0,1640533.6530659997,97097.22,1505006.91,60.42141879278158,276119.8954411764,881.1,16282.728000000003,0.0,0.0,-59.868721489912495
ME,2,2,10.03,200.6,240720.0,0.0,240720.0,93690.27012,6298.84,97632.01999999999,3.9196266334785315,1624264.3581249998,110.33,712.13,0.0,180540.0,-17.028755020467404
ME,3,2,179.33,3586.6,4303920.0,0.0,4303920.0,1675122.24732,112619.24,1745598.22,70.08042314872434,29040810.303345587,1972.6299999999999,12732.43,0.0,3227940.0,-304.46327396016153
PN_PIQ,1,2,604.53,398.9898,1994949.0,332491.5,2327440.5,968457.0599999999,76170.78,1180647.09,47.3993652769135,6154204.301470587,0.0,0.0,0.0,0.0,-857.466925737804
PN_PIQ,2,2,1725.19,1138.6254000000001,5693127.0,948854.5,6641981.5,2763754.38,217373.94,3369296.07,135.2669197261979,17562687.904411763,0.0,0.0,4.67,0.0,-2490.228154871002
PN_PIQ,3,2,1298.81,857.2146,4286073.0,714345.5,5000418.5,2080693.62,163650.06,2536575.93,101.83575606720598,13222076.801470587,0.0,0.0,26.73,0.0,-1883.3242083746807
PN_PIQ,4,1,634.92,419.04720000000003,2095236.0,349206.0,2444442.0,1017141.84,79999.92,1239998.76,49.7821530802738,6463578.970588234,0.0,0.0,29.91,0.0,-828.2065081749081
PN_PIQ,5,1,208.62,137.6892,688446.0,114741.0,803187.0,334209.24,26286.12,407434.86,16.357261978842562,2123782.2794117643,0.0,0.0,185.82,0.0,-277.89694499567696
PN_PIQ,6,1,280.28,184.9848,924924.0,154154.0,1079078.0,449008.56,35315.28,547386.84,21.97590541381456,2853291.6176470583,0.0,0.0,229.89000000000001,0.0,-341.44397234901095
PN_PIQ,7,3,1357.08,895.6728,4478364.0,746394.0,5224758.0,2174042.16,170992.08,2650377.24,106.40453018046048,13815273.970588233,0.0,0.0,0.0,0.0,-1951.8299264481077
VE_BTGT,1,2,17.67,256.215,179350.5,0.0,179350.5,77173.74855999999,6401.2519999999995,99219.40599999999,3.983355320472931,24320.654522058823,79.515,1272.24,0.0,206520.0,-25.738346390126395
VE_BTGT,2,2,38.54,558.83,391181.0,0.0,391181.0,168323.50138666664,13961.757333333333,216407.23866666667,8.68808794855839,53045.72865196078,173.43,2774.88,0.0,431280.0,-55.945583096139
VE_BTGT,3,2,51.76,750.52,525364.0,0.0,525364.0,226061.8690133333,18750.922666666665,290639.3013333333,11.668277950632648,71241.48715686274,232.92000000000002,3726.7200000000003,0.0,512760.0,-74.93546321036101
