crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,6,1,0.46,9.200000000000001,6440.0,0.0,6440.0,2759.3973233333327,226.44266666666667,3509.8613333333333,0.1409101846090023,1180.1209803921565,2.7600000000000002,66.24000000000001,0.0,0.0,-0.5811574680000001
AN_NU,1,2,6.94,138.8,101786.66666666666,0.0,101786.66666666666,48368.93146666666,3039.72,47115.659999999996,1.8915494710640945,15711.105392156862,50.89333333333334,892.2526666666669,0.0,0.0,-10.551252468442799
AN_NU,4,1,20.96,419.2,307413.3333333333,0.0,307413.3333333333,146082.53653333333,9180.48,142297.44,5.712806471686372,47450.25490196078,153.70666666666668,2694.757333333334,0.0,0.0,-31.866606878755192
AN_NU,5,1,43.83,876.6,642840.0,0.0,642840.0,305476.9836,19197.54,297561.87,11.946197884256378,99224.45955882352,321.42,5635.077000000001,0.0,0.0,-66.63708871640459
AN_NU,6,1,0.49,9.8,7186.666666666666,0.0,7186.666666666666,3415.097466666666,214.62,3326.61,0.1335532047293093,1109.2855392156862,3.5933333333333337,62.997666666666674,0.0,0.0,-0.7449731569937998
AN_PA,1,2,16.84,589.4,432226.6666666666,0.0,432226.6666666666,275557.97199999995,7342.24,113804.72,4.568911014312383,75320.61470588238,269.44,3614.986666666667,0.0,0.0,-25.602750946480796
AN_PA,4,1,194.04,6791.4,4980359.999999999,0.0,4980359.999999999,3175134.7319999994,84601.44,1311322.32,52.6455756067206,867886.7029411767,3104.64,41653.920000000006,0.0,0.0,-295.00937016954475
AN_PA,5,1,25.06,877.1,643206.6666666666,0.0,643206.6666666666,410064.29799999995,10926.16,169355.48,6.799103920348475,112086.3779411765,400.96,5379.546666666667,0.0,0.0,-38.10005574339719
BA_INT,1,2,22.37,1006.65,543591.0,417379.46,960970.46,231296.51644999997,34855.9553125,540267.30734375,21.690077979153703,653744.5397977941,167.775,8690.745000000003,0.0,256962.0,3.458296416415392
BA_INT,2,2,75.97,3418.65,1846071.0,1417448.26,3263519.26,785498.2724499999,118373.1303125,1834783.51984375,73.66093983354077,2220159.708915441,569.775,29514.34500000001,0.0,955302.0,11.216076309929122
BA_INT,3,2,152.38,6857.1,3702834.0,2843106.04,6545940.04,1575545.9622999998,237431.849375,3680193.6653124997,147.74850614499067,4453178.049816176,1142.85,59199.63000000002,0.0,1788021.6,22.649559678233842
BA_INT,4,1,66.71,3001.95,1621053.0,1244675.18,2865728.18,689753.71535,103944.6034375,1611141.35328125,64.68239168481642,1949543.9539522058,500.325,25916.835000000006,0.0,433648.8,14.044713692063333
BA_INT,5,1,505.23,22735.35,12277089.0,9426581.34,21703670.34,5223868.529549999,787227.2821875,12202022.87390625,489.8738532591786,14764924.177113969,3789.225,196281.85500000007,0.0,6380929.2,145.69633154613507
BA_INT,6,1,30.64,1378.8,744552.0,571681.12,1316233.12,316804.8844,47741.9075,739999.56625,29.70871655258245,895428.3727941175,229.8,11903.640000000003,0.0,0.0,10.662661491268091
BA_INT,7,3,25.0,1125.0,607500.0,466450.0,1073950.0,258489.62499999997,38953.90625,603785.546875,24.24014079029247,730604.0900735294,187.5,9712.500000000004,0.0,0.0,4.520940812172791
BA_IRR,2,2,0.73,24.82,13402.8,10408.34,23811.14,6755.561022727271,785.1813636363636,12170.311136363636,0.4886007241047689,13795.70932486631,4.38,240.9876,0.0,9898.8,-0.16704281232265028
BA_IRR,3,2,0.17,5.78,3121.2000000000003,2423.86,5545.06,1573.2128409090908,182.85045454545454,2834.1820454545455,0.11378373027097358,3212.699431818182,1.02,56.120400000000004,0.0,2305.2000000000003,-0.03890038095185003
BA_PER,1,2,12.790000000000001,230.22,124318.8,92088.0,216406.8,60190.23028333334,7228.801416666666,112046.42195833332,4.498320732213234,131847.3215870098,31.975,1987.566,0.0,0.0,-9.716942641240422
BA_PER,2,2,34.46,620.28,334951.2,248112.0,583063.2,162170.0809666667,19476.504833333332,301885.8249166666,12.119791433312589,355235.2386151961,86.15,5355.084,0.0,0.0,-25.967317604236225
