crop,labor_cost
AG,3509.8613333333333
AN_NU,490301.58
AN_PA,1594482.52
BA_INT,21212193.8328125
BA_IRR,15004.493181818181
BA_PER,2289899.471125
BC_BT,1542475.215
BC_GTMG,99796.343125
CS_BT_NIM,401962.65142857144
CS_CGT_NIM,47413.41500000001
CS_EGT_NIM,237429.68642857144
CS_MG_NISM,15602.145000000002
CS_NGT_NIM,271586.10642857145
CS_SBT_NIM,38095.69333333333
IG_PLA,478302.72000000003
IG_TUT,1608551.56
JA,0.0
MA_MOBIO,102716.64
MA_PLBIO,28147301.415
MA_ROTA,9527354.775
MA_TO_CO_JA,16374815.04
NC,0.0
PN_PIQ,19799103.87
PN_TOUR,295901.2
VE_BTGT,22011.322666666667
