farm,revenue
E1,25581.400857142857
E10,44055.94
E100,141671.62
E1000,32279.634720000005
E1001,6065.413988571429
E1002,79313.20288761905
E1003,12846.5
E1004,30761.08
E1005,10989.0
E1006,263655.0
E1007,28198.5
E1008,23483.00756
E1009,7350.5
E101,42773.5
E1010,55441.6
E1011,74642.40000000001
E1012,3258347.201051429
E1013,22393.98246857143
E1014,1078.0
E1015,47605.622571428576
E1016,11655.5
E1017,31416.0
E1018,59334.0
E1019,59884.1
E102,8200.5
E1020,70381.58
E1021,13003.250537142858
E1022,91287.0
E1023,28305.672708571434
E1024,48368.6
E1025,10926.053965714285
E1026,27065.5
E1027,65604.0
E1028,107712.0
E1029,29413.10345142857
E103,11994.5
E1030,3531.2341714285717
E1031,22652.895382857143
E1032,79992.0
E1033,10510.5
E1034,32653.53010285715
E1035,22203.0
E1036,1240257.273607619
E1037,26588.116114285716
E1038,25567.90157714286
E1039,31781.107542857142
E104,25016.0
E1040,38538.077150476194
E1041,245644.0
E1042,13536.5
E1043,13603.0
E1044,84744.0
E1045,45058.71030857143
E1046,4071.30528
E1047,38838.66861714286
E1048,38324.5
E1049,86688.0
E105,79392.76
E1050,53806.4
E1051,5566.8868114285715
E1052,8701.0
E1053,60547.77658857143
E1054,1120196.0
E1055,89041.0490057143
E1056,11341.49328
E1057,144874.97
E1058,17845.5
E1059,22220.24
E106,29573.5
E1060,18926.5
E1061,3192.5
E1062,14822.5
E1063,5700.444285714286
E1064,15130.5
E1065,31197.5
E1066,9933.0
E1067,31949.5
E1068,36421.0
E1069,9801.0
E107,27112.05
E1070,30222.5
E1071,10263.5
E1072,11107.5
E1073,7747.5
E1074,7661.5
E1075,16439.5
E1076,6853.0
E1077,15284.5
E1078,13398.0
E1079,23891.432422857142
E108,24945.597857142857
E1080,9104.5
E1081,11858.0
E1082,12204.5
E1083,16369.5
E1084,8893.0
E1085,21000.5
E1086,1870.0
E1087,11694.5
E1088,5418.0
E1089,20528.0
E109,32499.5
E1090,5582.5
E1091,17175.1
E1092,18694.0
E1093,30838.5
E1094,6121.5
E1095,7122.5
E1096,23289.7824
E1097,9509.5
E1098,10329.5
E1099,6486.974142857143
E11,37847.003142857146
E110,11574.743571428571
E1100,48151.46028571429
E1101,8733.0
E1102,7849.0
E1103,15974.683428571429
E1104,9394.0
E1105,11791.5
E1106,9086.0
E1107,9605.0
E1108,63647.770000000004
E1109,21834.0
E111,11660.5
E1110,14563.0
E1111,4359.8075714285715
E1112,313373.7
E1113,4697.0
E1114,3364.5
E1115,8085.0
E1116,14014.0
E1117,3850.0
E1118,22869.0
E1119,24794.0
E112,38769.5
E1120,25025.0
E1121,10055.5
E1122,166519.35
E1123,17171.0
E1124,11819.5
E1125,27204.4
E1126,2783.443405714286
E1127,18691.48
E1128,22392.888142857144
E1129,496224.0
E113,49473.12
E1130,1802.0
E1131,34327.6
E1132,134752.24723047618
E1133,99794.92333333334
E1134,426540.19
E1135,23817.72315714286
E1136,37062.5
E1137,100698.42
E1138,15682.674714285715
E1139,21329.0
E114,30825.426857142855
E1140,12089.284045714287
E1141,26654.0
E1142,39795.50742857143
E1143,88704.0
E1144,227367.0
E1145,5786.0
E1146,23433.6894
E1147,2534.1798171428572
E1148,9834.5
E1149,4883.5
E115,36844.5
E1150,34273.74342857143
E1151,42647.166666666664
E1152,7316.64406857143
E1153,38016.0
E1154,22643.2
E1155,10631.25
E1156,1254.0
E1157,21130.96026571429
E1158,9222.752777142858
E1159,144144.0
E116,31046.0
E1160,223683.64
E1161,59755.50000000001
E1162,18641.64
E1163,10433.5
E1164,8522.5
E1165,8053.463131428572
E1166,11463.949317142858
E1167,15449.7
E1168,14245.0
E1169,359064.0
E117,42311.5
E1170,2983.5
E1171,3318.554262857143
