crop,revenue
AG,6440.0
AN_NU,384853.3333333333
AN_PA,5210333.333333333
BA_INT,40405435.64
BA_IRR,59364.76000000001
BA_PER,7980825.6
BA_SINT,16143.560000000001
BC_BT,4889040.0
BC_GTMG,258128.0
CS_BT_NIM,8396942.508205714
CS_CGT_NIM,912729.6443800002
CS_EGT_NIM,4364127.339931428
CS_NGT_NIM,5595436.668285714
CS_SBT_NIM,775932.946
IG_PLA,1400490.0
IG_TUT,1450200.0
JA,526798.0
MA_MOBIO,85536.0
MA_PLBIO,36137745.0
MA_ROTA,26102979.0
MA_TO_CO_JA,31675248.0
NC,0.0
PN_PIQ,37357512.5
PN_TOUR,6982884.0
VE_BTGT,46690.00000000001
