region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,44.8,43.87,4717.2043010752695,False
1,BA,8.63,12.52,3.889999999999999,45.07531865585166,False
1,BC,6.83,0.03,6.8,99.56076134699853,False
1,CS,775.8,203.16,572.64,73.81283836040217,False
1,IG,20.33,0.76,19.569999999999997,96.26168224299064,False
1,JA,23.62,261.67,238.05,1007.8323454699407,False
1,MA,40.6,43.75,3.1499999999999986,7.758620689655169,True
1,PN,604.53,929.42,324.89,53.74257687790515,False
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1496.1100000000001,1231.9500000000003,82.11029352955292,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,28.57,27.25,2064.3939393939395,False
2,BC,18.47,2.99,15.479999999999999,83.81158635625337,False
2,CS,2151.11,1151.93,999.1800000000001,46.44950746358856,False
2,IG,36.1,0.08,36.02,99.77839335180056,False
2,JA,52.29,412.9,360.60999999999996,689.6347293937654,False
2,MA,367.53,393.93,26.400000000000034,7.183087094931037,True
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,2407.24,682.0499999999997,39.53477587975815,False
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4397.639999999999,2198.7,49.928242485898274,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,59.88,99.55000000000001,62.44119676346987,False
3,BC,4.07,121.45,117.38,2884.0294840294837,False
3,CS,4019.76,559.26,3460.5,86.08722908830377,False
3,IG,38.81,4.32,34.49,88.86884823499098,False
3,JA,219.81,2087.81,1868.0,849.8248487329967,False
3,MA,176.24,292.38,116.13999999999999,65.89877439854742,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,3013.7,1714.8899999999999,132.03547863043863,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6138.8,7642.66,124.29838143069037,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,347.17,225.62,185.6190867955574,False
4,BA,102.1,44.65,57.449999999999996,56.26836434867777,False
4,BC,27.34,18.5,8.84,32.33357717629846,False
4,CS,3256.9,1845.68,1411.22,43.330160582148665,False
4,IG,32.25,66.52,34.269999999999996,106.26356589147285,False
4,JA,69.72,461.73,392.01,562.263339070568,False
4,MA,165.87,270.36,104.49000000000001,62.99511665762344,False
4,PN,634.92,1388.05,753.13,118.61809361809362,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4442.66,3055.59,68.21716329442022,False
5,AG,37.66,0.0,37.66,100.0,False
5,AN,7.75,118.77,111.02,1432.516129032258,False
5,BA,1427.01,398.93,1028.08,72.04434446850408,False
5,BC,81.31,62.75,18.560000000000002,22.826220637068012,False
5,CS,318.72,155.57,163.15000000000003,51.189131526104426,False
5,IG,5.26,1.25,4.01,76.23574144486692,False
5,JA,190.46,153.83,36.629999999999995,19.232384752703975,True
5,MA,75.74,1001.91,926.17,1222.8280961182995,False
5,PN,208.62,498.47,289.85,138.93682293164608,False
5,VE,48.49,6.58,41.910000000000004,86.43019179212209,False
5,TOTAL,2401.0199999999995,2398.06,2657.0399999999995,110.66296823849864,False
6,AG,44.27,0.46,43.81,98.96092161734808,False
6,AN,0.04,1.78,1.74,4350.0,False
6,BA,222.31,36.26,186.05,83.6894426701453,False
6,BC,8.28,41.86,33.58,405.5555555555556,False
6,CS,104.55,97.6,6.950000000000003,6.647537063605933,True
6,IG,4.65,13.26,8.61,185.16129032258064,False
6,JA,51.83,9.01,42.82,82.61624541771175,False
6,MA,202.25,528.19,325.94000000000005,161.15698393077878,False
6,PN,280.28,274.31,5.96999999999997,2.130012844298548,True
6,VE,94.77,0.2,94.57,99.78896275192572,False
6,TOTAL,1013.2299999999999,1002.9300000000001,750.04,74.02465382983134,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,64.34,64.34,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,0.0,2186.09,100.0,False
7,IG,8.02,8.07,0.05000000000000071,0.6234413965087371,True
7,JA,13.74,1410.87,1397.1299999999999,10168.340611353711,False
7,MA,58.74,55.53,3.210000000000001,5.4647599591419835,True
7,PN,1357.08,2081.89,724.81,53.40952633595661,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3620.7,4383.77,120.70482762038763,False
