crop,gross_margin
AG,2759.3973233333327
AN_NU,855865.2426666666
AN_PA,5112058.552999999
BA_INT,6899294.8829499995
BA_PER,1137025.9217166668
BA_SINT,569.4958636363634
BC_BT,2683579.1580000003
BC_GTMG,103112.755875
CS_BT_NIM,4290750.286511429
CS_CGT_NIM,435818.4948397144
CS_EGT_NIM,2301354.101652286
CS_NGT_NIM,2617504.9789240006
CS_SBT_NIM,377825.6334493332
IG_PLA,141312.322
IG_TUT,810245.7975
JA,805968.0
MA_MOBIO,30397.62
MA_PLBIO,4146247.7399999998
MA_ROTA,10424398.808424998
MA_TO_CO_JA,20071586.033738997
NC,0.0
PN_PIQ,16627574.52
VE_BTGT,29611.659039999995
