region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,34.57,33.64,3617.204301075269,False
1,BA,8.63,52.67,44.04,510.31286210892233,False
1,BC,6.83,32.31,25.480000000000004,373.0600292825769,False
1,CS,775.8,687.64,88.15999999999997,11.363753544728018,True
1,IG,20.33,15.73,4.599999999999998,22.626660108214452,False
1,JA,23.62,9.5,14.120000000000001,59.77984758679085,False
1,MA,40.6,41.14,0.5399999999999991,1.3300492610837418,True
1,ME,0.0,10.14,10.14,,
1,PN,604.53,607.16,2.6299999999999955,0.435048715531073,True
1,VE,17.67,7.59,10.080000000000002,57.045840407470294,False
1,TOTAL,1500.3600000000001,1498.4499999999998,234.85,15.65290996827428,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,194.88,193.56,14663.636363636362,False
2,BC,18.47,102.69,84.22,455.9826746074716,False
2,CS,2151.11,1827.67,323.44000000000005,15.035958179730468,True
2,IG,36.1,58.4,22.299999999999997,61.77285318559555,False
2,JA,52.29,45.83,6.460000000000001,12.354178619238862,True
2,MA,367.53,361.02,6.509999999999991,1.7712839768182165,True
2,ME,10.03,79.32,69.28999999999999,690.827517447657,False
2,PN,1725.19,1716.09,9.100000000000136,0.5274781328433469,True
2,VE,38.54,12.03,26.509999999999998,68.78567721847432,False
2,TOTAL,4403.72,4397.93,744.5300000000001,16.906842396882638,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,94.24,65.19000000000001,40.889418553597196,False
3,BC,4.07,235.13,231.06,5677.149877149876,False
3,CS,4019.76,3577.48,442.2800000000002,11.002646924194485,True
3,IG,38.81,142.55,103.74000000000001,267.302241690286,False
3,JA,219.81,46.01,173.8,79.0682862472135,False
3,MA,176.24,444.54,268.3,152.23558783477077,False
3,ME,179.33,117.42999999999999,61.90000000000002,34.517370211342225,False
3,PN,1298.81,1464.43,165.62000000000012,12.751672684996274,True
3,VE,51.76,9.52,42.239999999999995,81.60741885625964,False
3,TOTAL,6148.639999999999,6131.330000000001,1554.7500000000005,25.286079523276705,False
4,AG,14.95,67.54,52.59,351.77257525083616,False
4,AN,121.55,567.68,446.12999999999994,367.0341423282599,False
4,BA,102.1,109.43,7.3300000000000125,7.179236043095018,True
4,BC,27.34,6.86,20.48,74.90855888807607,False
4,CS,3256.9,2775.69,481.21000000000004,14.775092879732261,True
4,IG,32.25,47.16,14.909999999999997,46.232558139534866,False
4,JA,69.72,37.45,32.269999999999996,46.28514056224899,False
4,MA,165.87,204.38,38.50999999999999,23.216977150780725,False
4,PN,634.92,638.63,3.7100000000000364,0.5843255843255901,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4454.82,1150.7499999999998,25.690914246038915,False
5,AG,37.66,152.6,114.94,305.2044609665428,False
5,AN,7.75,62.82,55.07,710.5806451612904,False
5,BA,1427.01,127.21,1299.8,91.085556513269,False
5,BC,81.31,337.37,256.06,314.9182142417907,False
5,CS,318.72,227.45,91.27000000000004,28.636420682730932,False
5,IG,5.26,4.18,1.08,20.53231939163498,False
5,JA,190.46,24.73,165.73000000000002,87.01564632993804,False
5,MA,75.74,1303.04,1227.3,1620.411935569052,False
5,PN,208.62,146.59,62.03,29.733486722270154,False
5,VE,48.49,13.48,35.010000000000005,72.20045370179419,False
5,TOTAL,2401.0199999999995,2399.4700000000003,3308.2900000000004,137.78685725233447,False
6,AG,44.27,193.87,149.6,337.9263609667946,False
6,AN,0.04,22.689999999999998,22.65,56625.0,False
6,BA,222.31,70.69,151.62,68.20206018622643,False
6,BC,8.28,54.65,46.37,560.0241545893721,False
6,CS,104.55,99.85000000000001,4.699999999999989,4.495456719273064,True
6,IG,4.65,29.729999999999997,25.08,539.3548387096773,False
6,JA,51.83,13.27,38.56,74.39706733551998,False
6,MA,202.25,274.63,72.38,35.78739184177998,False
6,PN,280.28,251.76,28.519999999999982,10.175538746967312,True
6,VE,94.77,0.81,93.96,99.14529914529915,False
6,TOTAL,1013.2299999999999,1011.9499999999999,633.44,62.51690139455012,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,94.61,94.61,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,1436.23,749.8600000000001,34.30142400358631,False
7,IG,8.02,43.8,35.78,446.13466334164593,False
7,JA,13.74,18.77,5.029999999999999,36.608442503639004,False
7,MA,58.74,31.59,27.150000000000002,46.220633299284984,False
7,PN,1357.08,2005.05,647.97,47.747369351843666,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3630.0499999999997,1568.5400000000002,43.18893334177724,False
