crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,67.54,1350.8,945560.0,0.0,945560.0,405151.51134333323,33247.69066666666,515339.2053333333,20.6892910184609,173272.54568627445,405.24,9725.76,0.0,810480.0,-91.30891712693398
AG,5,1,152.6,3052.0,2136400.0,0.0,2136400.0,915400.0685666665,75119.89333333333,1164358.3466666667,46.745422111595104,391492.3078431371,915.6,21974.4,0.0,560400.0,-187.84903906413902
AG,6,1,193.87,3877.4,2714180.0,0.0,2714180.0,1162965.997988333,95435.73866666666,1479253.9493333334,59.38751628292885,497369.68362745084,1163.22,27917.28,0.0,0.0,-234.61357866806884
AN_NU,1,2,2.77,55.4,40626.666666666664,0.0,40626.666666666664,19305.755066666665,1213.26,18805.53,0.7549844430616055,6270.859068627451,20.313333333333333,356.1296666666667,0.0,0.0,-4.211378867087399
AN_NU,4,1,124.21,2484.2,1821746.6666666665,0.0,1821746.6666666665,865692.3598666666,54403.98,843261.6900000001,33.85437461107654,281192.56495098036,910.8733333333334,15969.26566666667,0.0,0.0,-188.84309353102017
AN_NU,5,1,4.15,83.0,60866.666666666664,0.0,60866.666666666664,28923.784666666666,1817.7,28174.350000000002,1.131113876789048,9394.969362745098,30.433333333333337,533.5516666666667,0.0,0.0,-6.309466533722999
AN_NU,6,1,17.78,355.6,260773.3333333333,0.0,260773.3333333333,123919.25093333333,7787.64,120708.42000000001,4.846073428749222,40251.2181372549,130.38666666666668,2285.915333333334,0.0,0.0,-27.031883125203596
AN_PA,1,2,31.8,1113.0,816200.0,0.0,816200.0,520352.9399999999,13864.8,214904.4,8.627753578095831,142232.5147058824,508.8,6826.400000000001,0.0,0.0,-48.34723753551599
AN_PA,4,1,443.46999999999997,15521.45,11382396.666666666,0.0,11382396.666666666,7256632.650999999,193352.92,2996970.26,120.31917859365277,1983517.3992647065,7095.5199999999995,95198.22666666667,0.0,0.0,-674.2311141470212
AN_PA,5,1,58.67,2053.45,1505863.3333333333,0.0,1505863.3333333333,960034.8109999999,25580.12,396491.86,15.917934038581206,262414.5169117648,938.72,12594.493333333334,0.0,0.0,-89.19913289964538
AN_PA,6,1,4.909999999999999,171.85,126023.3333333333,0.0,126023.3333333333,80343.80299999997,2140.7599999999998,33181.78,1.332146857498444,21961.0580882353,78.55999999999999,1054.0133333333333,0.0,0.0,-7.464935103754199
BA_INT,1,2,4.95,222.75,120285.0,64649.96999999999,184934.97,23473.815749999987,7712.8734375,119549.53828125,4.799547876477909,144659.60983455883,37.125,1923.0750000000007,0.0,23730.0,0.7164713325358799
BA_INT,2,2,7.17,322.65000000000003,174231.0,93644.502,267875.502,34001.466449999985,11171.9803125,173165.69484375,6.952072378655881,209537.25303308823,53.775,2785.5450000000005,0.0,83529.6,1.0585661069131478
BA_INT,3,2,1.42,63.9,34506.0,18546.051999999996,53052.051999999996,6733.902699999996,2212.581875,34295.019062499996,1.3768399968886122,41498.31231617647,10.649999999999999,551.6700000000002,0.0,19255.2,0.20964628616689973
BA_INT,4,1,59.019999999999996,2655.9,1434186.0,770836.612,2205022.6119999997,279883.75869999983,91962.381875,1425416.9190625,57.22612437772246,1724810.135845588,442.65,22929.270000000008,0.0,278793.6,14.639993829587128
BA_INT,5,1,91.78,4130.1,2230254.0,1198701.8679999998,3428955.868,435237.7392999998,143007.580625,2216617.4996875,88.99040486932172,2682193.735477941,688.35,35656.53000000001,0.0,634608.0,22.502365418930772
BA_INT,6,1,19.99,899.55,485757.0,261081.39399999997,746838.394,94796.27814999995,31147.5434375,482786.92328125,19.38241657591786,584191.030422794,149.925,7766.1150000000025,0.0,0.0,7.356972704482844
BA_INT,7,3,32.38,1457.1,786834.0,422902.22799999994,1209736.228,153551.95029999994,50453.099375,782023.0403125,31.39583035158681,946278.4174632352,242.85,12579.630000000003,0.0,0.0,5.199753030126039
BA_IRR,1,2,21.05,715.7,386478.0,210091.62999999998,596569.63,104761.49647727267,22641.188636363633,350938.42386363633,14.089103071788198,397807.78258689836,126.3,6949.026,0.0,285438.0,-4.1568769206594185
BA_IRR,2,2,117.33,3989.22,2154178.8,1171023.7979999997,3325202.5979999998,583927.1440227269,126199.08136363636,1956085.7611363635,78.53085336878429,2217329.5549131017,703.98,38732.9796,0.0,1590994.8,-26.848127629885685
BA_IRR,3,2,63.1,2145.4,1158516.0,629775.8599999999,1788291.8599999999,314035.64977272705,67869.78636363636,1051981.6886363635,42.23384341234372,1192478.4361631016,378.59999999999997,20830.572,0.0,855636.0,-14.286459868935719
BA_PER,1,2,26.67,480.06,259232.4,134416.8,393649.2,67902.84235,15073.66175,233641.75712499997,9.380001088985686,274931.04509191174,66.675,4144.518,0.0,151329.6,-20.640281018925332
BA_PER,2,2,70.38,1266.84,684093.6,354715.2,1038808.8,179190.17790000004,39778.18949999999,616561.93725,24.753073739887988,725521.070625,175.95,10937.052000000001,0.0,597860.4,-55.85138158030615
BA_PER,3,2,29.72,534.96,288878.39999999997,149788.8,438667.2,75668.25926666669,16797.496333333333,260361.19316666664,10.452704625596349,306372.3532107843,74.3,4618.488,0.0,345237.6,-23.583467013464606
BA_PER,4,1,50.41,907.38,489985.2,254066.4,744051.6,128345.79238333336,28491.311916666662,441615.3347083333,17.729503370669985,519657.8171384804,126.02499999999999,7833.714,0.0,26984.4,-37.59691188201098
BA_PER,5,1,35.43,637.74,344379.6,178567.2,522946.8,90206.13815000001,20024.740749999997,310383.48162499996,12.460946328562537,365234.60545955884,88.575,5505.822,0.0,211400.4,-24.136769119519858
BA_PER,6,1,50.7,912.6,492804.0,255528.0,748332.0,129084.14350000002,28655.2175,444155.8712499999,17.83149813316739,522647.31856617646,126.75,7878.780000000001,0.0,0.0,-34.130501242825794
BA_PER,7,3,62.230000000000004,1120.14,604875.6,313639.2,918514.8,158439.96548333336,35171.87741666666,545164.0999583333,21.88666920763327,641505.7718811275,155.575,9670.542000000001,0.0,0.0,-48.08506674894686
BC_BT,4,1,6.86,178.36,142688.0,0.0,142688.0,78111.64725000001,4176.8825,64741.67875,2.5991801493466085,8901.291360294117,17.15,533.7080000000001,0.0,34171.2,-3.2557508996263977
BC_BT,5,1,337.37,8771.62,7017296.0,0.0,7017296.0,3841476.1563750003,205416.15875,3183950.460625,127.82586107654014,437759.2807904411,843.425,26247.386000000002,0.0,399477.6,-117.28303665891286
BC_BT,6,1,54.65,1420.9,1136720.0,0.0,1136720.0,622274.274375,33275.01875,515762.790625,20.706296670815185,70911.89108455881,136.625,4251.77,0.0,0.0,-16.311204883389514
BC_GTMG,1,2,32.31,840.06,672048.0,0.0,672048.0,366509.696625,20060.47125,310937.304375,12.48318061605476,39002.149356617636,80.775,2513.7180000000003,0.0,438123.6,-16.586054347706277
BC_GTMG,2,2,102.69,2669.94,2135952.0,0.0,2135952.0,1164867.8658750001,63757.65375,988243.633125,39.67495566272557,123959.47748161762,256.725,7989.282000000001,0.0,1392476.4,-52.492434472620474
BC_GTMG,3,2,235.13,6113.38,4890704.0,0.0,4890704.0,2667205.972375,145986.33875,2262788.250625,90.84401913503423,283830.86902573524,587.825,18293.114,0.0,3188362.8,-120.1922886118147
CS_BT_NIM,4,1,2773.02,205203.48,4350313.776,7169901.497005715,11520215.273005715,5866740.476062286,35256.96857142857,546483.012857143,21.939619521735267,5932307.41310294,6892.935428571429,199657.44,0.0,0.0,560.8572646707789
CS_BT_NIM,5,1,30.78,2277.7200000000003,48287.66399999999,79584.55693714286,127872.22093714285,65119.71491485715,391.34571428571434,6065.858571428572,0.24352564672415328,65847.49557352939,76.51028571428571,2216.16,0.0,0.0,10.716819188150703
CS_BT_NIM,6,1,99.75,7381.5,156487.79999999996,257912.916,414400.71599999996,211036.11315000002,1268.25,19657.875,0.7892034847542004,213394.6615808823,247.95000000000002,7182.0,0.0,0.0,49.753415608127
CS_BT_NISM,4,1,2.67,158.06400000000002,3350.9568,5612.783067428572,8963.739867428572,3079.6929625714306,33.94714285714286,526.1807142857143,0.02112454440394702,4795.000777941175,6.636857142857143,192.24,0.0,0.0,0.7710530556008012
CS_BT_NISM,5,1,0.24,14.208,301.20959999999997,504.5198262857144,805.7294262857143,276.8263337142859,3.0514285714285716,47.29714285714286,0.0018988354520401815,431.0113058823528,0.5965714285714285,17.28,0.0,0.0,0.03774911384160007
CS_BT_NISM,6,1,0.1,5.920000000000001,125.504,210.21659428571434,335.72059428571436,115.3443057142858,1.2714285714285716,19.70714285714286,0.0007911814383500757,179.58804411764703,0.24857142857142858,7.2,0.0,0.0,0.016416292147499956
CS_CGT_NIM,1,2,686.09,43223.67,998034.5403,1627713.6324228575,2625748.1727228574,1354153.847763143,8723.144285714287,135208.73642857143,5.428216730376033,1413094.1699852939,1705.4237142857144,49398.479999999996,0.0,0.0,-2.154066560714178
CS_CGT_NISM,1,2,1.55,78.11999999999999,1803.7907999999998,2994.0586514285715,4797.849451428571,1707.330978571429,19.70714285714286,305.4607142857143,0.012263312294426171,2739.2646249999993,3.8528571428571428,111.6,0.0,0.0,-0.008936251427251879
CS_EGT_NIM,2,2,1723.97,98266.29,2472379.8564000004,3896394.838411429,6368774.694811429,3347874.3286265717,21919.047142857144,339745.23071428575,13.6397306427238,3475837.8909999994,4285.296857142857,124125.84,0.0,0.0,-175.18713731936168
CS_EGT_NISM,2,2,103.7,4728.72,118974.59520000001,190994.11483428572,309968.71003428573,115074.63078571427,1318.4714285714288,20436.307142857146,0.8204551515690284,181647.18774999995,257.7685714285714,7466.4,0.0,0.0,-10.574297143042585
CS_MG_NISM,7,3,1436.23,65492.088,1074725.16408,2790895.267245715,3865620.431325715,1624810.2407762862,18260.63857142857,283039.8978571429,11.36318517201529,2515787.275430882,3570.0574285714288,103408.56,0.0,0.0,-127.6281243591317
CS_NGT_NIM,3,2,3105.99,167723.46,4325588.033399999,7057732.202742858,11383320.236142857,5767308.634343144,39490.444285714286,612101.8864285715,24.574016357009516,6194762.309845587,7720.603714285715,223631.28,0.0,0.0,-445.7129878186217
CS_NGT_NISM,3,2,471.49,20368.368000000002,525300.21072,872977.4755657144,1398277.6862857144,499020.422340286,5994.658571428572,92917.20785714287,3.7303413636767715,822211.095327941,1171.9894285714286,33947.28,0.0,0.0,-67.8903536137526
CS_SBT_NIM,5,1,196.43,19151.925,393955.09725,704146.5495999999,1098101.64685,517583.4380253331,3470.263333333333,53789.08166666666,2.159466915577681,473842.9615992647,563.0993333333333,14142.960000000001,0.0,0.0,142.46797867767495
IG_PLA,1,2,15.73,283.14,424710.0,0.0,424710.0,179261.51815,10570.56,163843.68,6.577822028624767,40123.06617647059,15.73,1812.0959999999998,0.0,204000.0,-33.5944782424092
IG_PLA,2,2,58.4,1051.2,1576800.0,0.0,1576800.0,665535.4519999999,39244.8,608294.4,24.421157436216554,148962.94117647057,58.4,6727.679999999999,0.0,817200.0,-124.52593380021602
IG_PLA,3,2,142.55,2565.9,3848850.0,0.0,3848850.0,1624521.8952499998,95793.6,1484800.8,59.610205351586806,363607.31617647054,142.55,16421.76,0.0,1539900.0,-303.95842231542457
IG_PLA,7,3,43.8,788.4,1182600.0,0.0,1182600.0,499151.5889999999,29433.6,456220.8,18.315868077162413,111722.20588235294,43.8,5045.759999999999,0.0,0.0,-93.10426760019512
IG_TUT,4,1,47.16,707.4,1414800.0,0.0,1414800.0,427322.65499999997,46735.56,724401.18,29.082489110143122,92617.38529411763,47.16,4074.624,0.0,77250.0,-93.09094664232094
IG_TUT,5,1,4.18,62.7,125400.0,0.0,125400.0,37875.5025,4142.38,64206.89,2.577710018668326,8209.089705882352,4.18,361.15199999999993,0.0,0.0,-7.617457205815442
