crop,gross_margin
AG,2483517.577898333
AN_NU,1037841.1505333332
AN_PA,8817364.204999998
BA_INT,1027678.9113499995
BA_IRR,1002724.2902727266
BA_PER,828837.3190333336
BC_BT,4541862.078
BC_GTMG,4198583.534875
CS_BT_NIM,6142896.304127144
CS_BT_NISM,3471.863602000002
CS_CGT_NIM,1354153.8477631432
CS_CGT_NISM,1707.3309785714291
CS_EGT_NIM,3347874.3286265717
CS_EGT_NISM,115074.63078571427
CS_MG_NISM,1624810.2407762865
CS_NGT_NIM,5767308.634343144
CS_NGT_NISM,499020.422340286
CS_SBT_NIM,517583.43802533316
IG_PLA,2968470.4543999997
IG_TUT,734585.4037499999
JA,22684.96
MA_ROTA,49889650.58128799
MA_TO_CO_JA,18201686.665638
ME,1932560.31756
NC,0.0
PN_PIQ,10941195.42
VE_BTGT,189680.58290666665
