crop,labor_cost
AG,3158951.5013333336
AN_NU,1010949.99
AN_PA,3641548.3000000003
BA_INT,5233854.63453125
BA_IRR,3359005.873636363
BA_PER,2851883.675083333
BC_BT,3764454.93
BC_GTMG,3561969.188125
CS_BT_NIM,572206.7464285715
CS_BT_NISM,593.1850000000001
CS_CGT_NIM,135208.73642857143
CS_CGT_NISM,305.4607142857143
CS_EGT_NIM,339745.23071428575
CS_EGT_NISM,20436.307142857146
CS_MG_NISM,283039.89785714285
CS_NGT_NIM,612101.8864285714
CS_NGT_NISM,92917.20785714287
CS_SBT_NIM,53789.08166666666
IG_PLA,2713159.68
IG_TUT,1245275.7349999999
JA,18187.079999999998
MA_ROTA,45768197.88
MA_TO_CO_JA,15281365.680000002
ME,2013867.26
NC,0.0
PN_PIQ,13338423.629999999
VE_BTGT,243865.24066666668
