crop,production_tonnes
AG,8280.2
AN_NU,2978.2
AN_PA,18859.75
BA_INT,9751.95
BA_IRR,6850.32
BA_PER,5859.72
BC_BT,10370.88
BC_GTMG,9623.38
CS_BT_NIM,214862.7
CS_BT_NISM,178.192
CS_CGT_NIM,43223.670000000006
CS_CGT_NISM,78.12
CS_EGT_NIM,98266.29000000001
CS_EGT_NISM,4728.72
CS_MG_NISM,65492.088
CS_NGT_NIM,167723.46
CS_NGT_NISM,20368.368000000002
CS_SBT_NIM,19151.925
IG_PLA,4688.64
IG_TUT,1216.05
JA,0.0
MA_ROTA,96461.28
MA_TO_CO_JA,31464.72
ME,4137.799999999999
NC,0.0
PN_PIQ,4507.6086000000005
VE_BTGT,629.735
