crop,revenue
AG,5796140.0
AN_NU,2184013.333333333
AN_PA,13830483.333333332
BA_INT,8096415.626
BA_IRR,5710064.0879999995
BA_PER,4804970.4
BC_BT,8296704.0
BC_GTMG,7698704.0
CS_BT_NIM,12062488.209942859
CS_BT_NISM,10105.189888
CS_CGT_NIM,2625748.1727228574
CS_CGT_NISM,4797.849451428572
CS_EGT_NIM,6368774.69481143
CS_EGT_NISM,309968.71003428573
CS_MG_NISM,3865620.431325715
CS_NGT_NIM,11383320.236142857
CS_NGT_NISM,1398277.6862857144
CS_SBT_NIM,1098101.64685
IG_PLA,7032960.000000001
IG_TUT,2432100.0
JA,39112.0
MA_ROTA,101284344.0
MA_TO_CO_JA,34611192.0
ME,4965360.0
NC,0.0
PN_PIQ,26294383.5
VE_BTGT,440814.5
