farm,revenue
E1,30565.742571428575
E10,47607.176
E100,320342.0
E1000,32279.634720000005
E1001,6065.413988571429
E1002,82874.61555142856
E1003,18688.126102857143
E1004,53260.06706285714
E1005,29221.387862857144
E1006,285201.0
E1007,47031.74556952382
E1008,23433.167285714284
E1009,7380.659725714286
E101,42773.5
E1010,51826.358
E1011,41032.8
E1012,3506761.442770286
E1013,22558.354765714284
E1014,1078.0
E1015,48402.56271428571
E1016,23317.38078
E1017,57552.463474285716
E1018,84317.58075428572
E1019,57341.9
E102,8200.5
E1020,71926.39
E1021,13003.250537142858
E1022,91287.0
E1023,28482.220731428577
E1024,69812.37190857143
E1025,10926.053965714285
E1026,38417.470194285714
E1027,65604.0
E1028,107712.0
E1029,29413.10345142857
E103,16362.988731428572
E1030,3531.2341714285717
E1031,49856.475748571436
E1032,79992.0
E1033,10510.5
E1034,32653.53010285715
E1035,29479.593857142856
E1036,1175085.7959161906
E1037,26588.116114285716
E1038,26323.90157714286
E1039,31781.107542857142
E104,64145.52428571429
E1040,40170.077150476194
E1041,307740.0
E1042,50054.89246476191
E1043,39148.34259428572
E1044,84744.0
E1045,45058.71030857143
E1046,4071.30528
E1047,56519.50477714286
E1048,62208.1735847619
E1049,109431.0
E105,194436.61796571428
E1050,29953.0
E1051,5566.8868114285715
E1052,8701.0
E1053,62311.86201714286
E1054,1413004.4565561905
E1055,88636.20203428571
E1056,11341.49328
E1057,457002.0
E1058,45224.952554285715
E1059,21538.468
E106,30319.857142857145
E1060,62018.410194285716
E1061,13790.273622857145
E1062,14822.5
E1063,5717.333142857143
E1064,15130.5
E1065,33533.5
E1066,13860.599999999999
E1067,60340.885714285716
E1068,39694.0
E1069,10776.731931428572
E107,22644.9
E1070,30222.5
E1071,11982.638548571429
E1072,12656.912777142858
E1073,27985.906971428572
E1074,9079.8
E1075,17203.2
E1076,17544.8
E1077,15284.5
E1078,13398.0
E1079,56650.14015714286
E108,31310.960857142858
E1080,10889.657931428572
E1081,11858.0
E1082,27532.345285714287
E1083,38012.90085714286
E1084,11492.67504
E1085,21098.0
E1086,4118.00286857143
E1087,29988.999285714286
E1088,9267.765131428572
E1089,21367.5
E109,60988.033285714286
E1090,5582.5
E1091,19224.9
E1092,18370.24288
E1093,32886.06
E1094,6121.5
E1095,7122.5
E1096,23236.82710857143
E1097,9509.5
E1098,25144.374911428575
E1099,6486.974142857143
E11,41199.583
E110,37859.687000000005
E1100,47907.203714285715
E1101,9317.0
E1102,8046.5
E1103,18868.119142857144
E1104,9394.0
E1105,10125.6
E1106,9086.0
E1107,11448.082674285715
E1108,99932.0
E1109,36352.21085714286
E111,15759.144631428571
E1110,14745.5
E1111,4324.649428571429
E1112,311834.712
E1113,17999.642
E1114,4971.854605714286
E1115,8085.0
E1116,14014.0
E1117,3850.0
E1118,22869.0
E1119,24794.0
E112,45313.67999999999
E1120,27207.0
E1121,13286.844937142858
E1122,176162.426
E1123,17171.0
E1124,10773.7
E1125,26405.2
E1126,2783.443405714286
E1127,57568.922
E1128,22392.888142857144
E1129,555183.0
E113,69080.61485714286
E1130,4118.00286857143
E1131,81866.72
E1132,138839.5792
E1133,150395.0
E1134,804130.0
E1135,25864.19509809524
E1136,42313.6
E1137,140856.88
E1138,15682.674714285715
E1139,43778.87128571428
E114,60178.54214285714
E1140,12089.284045714287
E1141,26654.0
E1142,53042.50614285715
E1143,88704.0
E1144,285127.8240457143
E1145,11519.642011428572
E1146,32613.056827142856
E1147,2534.1798171428572
E1148,17307.09516952381
E1149,17035.71702857143
E115,73157.67369142857
E1150,34273.74342857143
E1151,109123.39275428571
E1152,7316.64406857143
E1153,38016.0
E1154,23505.4
E1155,14880.0
E1156,3446.524525714286
E1157,21125.697668571433
E1158,9222.752777142858
E1159,144144.0
E116,73411.61275428571
E1160,345762.1561142857
E1161,64600.341714285714
E1162,41110.698
E1163,10433.5
E1164,11570.652931428573
E1165,8053.463131428572
E1166,34229.59659714286
E1167,14996.1
E1168,16099.7
E1169,435456.0
E117,47875.6
E1170,4660.739588571429
E1171,3681.1360594285716
E1172,17671.91442857143
E1173,7462.88232857143
E1174,12474.0
E1175,9833.319451428571
E1176,10293.2
E1177,10122.242651428573
E1178,3379.534082857143
E1179,248912.99999999997
E118,12110.306451428572
E1180,5644.034000000001
E1181,20907.875714285714
E1182,2695.0
E1183,17975.367222857145
E1184,59802.27542857143
E1185,25802.982428571428
E1186,17221.597257142857
E1187,14136.5
E1188,4211.444022857143
E1189,70088.90388761905
E119,32719.52042857143
E1190,348138.0
E1191,53829.546428571426
E1192,12089.0
E1193,17298.76672
E1194,10233.070125714286
E1195,4322.271497142858
E1196,4396.15648
E1197,48119.37074285714
E1198,20813.509645714286
E1199,236531.30118857144
E12,13890.187571428572
E120,27606.872
E1200,71009.90356571428
E1201,27553.1768
E1202,5483.798948571429
E1203,25573.2
E1204,63451.114
E1205,872.4225600000001
E1206,28665.312685714285
E1207,13127.882331428573
E1208,0.0
E1209,7685.627314285715
E121,25421.19776
E1210,7685.627314285714
E1211,6480.853302857144
E1212,14748.095657142858
E1213,32339.116502857145
E1214,6452.386811428572
E1215,3422.7237485714286
