crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,2830362.6259999997
BA_IRR,2010891.2879999997
BA_PER,1640721.6
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,7507398.969942858
CS_BT_NISM,6327.519488000001
CS_CGT_NIM,1627713.6324228575
CS_CGT_NISM,2994.058651428572
CS_EGT_NIM,3896394.838411429
CS_EGT_NISM,190994.11483428572
CS_MG_NISM,2790895.267245715
CS_NGT_NIM,7057732.202742858
CS_NGT_NISM,872977.4755657144
CS_SBT_NIM,704146.5495999999
IG_PLA,0.0
IG_TUT,0.0
JA,39112.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3756340.5
VE_BTGT,0.0
