crop,subsidy_per_euro_sold
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,0.5374732510288065
BA_IRR,0.5436056644880174
BA_PER,0.5185185185185185
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,1.6481343337947116
CS_BT_NISM,1.6749792379981063
CS_CGT_NIM,1.630919138263072
CS_CGT_NISM,1.6598702307543494
CS_EGT_NIM,1.575969335102462
CS_EGT_NISM,1.605335277781098
CS_MG_NISM,2.5968455569148348
CS_NGT_NIM,1.631623758029342
CS_NGT_NISM,1.6618639356134512
CS_SBT_NIM,1.7873776847038878
IG_PLA,0.0
IG_TUT,0.0
JA,
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,
PN_PIQ,0.16666666666666666
VE_BTGT,0.0
