region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,33.08,32.15,3456.989247311828,False
1,BA,8.63,17.99,9.359999999999998,108.45886442641942,False
1,BC,6.83,44.12,37.29,545.9736456808199,False
1,CS,775.8,664.01,111.78999999999996,14.409641660221702,True
1,IG,20.33,27.77,7.440000000000001,36.59616330545992,False
1,JA,23.62,7.23,16.39,69.39034716342083,False
1,MA,40.6,36.22,4.380000000000003,10.788177339901482,True
1,ME,0.0,7.67,7.67,,
1,PN,604.53,565.82,38.70999999999992,6.4033215886721795,True
1,VE,17.67,90.47,72.8,411.9977362761743,False
1,TOTAL,1500.3600000000001,1494.38,339.3999999999999,22.621237569649942,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,67.23,65.91000000000001,4993.181818181819,False
2,BC,18.47,130.96,112.49000000000001,609.0416892257715,False
2,CS,2151.11,1781.64,369.47,17.175783665177512,True
2,IG,36.1,83.55,47.449999999999996,131.4404432132964,False
2,JA,52.29,16.06,36.230000000000004,69.28667049148977,False
2,MA,367.53,360.77,6.759999999999991,1.8393056349141543,True
2,ME,10.03,37.25,27.22,271.3858424725823,False
2,PN,1725.19,1545.29,179.9000000000001,10.427836933902936,True
2,VE,38.54,367.42,328.88,853.3471717695901,False
2,TOTAL,4403.72,4390.17,1177.4500000000003,26.73762182881746,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,11.219999999999999,148.21,92.962428652073,False
3,BC,4.07,133.54,129.47,3181.081081081081,False
3,CS,4019.76,3428.05,591.71,14.720033036798217,True
3,IG,38.81,212.26,173.45,446.92089667611435,False
3,JA,219.81,8.65,211.16,96.06478322187344,False
3,MA,176.24,361.76,185.51999999999998,105.26554698138901,False
3,ME,179.33,164.83,14.5,8.085652149668208,True
3,PN,1298.81,1239.6299999999999,59.180000000000064,4.556478622739282,True
3,VE,51.76,541.66,489.9,946.483771251932,False
3,TOTAL,6148.639999999999,6101.599999999999,2003.7200000000003,32.588019464466946,False
4,AG,14.95,102.91,87.96,588.3612040133779,False
4,AN,121.55,623.39,501.84,412.86713286713285,False
4,BA,102.1,58.589999999999996,43.51,42.61508325171401,False
4,BC,27.34,37.98,10.639999999999997,38.91733723482077,False
4,CS,3256.9,2720.78,536.1199999999999,16.46105192053793,True
4,IG,32.25,52.27,20.020000000000003,62.077519379844965,False
4,JA,69.72,40.21,29.509999999999998,42.32644865174986,False
4,MA,165.87,186.6,20.72999999999999,12.497739193344179,True
4,PN,634.92,605.33,29.589999999999918,4.660429660429648,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4428.06,1333.5299999999997,29.771544535755183,False
5,AG,37.66,250.41,212.75,564.9229952203931,False
5,AN,7.75,71.78,64.03,826.1935483870968,False
5,BA,1427.01,2.34,1424.67,99.83602077070238,False
5,BC,81.31,360.35,279.04,343.1804206124708,False
5,CS,318.72,223.64000000000001,95.08000000000001,29.83182730923695,False
5,IG,5.26,4.18,1.08,20.53231939163498,False
5,JA,190.46,2.75,187.71,98.55612727081801,False
5,MA,75.74,1341.79,1266.05,1671.5738051227886,False
5,PN,208.62,103.66,104.96000000000001,50.31157127792158,False
5,VE,48.49,36.47,12.020000000000003,24.788616209527742,False
5,TOTAL,2401.0199999999995,2397.3699999999994,3647.39,151.91002157416435,False
6,AG,44.27,225.69,181.42,409.8034786537158,False
6,AN,0.04,22.13,22.09,55225.0,False
6,BA,222.31,16.87,205.44,92.41149745850389,False
6,BC,8.28,62.14,53.86,650.4830917874397,False
6,CS,104.55,98.82000000000001,5.72999999999999,5.480631276900994,True
6,IG,4.65,31.14,26.490000000000002,569.6774193548387,False
6,JA,51.83,9.05,42.78,82.5390700366583,False
6,MA,202.25,290.52,88.26999999999998,43.644004944375766,False
6,PN,280.28,233.07,47.20999999999998,16.843870415298984,True
6,VE,94.77,22.92,71.85,75.81513137068691,False
6,TOTAL,1013.2299999999999,1012.3499999999998,745.14,73.54105188358024,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,79.11,79.11,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,1613.52,572.5700000000002,26.191510871007146,False
7,IG,8.02,81.67,73.65,918.3291770573568,False
7,JA,13.74,19.919999999999998,6.179999999999998,44.97816593886461,False
7,MA,58.74,31.27,27.470000000000002,46.76540687776644,False
7,PN,1357.08,1803.2,446.1200000000001,32.8735225631503,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3628.69,1213.2400000000002,33.40593257907215,False
