crop,gross_margin
AG,6715757.400398331
AN_NU,2708192.728266666
AN_PA,14364204.019999996
BA_INT,389143.70109999983
BA_IRR,267801.24111363624
BA_PER,299108.58340000006
BC_BT,9074269.322624998
BC_GTMG,6068560.94325
CS_BT_NIM,6021373.353356858
CS_BT_NISM,3275.778282285716
CS_CGT_NIM,1302284.3217254288
CS_CGT_NISM,4626.3162
CS_EGT_NIM,3258524.921235429
CS_EGT_NISM,115052.4370285714
CS_MG_NISM,1825378.8179451434
CS_NGT_NIM,5482544.532667715
CS_NGT_NISM,503179.89605085744
CS_SBT_NIM,511944.6427426664
IG_PLA,8994991.813749999
IG_TUT,1844743.93875
JA,12048.92
MA_ROTA,90936298.117665
MA_TO_CO_JA,29775117.762952004
ME,3972875.589
NC,0.0
PN_PIQ,9765792.0
VE_BTGT,8924218.261919998
