crop,labor_cost
AG,4417923.501333333
AN_NU,1432343.22
AN_PA,3645265.1999999997
BA_INT,1981865.6790625001
BA_IRR,897101.9756818181
BA_PER,1029180.1134999999
BC_BT,4345714.404375
BC_GTMG,2970023.85875
CS_BT_NIM,560886.9635714287
CS_BT_NISM,559.6828571428572
CS_CGT_NIM,130029.69928571429
CS_CGT_NISM,827.7
CS_EGT_NIM,330677.9742857143
CS_EGT_NISM,20432.365714285716
CS_MG_NISM,317978.6914285715
CS_NGT_NIM,581879.0121428572
CS_NGT_NISM,93691.69857142858
CS_SBT_NIM,53203.078333333324
IG_PLA,4221084.0
IG_TUT,1345426.195
JA,9659.91
MA_ROTA,46037992.275
MA_TO_CO_JA,14198406.72
ME,2041706.5
NC,0.0
PN_PIQ,11905488.0
VE_BTGT,5946089.291999999
