crop,production_tonnes
AG,11580.2
AN_NU,4219.599999999999
AN_PA,18879.0
BA_INT,3692.7000000000003
BA_IRR,1829.54
BA_PER,2114.64
BC_BT,11972.22
BC_GTMG,8024.12
CS_BT_NIM,210612.14
CS_BT_NISM,168.128
CS_CGT_NIM,41568.03
CS_CGT_NISM,211.67999999999995
CS_EGT_NIM,95643.72
CS_EGT_NISM,4727.808
CS_MG_NISM,73576.512
CS_NGT_NIM,159442.02000000002
CS_NGT_NISM,20538.144
CS_SBT_NIM,18943.274999999998
IG_PLA,7294.5
IG_TUT,1313.8500000000001
JA,0.0
MA_ROTA,97029.9
MA_TO_CO_JA,29234.88
ME,4195.0
NC,0.0
PN_PIQ,4023.36
VE_BTGT,15354.630000000001
