crop,revenue
AG,11348595.999999998
AN_NU,4332122.666666666
AN_PA,19382439.999999996
BA_INT,3065810.836
BA_IRR,1525007.686
BA_PER,1734004.8000000003
BC_BT,13408886.399999999
BC_GTMG,8987014.4
CS_BT_NIM,11823859.867817143
CS_BT_NISM,9534.464877714287
CS_CGT_NIM,2525171.4816485713
CS_CGT_NISM,13000.624319999999
CS_EGT_NIM,6198802.291748572
CS_EGT_NISM,309908.9282194286
CS_MG_NISM,4342797.378102858
CS_NGT_NIM,10821262.408714287
CS_NGT_NISM,1409932.718857143
CS_SBT_NIM,1086138.4155499998
IG_PLA,15318450.0
IG_TUT,3678780.0
JA,20774.0
MA_ROTA,142633953.0
MA_TO_CO_JA,45021715.2
ME,7047600.0
NC,0.0
PN_PIQ,23469600.0
VE_BTGT,15047537.399999999
