crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,1071752.836
BA_IRR,537056.0859999999
BA_PER,592099.2000000001
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,7358882.499817143
CS_BT_NISM,5970.151277714287
CS_CGT_NIM,1565365.6689485714
CS_CGT_NISM,8112.93312
CS_EGT_NIM,3792406.296548572
CS_EGT_NISM,190957.27893942856
CS_MG_NISM,3135406.816182858
CS_NGT_NIM,6709252.712914287
CS_NGT_NISM,880253.985097143
CS_SBT_NIM,696475.2487999998
IG_PLA,0.0
IG_TUT,0.0
JA,20774.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3352800.0
VE_BTGT,0.0
