plot,crop,farm,region,island,surface_ha
P1,JA,E1,3,2,3.68
P2,JA,E1,3,2,3.3
P3,JA,E1,3,2,1.36
P4,MA_ROTA,E2,2,2,1.24
P5,CS_EGT_NIM,E3,2,2,0.77
P6,MA_MOBIO,E3,2,2,0.21
P7,MA_MOBIO,E3,2,2,0.57
P8,JA,E3,2,2,1.52
P9,NC,E3,2,2,0.73
P10,PN_PIQ,E4,2,2,0.86
P11,PN_PIQ,E4,2,2,0.6
P12,PN_PIQ,E5,3,2,0.6
P13,NC,E5,3,2,1.38
P14,PN_PIQ,E5,3,2,1.46
P15,NC,E5,3,2,0.63
P17,PN_PIQ,E5,3,2,2.12
P19,PN_PIQ,E6,1,2,0.76
P21,NC,E6,1,2,0.51
P22,PN_PIQ,E6,1,2,0.43
P23,PN_PIQ,E6,1,2,3.59
P25,PN_PIQ,E6,1,2,0.84
P27,PN_PIQ,E7,3,2,1.96
P28,NC,E7,3,2,1.3
P30,NC,E7,3,2,0.64
P32,PN_PIQ,E7,3,2,0.49
P33,PN_PIQ,E7,3,2,0.67
P34,PN_PIQ,E7,3,2,0.52
P35,NC,E7,3,2,2.52
P36,NC,E7,3,2,6.35
P37,PN_PIQ,E7,3,2,0.24
P38,NC,E7,3,2,1.17
P39,PN_PIQ,E7,3,2,3.2
P40,NC,E7,3,2,0.62
P41,PN_PIQ,E7,3,2,3.61
P42,PN_PIQ,E7,3,2,1.32
P43,PN_PIQ,E7,3,2,0.46
P44,PN_PIQ,E7,3,2,1.01
P45,NC,E7,3,2,0.54
P46,NC,E7,3,2,1.67
P47,PN_PIQ,E8,2,2,1.59
P48,JA,E9,1,2,4.34
P49,PN_PIQ,E9,1,2,0.86
P50,JA,E9,1,2,3.43
P51,MA_MOBIO,E9,1,2,1.47
P52,JA,E9,1,2,4.36
P55,NC,E10,3,2,1.05
P56,MA_MOBIO,E10,3,2,0.05
P58,MA_MOBIO,E10,3,2,0.7
P61,MA_MOBIO,E10,3,2,0.54
P67,PN_PIQ,E11,3,2,0.3
P68,PN_PIQ,E11,3,2,1.25
P70,PN_PIQ,E11,3,2,0.28
P73,NC,E12,3,2,0.11
P74,JA,E12,3,2,1.79
P75,JA,E12,3,2,0.9
P76,NC,E12,3,2,0.25
P77,JA,E12,3,2,1.1
P78,IG_PLA,E13,3,2,1.3
P79,ME,E13,3,2,0.98
P80,VE_BTGT,E13,3,2,1.97
P81,PN_PIQ,E13,3,2,2.62
P82,NC,E13,3,2,6.12
P83,NC,E13,3,2,3.03
P84,PN_PIQ,E13,3,2,1.52
