crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,23.55,77.29,76.64617215390719,False
AN,132.67000000000002,299.5,166.82999999999998,125.74809678148789,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,339.58,192.36999999999998,130.67726377284148,False
CS,12812.93,1018.12,11794.81,92.05396423768802,False
IG,145.42,356.36,210.94000000000003,145.05570072892317,False
JA,621.47,2918.44,2296.9700000000003,369.60271614076305,False
MA,1086.97,4199.71,3112.74,286.36852903024004,False
ME,189.36,258.44,69.07999999999998,36.48077735530206,False
PN,6109.43,6096.08,13.350000000000364,0.218514656850154,True
VE,310.89,176.58,134.30999999999997,43.20177554762134,False
TOTAL,23577.99,15686.359999999999,19989.49,84.78029721787142,False
