region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,8.23,7.300000000000001,784.94623655914,False
1,BA,8.63,0.0,8.63,100.0,False
1,BC,6.83,9.03,2.1999999999999993,32.21083455344069,False
1,CS,775.8,72.35,703.4499999999999,90.67414282031451,False
1,IG,20.33,26.1,5.770000000000003,28.38170191834729,False
1,JA,23.62,206.29,182.67,773.3700254022015,False
1,MA,40.6,122.03,81.43,200.5665024630542,False
1,ME,0.0,7.409999999999999,7.409999999999999,,
1,PN,604.53,530.41,74.12,12.26076456089855,True
1,VE,17.67,17.31,0.360000000000003,2.0373514431239554,True
1,TOTAL,1500.3600000000001,999.1599999999999,1074.7599999999998,71.63347463275478,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,0.0,1.32,100.0,False
2,BC,18.47,36.9,18.43,99.7834325933947,False
2,CS,2151.11,384.63,1766.48,82.11946390468177,False
2,IG,36.1,135.04,98.94,274.0720221606648,False
2,JA,52.29,310.76,258.46999999999997,494.30101357812197,False
2,MA,367.53,538.66,171.13,46.56218539983131,False
2,ME,10.03,46.86,36.83,367.1984047856431,False
2,PN,1725.19,1203.04,522.1500000000001,30.266231545510934,False
2,VE,38.54,47.86,9.32,24.18266735858848,False
2,TOTAL,4403.72,2703.75,2886.21,65.54027049857847,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,0.0,159.43,100.0,False
3,BC,4.07,123.15,119.08000000000001,2925.798525798526,False
3,CS,4019.76,0.0,4019.76,100.0,False
3,IG,38.81,157.66,118.85,306.23550631280597,False
3,JA,219.81,906.31,686.5,312.3151812929348,False
3,MA,176.24,407.55,231.31,131.24716295960053,False
3,ME,179.33,204.17,24.839999999999975,13.85155857915573,True
3,PN,1298.81,1859.71,560.9000000000001,43.18568535813553,False
3,VE,51.76,73.73,21.970000000000006,42.445904173106655,False
3,TOTAL,6148.639999999999,3732.28,5943.260000000001,96.65974914777905,False
4,AG,14.95,0.43000000000000005,14.52,97.123745819398,False
4,AN,121.55,277.25,155.7,128.0954339777869,False
4,BA,102.1,0.0,102.1,100.0,False
4,BC,27.34,50.43,23.09,84.45501097293344,False
4,CS,3256.9,551.11,2705.79,83.07869446406092,False
4,IG,32.25,2.2600000000000002,29.99,92.9922480620155,False
4,JA,69.72,298.64,228.92,328.3419391853127,False
4,MA,165.87,469.86,303.99,183.27003074697052,False
4,PN,634.92,1146.36,511.43999999999994,80.55188055188054,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,2796.34,4129.15,92.18478258442893,False
5,AG,37.66,0.25,37.41,99.33616569304301,False
5,AN,7.75,6.46,1.29,16.64516129032258,True
5,BA,1427.01,0.0,1427.01,100.0,False
5,BC,81.31,87.47,6.159999999999997,7.575943918337224,True
5,CS,318.72,10.03,308.69000000000005,96.8530371485944,False
5,IG,5.26,0.0,5.26,100.0,False
5,JA,190.46,17.84,172.62,90.63320382232489,False
5,MA,75.74,1894.09,1818.35,2400.778980723528,False
5,PN,208.62,111.96,96.66000000000001,46.3330457290768,False
5,VE,48.49,29.17,19.32,39.843266652918125,False
5,TOTAL,2401.0199999999995,2157.27,3892.77,162.12984481595325,False
6,AG,44.27,22.87,21.400000000000002,48.33973345380618,False
6,AN,0.04,7.56,7.52,18800.0,False
6,BA,222.31,0.0,222.31,100.0,False
6,BC,8.28,32.6,24.32,293.719806763285,False
6,CS,104.55,0.0,104.55,100.0,False
6,IG,4.65,0.0,4.65,100.0,False
6,JA,51.83,13.2,38.629999999999995,74.53212425236349,False
6,MA,202.25,567.59,365.34000000000003,180.63782447466008,False
6,PN,280.28,105.44,174.83999999999997,62.380476666190944,False
6,VE,94.77,8.51,86.25999999999999,91.02036509443917,False
6,TOTAL,1013.2299999999999,757.77,1049.82,103.61122351292403,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,0.0,2186.09,100.0,False
7,IG,8.02,35.3,27.279999999999998,340.1496259351621,False
7,JA,13.74,1165.4,1151.66,8381.804949053858,False
7,MA,58.74,199.93,141.19,240.36431733060945,False
7,PN,1357.08,1139.16,217.91999999999985,16.058006897161544,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.81,2539.79,3732.2799999999997,102.76638921088934,False
