crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,0.43000000000000005,6.880000000000001,4816.0,0.0,4816.0,343.26761683333257,211.67466666666667,3280.9573333333333,0.1317203899605891,1103.1565686274507,2.58,61.92,0.0,5160.0,-0.6273283775651999
AG,5,1,0.25,4.0,2800.0,0.0,2800.0,199.57419583333285,123.06666666666666,1907.5333333333333,0.07658162207010993,641.3700980392155,1.5,36.0,0.0,3000.0,-0.278942642775
AG,6,1,22.87,365.92,256144.0,0.0,256144.0,18257.04743483329,11258.138666666668,174501.14933333336,7.005686786973657,58672.53656862743,137.22,3293.28,0.0,0.0,-26.724443655637803
AN_NU,4,1,9.31,148.96,109237.33333333334,0.0,109237.33333333334,16079.57409333334,4077.7799999999997,63205.590000000004,2.5375108898568763,21076.42524509804,68.27333333333334,1196.955666666667,0.0,0.0,-14.154489982882197
AN_PA,1,2,8.23,230.44,168989.3333333333,0.0,168989.3333333333,69452.61336666666,3588.28,55618.340000000004,2.232906036092097,36810.49044117648,131.68,1766.706666666667,0.0,0.0,-12.512508330732597
AN_PA,4,1,267.94,7502.32,5501701.333333333,0.0,5501701.333333333,2261134.049266666,116821.84,1810738.52,72.69560672059738,1198420.7544117651,4287.04,57517.786666666674,0.0,0.0,-407.3634850712627
AN_PA,5,1,6.46,180.88,132645.3333333333,0.0,132645.3333333333,54515.660066666656,2816.56,43656.68,1.7526820161792158,28893.77500000001,103.36,1386.746666666667,0.0,0.0,-9.821482845265198
AN_PA,6,1,7.56,211.68,155231.99999999997,0.0,155231.99999999997,63798.512399999985,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BC_BT,4,1,50.43,1048.944,839155.2000000001,0.0,839155.2000000001,222018.01196250005,30705.56625,475936.27687500004,19.10738410080896,65436.169577205874,126.075,3923.4540000000006,0.0,506466.0,-19.92380432907611
BC_BT,5,1,87.47,1819.376,1455500.8,0.0,1455500.8,385086.56566250004,53258.29625,825503.591875,33.141441350342255,113497.95266544116,218.675,6805.166000000001,0.0,795700.8,-35.323992546629114
