farm,revenue
E1,1000.8000000000001
E10,30650.4
E100,286473.6
E1000,3326.4
E1001,3431.8461659428576
E1002,40861.33333333333
E1003,10561.2
E1004,32869.8
E1005,8434.8
E1006,228160.8
E1007,24027.3
E1008,3366.4
E1009,5447.155630628572
E101,28036.8
E1010,38966.4
E1011,53163.00000000001
E1012,483246.7
E1013,9951.804089295238
E1014,831.6
E1015,8434.8
E1016,9147.6
E1017,26046.899999999998
E1018,50335.5
E1019,40986.0
E102,6326.099999999999
E1020,51796.8
E1021,7357.314040685714
E1022,34776.0
E1023,17005.820911542858
E1024,35372.7
E1025,6182.0242578285715
E1026,20879.100000000002
E1027,44431.2
E1028,86169.6
E1029,16642.103325257143
E103,9645.0
E1030,1997.9926308571428
E1031,17790.300000000003
E1032,63993.600000000006
E1033,13200.000000000002
E1034,18475.555386514287
E1035,15649.2
E1036,515181.3333333333
E1037,15043.709220571429
E1038,3801.6
E1039,6071.724457142857
E104,20552.399999999998
E1040,26434.662921752384
E1041,249552.0
E1042,9681.3
E1043,10632.6
E1044,67795.2
E1045,18631.952061257143
E1046,2303.5679744
E1047,16038.0
E1048,29373.299999999996
E1049,87544.8
E105,61865.1
E1050,38016.0
E1051,3149.776618057143
E1052,6712.2
E1053,6983.200000000001
E1054,1004284.2666666666
E1055,19396.666666666664
E1056,6417.0822144
E1057,274201.2
E1058,14256.0
E1059,15760.8
E106,16909.2
E1060,13661.999999999998
E1061,8348.853236114286
E1062,11434.5
E1063,187.2
E1064,11672.1
E1065,21457.8
E1066,10082.4
E1067,27123.7
E1068,25423.2
E1069,6810.020035657143
E107,22596.3
E1070,23314.5
E1071,7893.9
E1072,7362.300000000001
E1073,11525.301421714286
E1074,6241.8
E1075,14855.4
E1076,10565.1
E1077,11790.900000000001
E1078,10335.6
E1079,18473.4
E108,11850.3
E1080,6098.4
E1081,10570.762380342858
E1082,11055.9
E1083,12414.599999999999
E1084,6948.6
E1085,13901.7
E1086,183.60000000000002
E1087,9019.3
E1088,4122.0
E1089,14015.7
E109,26361.9
E1090,4306.5
E1091,12680.4
E1092,13075.8
E1093,21621.6
E1094,4722.3
E1095,5494.5
E1096,4134.602238171428
E1097,7335.9
E1098,8108.1
E1099,212.4
E11,5435.1
E110,7929.900000000001
E1100,12208.2
E1101,5443.2
E1102,6207.3
E1103,6029.1
E1104,7246.8
E1105,9169.2
E1106,7009.2
E1107,7016.7
E1108,55614.6
E1109,17463.600000000002
E111,8956.5
E1110,11375.099999999999
E1111,683.0999999999999
E1112,216453.59999999998
E1113,13394.699999999999
E1114,2136.0
E1115,8863.5
E1116,16241.738260114284
E1117,2970.0
E1118,15822.6
E1119,18650.100000000002
E112,30726.0
E1120,16669.8
E1121,8371.8
E1122,153219.6
E1123,13246.2
E1124,8785.5
E1125,18295.2
E1126,1574.8883090285715
E1127,44431.2
E1128,733.2
E1129,425642.93333333335
E113,43035.9
E1130,183.6
E1131,59162.4
E1132,73714.66666666666
E1133,104770.8
E1134,546021.0
E1135,3682.8
E1136,27775.8
E1137,101217.6
E1138,2000.6999999999998
E1139,20285.1
E114,13899.6
E1140,6840.186536228572
E1141,20449.0
E1142,7146.900000000001
E1143,70963.2
E1144,214855.7
E1145,513.6
E1146,14375.500000000002
E1147,1433.8535350857144
E1148,6864.6
E1149,3653.1
E115,38160.9
E1150,2586.0
E1151,75157.1
E1152,1009.8000000000001
E1153,30412.8
E1154,14709.0
E1155,7425.0
E1156,937.2
E1157,2611.5
E1158,5218.2866358857145
E1159,115315.2
