crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,5,1,0.05,1.0,700.0,0.0,700.0,299.9344916666666,24.613333333333333,381.50666666666666,0.015316324414021988,128.2740196078431,0.30000000000000004,7.2,0.0,600.0,-0.05578852855500001
AN_NU,1,2,0.14,2.8000000000000003,2053.3333333333335,0.0,2053.3333333333335,975.7421333333333,61.32000000000001,950.4600000000002,0.03815805849408837,316.9387254901961,1.0266666666666668,17.99933333333334,0.0,0.0,-0.2128494734268
AN_NU,4,1,6.75,135.0,99000.0,0.0,99000.0,47044.71,2956.5,45825.75,1.8397635345364032,15280.974264705883,49.50000000000001,867.8250000000002,0.0,0.0,-10.262385325934998
AN_NU,5,1,1.35,27.0,19800.0,0.0,19800.0,9408.942000000001,591.3000000000001,9165.150000000001,0.3679527069072807,3056.1948529411766,9.900000000000002,173.56500000000003,0.0,0.0,-2.052477065187
AN_NU,6,1,1.73,34.6,25373.333333333332,0.0,25373.333333333332,12057.384933333333,757.74,11744.97,0.47152457996266334,3916.4571078431372,12.686666666666667,222.4203333333334,0.0,0.0,-2.6302113502025994
AN_PA,1,2,23.63,827.05,606503.3333333333,0.0,606503.3333333333,386664.7789999999,10302.68,159691.54,6.411126322339763,105690.38750000003,378.08,5072.573333333334,0.0,0.0,-35.92595040768059
AN_PA,4,1,292.34,10231.9,7503393.333333332,0.0,7503393.333333332,4783647.1219999995,127460.24,1975633.72,79.31564405724953,1307555.1367647063,4677.44,62755.653333333335,0.0,0.0,-444.4601075827907
AN_PA,5,1,59.1,2068.5,1516900.0,0.0,1516900.0,967071.0299999998,25767.6,399397.8,16.03459863098942,264337.78676470596,945.6,12686.800000000001,0.0,0.0,-89.85288485374198
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BC_BT,4,1,0.78,20.28,16224.0,0.0,16224.0,8881.49925,474.9225,7361.298750000001,0.2955336029869322,1012.1001838235293,1.9500000000000002,60.68400000000001,0.0,10576.8,-0.06841536000000015
BC_BT,5,1,237.75,6181.5,4945200.0,0.0,4945200.0,2707149.290625,144760.03125,2243780.484375,90.08091552582452,308495.92141544115,594.375,18496.950000000004,0.0,2524329.6,-87.45948626622943
BC_BT,6,1,8.34,216.84,173472.0,0.0,173472.0,94963.72275,5078.0175,78709.27124999999,3.159936216552582,10821.686580882351,20.85,648.8520000000001,0.0,0.0,-2.4892122365502023
CS_BT_NIM,4,1,2643.0,195582.0,4146338.3999999994,8542153.345714286,12688491.745714284,7300094.298771429,33603.857142857145,520859.78571428574,20.910925415592498,5654156.2963235285,6569.742857142857,190296.0,0.0,0.0,530.7174356395933
CS_BT_NIM,5,1,40.69,3011.06,63834.47199999999,131509.7312285714,195344.20322857142,112387.75520885714,517.3442857142858,8018.83642857143,0.32193172726464575,87047.90756617645,101.14371428571428,2929.68,0.0,0.0,14.358960200347203
CS_BT_NIM,6,1,86.98,6436.52,136454.224,281118.61445714283,417572.8384571428,240242.9822577143,1105.8885714285716,17141.27285714286,0.6881696150768958,186075.8663088235,216.20742857142858,6262.5599999999995,0.0,0.0,43.826476320137495
CS_BT_NISM,4,1,2.01,118.992,2522.6304,5281.6919314285715,7804.3223314285715,3374.7589311428583,25.555714285714288,396.11357142857145,0.01590274691083652,3609.719686764705,4.996285714285714,144.72,0.0,0.0,0.36083354021960085
CS_BT_NISM,5,1,0.38,22.496000000000002,476.91519999999997,998.528822857143,1475.444022857143,638.0141262857145,4.831428571428572,74.88714285714286,0.0030064894657302874,682.4345676470587,0.9445714285714286,27.360000000000003,0.0,0.0,0.05976943024920017
CS_CGT_NIM,1,2,577.6,36388.8,840217.392,1712908.2811428572,2553125.6731428574,1482605.942354286,7343.771428571429,113828.45714285715,4.569863987910037,1189644.496470588,1435.7485714285715,41587.2,0.0,0.0,-3.1118969891525317
CS_EGT_NIM,2,2,1589.36,90593.52,2279332.9632,4490198.568114285,6769531.531314286,3984507.3104754286,20207.577142857146,313217.4457142857,12.574721308560761,3204439.584470588,3950.694857142857,114433.92,0.0,0.0,-161.63775891109833
CS_MG_NISM,7,3,1361.49,62083.944,1018797.52104,3307074.7698857146,4325872.290925715,2201671.6640545726,17310.37285714286,268310.7792857143,10.771856164992444,2384868.1740573524,3384.275142857143,98027.28,0.0,0.0,-117.32941363722713
CS_NGT_NIM,3,2,2853.15,154070.1,3973467.8789999997,8104005.741428572,12077473.620428571,6918627.809052858,36275.764285714286,562274.3464285715,22.573593208285182,5690483.898639705,7092.115714285715,205426.8,0.0,0.0,-410.29770410764473
