crop,gross_margin
AG,299.9344916666666
AN_NU,71786.74266666667
AN_PA,6115619.742
BA_INT,386907.2707
BA_IRR,245698.8289772727
BA_PER,3294.2268333333336
BC_BT,2772621.88125
BC_GTMG,45714.456125000004
CS_BT_NIM,7946689.8626542855
CS_BT_NISM,4936.214556000002
CS_CGT_NIM,1526550.2182080005
CS_CGT_NISM,966.4940911428574
CS_EGT_NIM,4028304.4003191427
CS_EGT_NISM,32957.16603457142
CS_MG_NISM,3202255.0999474297
CS_NGT_NIM,7052458.511533144
CS_NGT_NISM,290639.11931285716
CS_SBT_NIM,572855.3929453332
IG_PLA,1867829.8044999999
IG_TUT,845040.5175000001
JA,127029.28
MA_ROTA,6774951.541721999
MA_TO_CO_JA,53461545.415085
ME,60809.93604
PN_PIQ,12969215.280000001
VE_BTGT,37953.58658666666
