farm,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
E1,8.34,8.34,0.0,0.0,True
E10,9.700000000000001,9.700000000000001,7.56,77.9381443298969,False
E100,14.169999999999998,14.169999999999998,28.339999999999996,200.0,False
E1000,7.7700000000000005,7.7700000000000005,0.0,0.0,True
E1001,1.46,1.46,0.0,0.0,True
E1002,12.41,12.34,3.0899999999999994,24.899274778404507,False
E1003,4.92,3.99,5.050000000000001,102.64227642276424,False
E1004,2.98,2.98,5.6,187.91946308724832,False
E1005,6.4,6.4,1.0,15.625,True
E1006,5.03,5.03,0.0,0.0,True
E1007,5.83,5.83,11.3,193.82504288164665,False
E1008,6.199999999999999,6.199999999999999,0.0,0.0,True
E1009,1.9300000000000002,1.9300000000000002,1.6600000000000001,86.01036269430051,False
E101,11.11,11.11,8.16,73.44734473447345,False
E1010,5.67,5.67,8.32,146.73721340388008,False
E1011,2.7800000000000002,2.7800000000000002,5.5600000000000005,199.99999999999997,False
E1012,910.99,910.99,0.0,0.0,True
E1013,5.43,5.43,0.0,0.0,True
E1014,0.28,0.28,0.0,0.0,True
E1015,11.54,11.540000000000001,1.060000000000001,9.185441941074533,True
E1016,5.9,5.9,0.2799999999999996,4.7457627118643995,True
E1017,8.159999999999998,8.16,7.639999999999999,93.62745098039215,False
E1018,6.73,6.73,4.9,72.80832095096582,False
E1019,10.53,10.53,0.0,0.0,True
E102,2.13,2.13,0.0,0.0,True
E1020,13.29,13.29,14.34,107.90067720090295,False
E1021,3.13,3.13,0.0,0.0,True
E1022,1.61,1.61,0.0,0.0,True
E1023,6.3500000000000005,6.3500000000000005,0.0,0.0,True
E1024,6.86,6.859999999999999,13.2,192.41982507288628,False
E1025,2.63,2.63,0.0,0.0,True
E1026,7.03,7.03,6.1,86.7709815078236,False
E1027,17.04,15.989999999999998,10.91,64.02582159624413,False
E1028,2.72,2.7199999999999998,2.6599999999999997,97.7941176470588,False
E1029,7.08,7.08,0.0,0.0,True
E103,4.3100000000000005,4.3100000000000005,5.0600000000000005,117.4013921113689,False
E1030,0.85,0.85,0.0,0.0,True
E1031,8.92,8.92,4.699999999999999,52.69058295964125,False
E1032,2.02,2.02,0.0,0.0,True
E1033,2.73,2.73,0.0,0.0,True
E1034,7.86,7.86,0.0,0.0,True
E1035,7.72,7.72,9.26,119.94818652849742,False
E1036,206.32000000000002,204.3,22.14,10.73090345094998,True
E1037,6.4,6.4,0.0,0.0,True
E1038,6.68,6.68,0.0,0.0,True
E1039,7.65,7.65,0.0,0.0,True
E104,12.66,12.66,1.4200000000000006,11.216429699842026,True
E1040,6.65,6.65,1.24,18.64661654135338,True
E1041,11.64,11.64,6.22,53.43642611683848,False
E1042,11.29,11.29,0.0,0.0,True
E1043,7.79,7.79,1.2400000000000002,15.91784338896021,True
E1044,2.14,2.14,0.0,0.0,True
E1045,6.58,6.58,0.8600000000000001,13.069908814589668,True
E1046,0.98,0.98,0.0,0.0,True
E1047,9.68,9.68,0.92,9.50413223140496,True
E1048,7.56,7.56,12.36,163.4920634920635,False
E1049,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E105,14.18,14.18,20.740000000000002,146.262341325811,False
E1050,7.779999999999999,7.779999999999999,9.979999999999999,128.2776349614396,False
E1051,1.3399999999999999,1.3399999999999999,0.0,0.0,True
E1052,2.2600000000000002,2.2600000000000002,0.0,0.0,True
E1053,15.950000000000001,15.38,1.2100000000000004,7.586206896551726,True
E1054,68.12,68.11999999999999,117.66,172.72460364063417,False
E1055,21.98,21.98,0.0,0.0,True
E1056,2.73,2.73,0.0,0.0,True
E1057,8.06,8.06,16.12,200.0,False
E1058,7.6499999999999995,7.65,0.48,6.274509803921569,True
E1059,3.2899999999999996,3.29,2.22,67.47720364741643,False
E106,7.8100000000000005,7.81,7.539999999999999,96.5428937259923,False
E1060,13.61,13.61,0.0,0.0,True
E1061,3.3699999999999997,3.3699999999999997,0.0,0.0,True
E1062,3.85,3.85,0.0,0.0,True
E1063,1.56,1.56,0.0,0.0,True
E1064,3.93,3.93,0.0,0.0,True
E1065,8.71,8.71,6.98,80.1377726750861,False
E1066,2.58,2.58,0.0,0.0,True
E1067,7.37,7.37,3.3000000000000003,44.776119402985074,False
E1068,9.46,9.46,9.7,102.53699788583508,False
E1069,2.66,2.66,0.0,0.0,True
E107,5.06,5.0600000000000005,0.580000000000001,11.462450592885396,True
E1070,7.85,7.85,0.0,0.0,True
E1071,3.32,3.32,0.0,0.0,True
E1072,3.45,3.45,0.43999999999999995,12.753623188405795,True
E1073,7.53,7.53,0.0,0.0,True
E1074,1.9900000000000002,1.9900000000000002,0.76,38.19095477386934,False
E1075,4.2700000000000005,4.2700000000000005,0.0,0.0,True
E1076,1.78,1.78,1.6,89.8876404494382,False
E1077,3.97,3.97,0.0,0.0,True
E1078,3.48,3.48,0.0,0.0,True
E1079,10.19,10.19,0.0,0.0,True
E108,6.65,6.65,0.0,0.0,True
E1080,3.0,3.0,0.2200000000000002,7.33333333333334,True
E1081,3.08,3.08,2.16,70.12987012987013,False
E1082,7.6899999999999995,7.6899999999999995,6.34,82.44473342002601,False
E1083,8.579999999999998,8.58,1.4400000000000008,16.783216783216798,True
E1084,3.2800000000000002,3.2800000000000002,0.0,0.0,True
E1085,5.48,5.48,1.1800000000000002,21.532846715328468,False
E1086,1.53,1.53,0.0,0.0,True
E1087,7.1899999999999995,7.1899999999999995,0.0,0.0,True
E1088,3.0,3.0,0.0,0.0,True
E1089,5.55,5.55,4.38,78.91891891891892,False
E109,9.02,9.02,4.24,47.006651884700666,False
E1090,1.45,1.45,0.0,0.0,True
E1091,4.029999999999999,4.03,0.11999999999999955,2.9776674937965155,True
E1092,4.9399999999999995,4.9399999999999995,0.0,0.0,True
E1093,8.01,8.010000000000002,9.760000000000002,121.84769038701624,False
E1094,1.59,1.59,0.0,0.0,True
E1095,1.85,1.85,0.0,0.0,True
E1096,6.29,6.29,0.0,0.0,True
E1097,2.4699999999999998,2.4699999999999998,0.0,0.0,True
E1098,4.53,4.53,0.019999999999999796,0.44150110375275486,True
E1099,1.77,1.77,0.0,0.0,True
E11,11.48,11.48,0.0,0.0,True
E110,8.92,8.620000000000001,0.3,3.3632286995515694,True
E1100,13.0,13.0,0.0,0.0,True
E1101,2.42,2.42,1.98,81.81818181818183,False
E1102,2.09,2.09,1.58,75.59808612440192,False
E1103,4.28,4.279999999999999,1.8999999999999997,44.392523364485974,False
E1104,2.44,2.44,0.0,0.0,True
E1105,2.46,2.46,0.12000000000000005,4.878048780487807,True
E1106,2.36,2.36,0.0,0.0,True
E1107,3.13,3.13,0.06000000000000005,1.9169329073482446,True
E1108,2.25,2.25,4.5,200.0,False
E1109,9.89,9.89,6.880000000000001,69.56521739130436,False
E111,4.1,4.1,0.0,0.0,True
E1110,3.83,3.83,3.06,79.89556135770235,False
E1111,1.18,1.18,0.0,0.0,True
E1112,56.41,56.41,0.0,0.0,True
E1113,1.22,1.22,0.35999999999999993,29.50819672131147,False
E1114,1.31,1.31,1.58,120.61068702290076,False
E1115,2.1,2.1,0.0,0.0,True
E1116,3.64,3.64,1.92,52.747252747252745,False
E1117,1.0,1.0,0.0,0.0,True
E1118,5.9399999999999995,5.9399999999999995,0.0,0.0,True
E1119,6.4399999999999995,6.4399999999999995,0.0,0.0,True
E112,10.069999999999999,10.07,7.760000000000001,77.06057596822247,False
E1120,6.5,6.5,0.0,0.0,True
E1121,3.74,3.74,0.0,0.0,True
E1122,5.68,5.68,5.859999999999999,103.16901408450705,False
E1123,4.46,4.46,0.0,0.0,True
E1124,2.6,2.6,1.42,54.61538461538461,False
E1125,5.8100000000000005,5.8100000000000005,0.09999999999999964,1.7211703958691849,True
E1126,0.67,0.67,0.0,0.0,True
E1127,2.18,2.18,2.74,125.6880733944954,False
E1128,6.109999999999999,6.109999999999999,0.0,0.0,True
E1129,11.77,11.77,22.159999999999997,188.27527612574337,False
E113,6.88,6.88,13.76,200.0,False
E1130,1.53,1.53,0.0,0.0,True
E1131,6.970000000000001,6.97,10.04,144.04591104734573,False
E1132,17.73,17.53,3.0200000000000005,17.03327693175409,True
E1133,3.1399999999999997,3.1399999999999997,2.86,91.08280254777071,False
E1134,16.05,16.05,9.1,56.69781931464174,False
E1135,6.220000000000001,6.220000000000001,0.0,0.0,True
E1136,7.42,7.42,0.0,0.0,True
E1137,22.42,22.42,27.080000000000002,120.78501338090989,False
E1138,4.27,4.27,0.0,0.0,True
E1139,5.539999999999999,5.54,6.5600000000000005,118.41155234657042,False
E114,14.17,14.170000000000002,10.379999999999999,73.25335215243472,False
E1140,2.91,2.91,0.0,0.0,True
E1141,1.64,1.6400000000000001,3.28,200.0,False
E1142,15.280000000000001,15.280000000000001,0.0,0.0,True
E1143,2.2399999999999998,2.2399999999999998,1.6599999999999997,74.10714285714285,False
E1144,15.29,15.29,18.0,117.72400261608895,False
E1145,4.279999999999999,4.279999999999999,0.0,0.0,True
E1146,5.49,5.490000000000001,3.78,68.85245901639344,False
E1147,0.61,0.61,0.0,0.0,True
E1148,3.53,3.53,0.0,0.0,True
E1149,4.16,4.16,0.0,0.0,True
E115,9.57,8.780000000000001,10.510000000000002,109.8223615464995,False
E1150,8.25,8.25,0.0,0.0,True
E1151,5.79,5.79,4.0,69.08462867012089,False
E1152,2.1799999999999997,2.18,0.8799999999999997,40.36697247706421,False
E1153,0.96,0.96,0.0,0.0,True
E1154,4.15,4.15,0.0,0.0,True
E1155,0.75,0.75,1.5,200.0,False
E1156,1.1600000000000001,1.1600000000000001,0.0,0.0,True
E1157,5.52,5.52,0.0,0.0,True
E1158,2.2199999999999998,2.2199999999999998,0.0,0.0,True
E1159,3.6399999999999997,3.6399999999999997,2.3599999999999994,64.83516483516483,False
E116,12.879999999999999,12.879999999999999,0.5399999999999999,4.192546583850931,True
E1160,22.75,22.75,45.5,200.0,False
E1161,2.93,2.9299999999999997,2.72,92.83276450511944,False
E1162,1.67,1.6700000000000002,3.34,200.0,False
E1163,2.71,2.71,1.34,49.44649446494465,False
E1164,3.0100000000000002,3.0100000000000002,3.4000000000000004,112.95681063122925,False
E1165,2.18,2.18,0.0,0.0,True
E1166,7.17,7.17,0.0,0.0,True
E1167,3.3,3.3,0.0,0.0,True
E1168,3.7,2.87,1.0099999999999998,27.297297297297288,False
E1169,7.91,7.91,8.58,108.47029077117573,False
E117,10.99,10.99,6.4,58.234758871701544,False
E1170,1.23,1.23,1.5,121.95121951219512,False
E1171,1.02,1.02,0.0,0.0,True
E1172,4.63,4.63,4.84,104.53563714902808,False
E1173,1.95,1.95,0.0,0.0,True
E1174,3.24,3.24,2.66,82.09876543209876,False
E1175,2.58,2.58,2.74,106.2015503875969,False
E1176,1.2,1.2,1.04,86.66666666666667,False
E1177,2.7399999999999998,2.7399999999999998,0.0,0.0,True
E1178,0.88,0.88,0.0,0.0,True
E1179,4.39,4.39,0.0,0.0,True
E118,3.08,3.08,0.29999999999999993,9.740259740259738,True
E1180,1.54,1.54,0.0,0.0,True
E1181,7.239999999999999,7.239999999999999,2.7799999999999994,38.39779005524861,False
E1182,0.7,0.7,0.5,71.42857142857143,False
E1183,4.800000000000001,4.800000000000001,0.0,0.0,True
E1184,15.42,15.42,0.0,0.0,True
E1185,6.89,6.890000000000001,2.2999999999999994,33.381712626995636,False
E1186,3.4000000000000004,3.4000000000000004,0.0,0.0,True
E1187,2.68,2.68,0.7000000000000001,26.119402985074625,False
E1188,1.14,1.14,0.0,0.0,True
E1189,10.940000000000001,10.94,4.040000000000001,36.92870201096893,False
E119,7.7700000000000005,7.7700000000000005,0.0,0.0,True
E1190,6.140000000000001,6.140000000000001,0.0,0.0,True
E1191,14.21,14.21,18.92,133.14567206192822,False
E1192,3.14,3.14,1.58,50.318471337579616,False
E1193,4.529999999999999,4.529999999999999,4.2,92.71523178807948,False
E1194,2.77,2.77,0.0,0.0,True
E1195,1.17,1.17,0.0,0.0,True
E1196,1.19,1.19,0.0,0.0,True
E1197,10.340000000000002,10.340000000000002,0.0,0.0,True
E1198,5.01,5.01,0.0,0.0,True
E1199,6.34,5.890000000000001,3.070000000000001,48.422712933753964,False
E12,3.79,3.79,0.0,0.0,True
E120,6.54,6.54,4.74,72.47706422018348,False
E1200,4.7299999999999995,4.7299999999999995,9.18,194.08033826638479,False
E1201,6.38,6.33,0.11000000000000025,1.7241379310344866,True
E1202,1.32,1.32,0.0,0.0,True
E1203,1.9100000000000001,1.91,0.6799999999999998,35.60209424083769,False
E1204,6.359999999999999,6.36,5.940000000000001,93.39622641509436,False
E1205,0.21,0.21,0.0,0.0,True
E1206,6.9,6.9,0.0,0.0,True
E1207,3.16,3.16,0.0,0.0,True
E1209,1.85,1.85,0.0,0.0,True
E121,5.77,5.77,0.0,0.0,True
E1210,1.8499999999999999,1.8499999999999999,0.0,0.0,True
E1211,1.56,1.56,0.0,0.0,True
E1212,3.55,3.55,0.0,0.0,True
E1213,5.13,5.130000000000001,4.58,89.27875243664718,False
E1214,1.57,1.57,0.0,0.0,True
E1215,0.84,0.84,0.0,0.0,True
E1216,19.119999999999997,19.119999999999997,34.94,182.74058577405862,False
E1217,55.35,55.349999999999994,58.58,105.83559168925022,False
E1218,1.6,1.6,0.0,0.0,True
E1219,3.6,3.6,0.0,0.0,True
E122,7.01,7.01,0.6,8.559201141226819,True
E1220,19.62,19.62,38.78,197.65545361875635,False
E1221,8.78,6.2,2.579999999999999,29.384965831435075,False
E1222,1.78,1.78,0.0,0.0,True
E1223,9.559999999999999,9.56,17.72,185.35564853556488,False
E1224,1.41,1.41,0.0,0.0,True
E1225,1.8399999999999999,1.8399999999999999,0.0,0.0,True
